,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
iguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0196715061541488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016488405883245315,0.0,0.0,0.016517512251554716,0.0035118282859299224
crab,0.0023306362970128233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019516180994466584,0.0,0.0019987422562049717,0.001959156683489402,0.0005493435557435903
caterpillar,0.0061749174768571825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005646012495587219,0.0,0.0,0.005969581114198506,0.0011860340724428606
frog,0.00025692224908604604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019387251992253207,0.0,0.0,0.00019258218320891826,4.289179681449976e-05
tortoise,0.0018215493308714416,0.0,0.0,0.0,0.0,0.0019429213952287714,0.0,0.0,0.0,0.0,0.0,0.001383580547807429,0.0,0.0,0.0014511862524218936,0.00043994916842196905
parakeet,0.0026151967653360807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034356880010773497,0.002046803914766673,0.0,0.0,0.002014792952907257,0.0006741654422724908
cricket,0.00014323191876043146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012055305673099961,0.0,0.0,0.0001256934439621377,2.5965227963571254e-05
toad,0.0005338982595938833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003991852456769422,0.0,0.0,0.00040426834154502837,8.91567897877236e-05
turtle,0.002207058406201295,0.0,0.0,0.0,0.0,0.0023255434674324935,0.0,0.0,0.0,0.0,0.0,0.0016934253913016605,0.0,0.0,0.001685233102453005,0.0005274173578258969
world,0.0008131245512147255,0.0,0.0,0.0,0.0007634025921214478,0.0,0.0,0.0,0.0,0.0,0.0,0.0006934071111552827,0.0,0.0,0.0007206196235979148,0.00019937025853929139
