,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
iguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0035493930355270345,0.0,0.0,0.0,0.0,0.0037095672113336394,0.0,0.0,0.0,0.0,0.0,0.0033933786880585735,0.0,0.0,0.0032697258710409323,0.0009281376537306785
kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.006253461813246248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00646592288088525,0.0,0.0,0.006203006661982906,0.0012614927570742938
crab,0.00081145779441624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008382146157912405,0.0,0.0,0.0008058149516674689,0.00016369915745832996
caterpillar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.0002683579096151127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002498031451626017,0.0,0.0,0.00023763122770473848,5.038615216549686e-05
tortoise,0.0038052537094967888,0.0,0.0,0.0,0.0,0.0038858427904575428,0.0,0.0,0.0,0.0,0.0,0.003565464281025447,0.0,0.0,0.0035812987997664745,0.0009891906387164168
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0005763237539699027,0.0,0.0,0.0,0.0,0.0005813858668581234,0.0,0.0,0.0,0.0,0.0,0.0005454911673588354,0.0,0.0,0.0005198611891710394,0.00014820413182386005
world,0.00047184271505602897,0.0,0.0,0.0,0.00042411255117858214,0.0,0.0,0.0,0.0,0.0,0.0,0.0004963607509658554,0.0,0.0,0.0004939932166170079,0.00012575394892116497
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
