,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
iguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.004175356171400586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004605803094265069,0.003524804816957208,0.0,0.0,0.0036232720237442053,0.0010619490737578047
insect,0.0026800550628198207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002379477110130359,0.0,0.0,0.0024049468652704345,0.0004976319358813742
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caterpillar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.0005367158192302254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004289984212432815,0.0,0.0,0.00042994562165366837,9.304399080847835e-05
tortoise,0.0019026268547483944,0.0,0.0,0.0,0.0,0.0015088517863181845,0.0,0.0,0.0,0.0,0.0,0.0015307839164350754,0.0,0.0,0.0016199088748410629,0.0004374780954895145
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0017952864002449827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016005487843552802,0.0,0.0,0.0016836867773006707,0.00033863479746006227
toad,0.0005576621775709923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044165578558386716,0.0,0.0,0.00045127072640961126,9.670591263763138e-05
turtle,0.001728971261909708,0.0,0.0,0.0,0.0,0.0013544939685721086,0.0,0.0,0.0,0.0,0.0,0.0014051955757809027,0.0,0.0,0.0014108754411866018,0.0003933024164966214
world,0.0026423192043137623,0.0,0.0,0.0,0.0028385603701479786,0.0,0.0,0.0,0.0,0.0,0.0,0.002386784760055976,0.0,0.0,0.0025025861434759857,0.0006913500318662468
jade,0.0016831445281954792,0.0,0.0,0.0,0.002036387853106608,0.0,0.0,0.0,0.0,0.0,0.0,0.001405051015645405,0.0,0.0,0.001548075683737423,0.0004448439387123277
