,context,n_concepts,mean_tfidf,mean_diff,evidence
0,watermelon,38,0.05,0.05,-
1,orange,37,0.04,0.04,-
2,berry,37,0.03,0.03,-
3,citrus,36,0.03,0.03,-
4,north,35,0.01,0.01,-
5,strawberry,35,0.05,0.04,-
6,grape,35,0.04,0.04,-
7,grapefruit,35,0.03,0.03,-
8,juice,34,0.13,0.12,-
9,pomegranate,34,0.03,0.03,-
10,native,34,0.01,0.01,-
11,cherry,34,0.05,0.04,-
12,fruit,34,0.06,0.05,-
13,raspberry,33,0.04,0.04,-
14,fruits,33,0.05,0.04,-
15,pineapple,33,0.05,0.05,-
16,include,33,0.01,0.01,-
17,melon,32,0.06,0.05,-
18,papaya,32,0.07,0.06,-
19,park,32,0.01,0.01,-
20,juicy,4,0.02,0.02,-
