context,evidence_type,categories
twist,u,measure
sticks,u,measure
whether,u,measure
appears,u,measure
name,u,measure
noticed,u,measure
picking,u,measure
crowd,u,measure
received,u,measure
figure,u,measure
chest,u,measure
punch,u,measure
collected,u,measure
fluid,u,measure
photograph,u,measure
flowing,u,measure
boasts,u,measure
logo,u,measure
examine,u,measure
jesus,u,measure
america,u,measure
self,u,measure
law,u,measure
showing,u,measure
anyone,u,measure
pointing,u,measure
gathered,u,measure
international,u,measure
super,u,measure
records,u,measure
print,u,measure
pocket,u,measure
striking,u,measure
services,u,measure
test,u,measure
fake,u,measure
branches,u,measure
driver,u,measure
miller,uu,measure
knew,u,measure
interesting,u,measure
suggest,u,measure
tipped,u,measure
chinese,u,measure
fair,u,measure
student,u,measure
dollars,u,measure
twice,u,measure
talk,u,measure
memory,u,measure
proved,u,measure
thousand,u,measure
award,u,measure
flip,u,measure
holder,u,measure
unfortunately,u,measure
ears,i,measure
depicts,u,measure
count,u,measure
reasons,u,measure
simultaneously,u,measure
newly,u,measure
amazing,u,measure
subject,u,measure
terms,u,measure
neighbor,u,measure
instantly,u,measure
impossible,u,measure
prison,u,measure
protest,u,measure
strength,u,measure
truth,u,measure
afraid,u,measure
testing,u,measure
accused,u,measure
worthy,u,measure
strangers,u,measure
sites,u,measure
actor,u,measure
nobody,u,measure
glove,u,measure
appearing,u,measure
participants,u,measure
promises,u,measure
broadcast,u,measure
learn,u,measure
growth,u,measure
explain,u,measure
tendency,u,measure
profile,u,measure
eu,u,measure
cash,u,measure
program,u,measure
bennett,u,measure
nasty,u,measure
advised,u,measure
investigators,u,measure
chosen,u,measure
nationwide,u,measure
