,context,n_concepts,mean_tfidf,mean_diff
0,along,47,0.01,0.0
1,over,46,0.01,0.0
2,few,46,0.0,0.0
3,works,45,0.01,0.01
4,found,44,0.01,0.01
5,right,44,0.01,0.01
6,helps,44,0.0,0.0
7,reason,44,0.0,0.0
8,unusual,43,0.0,0.0
9,our,43,0.0,0.0
10,form,43,0.0,0.0
11,rather,43,0.0,0.0
12,is,42,0.02,0.01
13,know,42,0.0,0.0
14,ago,42,0.0,0.0
15,adding,42,0.0,0.0
16,quickly,42,0.0,0.0
17,clear,42,0.0,0.0
18,be,42,0.01,0.01
19,without,41,0.0,0.0
20,yellow,5,0.06,0.04
