,context,n_concepts,mean_tfidf,mean_diff
0,his,34,0.02,0.01
1,an,32,0.02,0.01
2,had,31,0.01,0.01
3,by,30,0.01,0.01
4,he,30,0.01,0.01
5,who,29,0.01,0.01
6,this,28,0.01,0.01
7,called,28,0.01,0.01
8,the,28,0.05,0.03
9,saw,27,0.02,0.01
10,time,27,0.01,0.01
11,tool,27,0.03,0.03
12,him,27,0.01,0.01
13,but,27,0.01,0.01
14,took,26,0.01,0.01
15,after,26,0.01,0.01
16,years,26,0.01,0.01
17,was,26,0.02,0.01
18,told,26,0.01,0.01
19,point,26,0.01,0.01
20,cooks,1,0.01,0.01
