,context,n_concepts,mean_tfidf,mean_diff
0,had,20,0.02,0.01
1,should,20,0.01,0.01
2,end,19,0.01,0.01
3,now,19,0.01,0.01
4,play,19,0.01,0.01
5,have,19,0.02,0.02
6,even,19,0.01,0.01
7,that,19,0.05,0.04
8,of,18,0.05,0.03
9,bike,18,0.01,0.01
10,but,18,0.02,0.02
11,couple,18,0.01,0.0
12,which,18,0.01,0.01
13,with,18,0.04,0.02
14,done,18,0.01,0.01
15,we,18,0.03,0.02
16,also,18,0.01,0.01
17,decided,18,0.0,0.0
18,world,18,0.01,0.01
19,those,17,0.01,0.01
20,warm,4,0.02,0.01
