,context,n_concepts,mean_tfidf,mean_diff
0,was,26,0.02,0.01
1,went,25,0.01,0.01
2,but,24,0.01,0.01
3,back,24,0.01,0.01
4,week,23,0.01,0.01
5,the,22,0.04,0.01
6,27,22,0.01,0.0
7,more,21,0.01,0.01
8,at,21,0.02,0.01
9,in,21,0.02,0.01
10,on,21,0.02,0.01
11,have,21,0.01,0.01
12,and,21,0.03,0.01
13,by,21,0.01,0.01
14,about,21,0.01,0.01
15,kept,20,0.01,0.0
16,south,20,0.01,0.01
17,come,20,0.01,0.01
18,through,20,0.01,0.0
19,co,20,0.01,0.0
20,swimming,2,0.01,0.01
21,swim,2,0.01,0.0
22,swims,1,0.0,0.0
