,context,n_concepts,mean_tfidf,mean_diff,evidence
0,food,10,0.01,0.01,-
1,egg,9,0.01,0.01,-
2,meat,9,0.09,0.08,-
3,set,8,0.01,0.01,-
4,episode,8,0.01,0.01,-
5,moved,8,0.0,0.0,-
6,salt,8,0.01,0.01,-
7,free,8,0.01,0.01,-
8,addition,8,0.01,0.0,-
9,driven,8,0.0,0.0,-
10,17,8,0.01,0.01,-
11,war,8,0.01,0.0,-
12,few,8,0.01,0.0,-
13,began,8,0.01,0.01,-
14,of,8,0.03,0.02,-
15,re,8,0.02,0.01,-
16,kitchen,8,0.05,0.05,-
17,and,8,0.03,0.01,-
18,the,8,0.05,0.02,-
19,while,8,0.01,0.01,-
20,cooking,7,0.01,0.01,-
21,cook,6,0.01,0.01,-
