,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,food,all,mean
cuscus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouser,0.003609506755073532,0.006485778333705911,0.0,0.0,0.0,0.0,0.003609506755073532,0.0,0.0,0.0,0.003436742361766401,0.0015583212914199432
roebuck,0.0006423872261614033,0.0009898306776311352,0.0,0.0,0.0,0.0,0.0006423872261614033,0.0,0.0,0.0,0.0005948788195281844,0.00026086217722564784
bushbaby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.004422923463691239,0.006163211863717408,0.0,0.0,0.0,0.0,0.004422923463691239,0.0,0.0,0.0,0.003989229124863869,0.0017271170832694324
tabby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pachyderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cock,0.0322688684417746,0.0,0.0,0.0,0.0,0.0,0.0322688684417746,0.027061611148785143,0.0,0.0,0.029372676300307328,0.01099745675751288
bull,0.0008829530973059908,0.0013662519952515214,0.0008131574414509786,0.0,0.0,0.0,0.0008829530973059908,0.0,0.0015393526854883917,0.0,0.000823712530618921,0.0005734891679474358
cony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hackney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer,0.0007454630913368748,0.0,0.0,0.0,0.0,0.0,0.0007454630913368748,0.0005970613776528121,0.0,0.0,0.0006910053739549467,0.00025263572129831895
lynx,0.002615680071006565,0.003895248303924484,0.0,0.0,0.0,0.0,0.002615680071006565,0.0,0.0,0.0,0.002420200113692401,0.001049709869057274
hind,0.0006895980423524371,0.001112052525657154,0.0,0.0,0.0,0.001089464751093282,0.0006895980423524371,0.0,0.0,0.0,0.0006338207853878208,0.0003831394678948301
human,0.0019700505617786805,0.0027186925160405727,0.0,0.0,0.0,0.0,0.0019700505617786805,0.0,0.0,0.0,0.0018027394149010688,0.0007692302776817275
chamois,0.0012338198033973301,0.0026552548515550276,0.0,0.0,0.0028725817877401426,0.0,0.0012338198033973301,0.0,0.0,0.0,0.001186518734523608,0.0008347268164194035
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mole,0.0006243855554849849,0.001104724753053692,0.0,0.0011545555891037235,0.0,0.0,0.0006243855554849849,0.0,0.0,0.0009207827803409657,0.0005788262159213743,0.0004552418590354296
muskrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drum,0.0003470168649648794,0.0,0.0,0.0,0.0,0.0006721629802688634,0.0003470168649648794,0.0,0.0,0.0,0.00032101093771889916,0.0001533825134470474
painter,0.0011948293107193863,0.0017283422711093983,0.0,0.0,0.0,0.0,0.0011948293107193863,0.0,0.0,0.0,0.001101211753620584,0.00047447387692443226
permit,0.0023589923212249393,0.0,0.0,0.0,0.0,0.004011274885504773,0.0023589923212249393,0.0,0.003874380732366721,0.0,0.002158995506392815,0.0013420577969740172
pompon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
felid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
viscacha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cow,0.003745078710949544,0.004714093679223769,0.0,0.0,0.0,0.0,0.003745078710949544,0.0,0.0,0.0,0.0033748098773078547,0.0014162782707664281
bonobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armadillo,0.004604054913139655,0.006244924837715399,0.0,0.0,0.0,0.0,0.004604054913139655,0.0,0.0,0.0,0.004233534710928625,0.0017896881249930302
sheep,0.0013456041739833798,0.0016632482339638166,0.0,0.0,0.0,0.0,0.0013456041739833798,0.0,0.0,0.0,0.001214037386674372,0.0005062267244186317
mangabey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skate,0.00043383404868552655,0.0,0.0,0.0,0.0,0.0008146302290320791,0.00043383404868552655,0.0,0.0,0.0,0.00039853052592634,0.00018916625930267932
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grade,9.215942787147113e-05,0.00012703614862125064,0.0,0.00015338070475578384,0.00014600956971919573,0.0,9.215942787147113e-05,0.0,0.0,0.0,8.435102909386511e-05,6.319057344845796e-05
gnu,0.00029034320574564625,0.0004954370942838665,0.0,0.0,0.0,0.0,0.00029034320574564625,0.0,0.0,0.0,0.00027273613516769034,0.00012262360372207722
puss,0.0010845278609643838,0.0015518475648147645,0.0,0.0,0.0,0.0,0.0010845278609643838,0.0,0.0,0.0,0.0009955936488844058,0.0004287724486934489
blackbuck,0.009242547131719665,0.012206717115742395,0.0,0.0,0.0,0.0,0.009242547131719665,0.0,0.0,0.0,0.008551145699927168,0.003567541552646263
redhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pointer,0.002725428618963207,0.004355288661395293,0.0,0.0,0.0,0.0,0.002725428618963207,0.0,0.004948087145528493,0.0,0.0025453662917723683,0.0015726908487838699
mankind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0034802120737238373,0.0049230616858206245,0.0,0.0,0.0053365199870176626,0.0,0.0034802120737238373,0.0,0.0,0.0,0.003203301665233629,0.0018566643168654174
beaver,0.0032464293206845873,0.004511916949485069,0.0,0.0,0.004232369302848857,0.0,0.0032464293206845873,0.0,0.0,0.0,0.002919080166930852,0.0016505659146030867
whale,0.0021635490357828505,0.003200730851041902,0.0,0.0,0.0,0.0,0.0021635490357828505,0.0,0.0,0.0,0.0019680132936153766,0.0008632583832929981
ibex,0.00258221666623918,0.004252501906547344,0.0,0.0,0.0,0.0,0.00258221666623918,0.0,0.0,0.0,0.0024362815382765472,0.0010775651615729318
equine,0.0014517861641016184,0.0024294736634666576,0.0,0.0,0.0,0.0,0.0014517861641016184,0.0,0.0,0.0,0.001367555070163835,0.0006091455510757936
world,0.001363157977952368,0.0017987058270400886,0.0,0.0,0.0,0.0,0.001363157977952368,0.0,0.0,0.0,0.0012391521854377989,0.0005240158153075112
jade,0.0015019576718959353,0.0024770802825625593,0.0,0.0,0.0,0.0,0.0015019576718959353,0.0,0.0,0.0,0.0014086559952713924,0.0006263319656023475
capybara,0.0020442105760500556,0.003172216821262054,0.0,0.0,0.0,0.0,0.0020442105760500556,0.0,0.0,0.0,0.0018892981405024007,0.0008318123739876878
bronc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eland,0.003351688125038515,0.005652951139571378,0.0,0.0,0.0,0.0,0.003351688125038515,0.0,0.0,0.0,0.003167079243172156,0.0014112187848018694
deer,0.008146013955347626,0.009212643053107109,0.0,0.0,0.0,0.0,0.008146013955347626,0.0,0.0,0.0,0.007378994629461722,0.0029894241448421895
humankind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whippet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
howler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
packhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torpedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coypu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emberizidae,0.0,0.0,0.1668645246656388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142276570988865,0.02166248094322977
paridae,0.0,0.0,0.08031633165069266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035292095175200336,0.01050985698417209
neritidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psittacula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fringillidae,0.0,0.0,0.052530587625571036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222764998254494,0.006800644313729131
acaridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lepomis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strigidae,0.0,0.0,0.005985293794995537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026375122865847315,0.0007838914619618426
laridae,0.0,0.0,0.0026345439765435635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011573105975247475,0.0003447140521880283
icteridae,0.0,0.0,0.24759141875986407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10555082422664713,0.03210384027150102
cotingidae,0.0,0.0,0.5518216397251229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7454081790157232,0.11792998352189508
procellariidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clupeidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pleuronectidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
micropterus,0.0,0.0,0.015645208497402342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011605220742645871,0.002477311749095292
phalacrocorax,0.0,0.0,0.0057900592898228334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032438364963459235,0.0008212632532880688
syngnathidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apodidae,0.0,0.0,0.009686128954370784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004053949190653275,0.0012490980131840052
haliaeetus,0.0,0.0,0.026966011042407315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01376501847773571,0.003702820865467548
timaliidae,0.0,0.0,0.27538035416001666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17405239553937138,0.04085752269994437
charadrius,0.0,0.0,0.014663288415126086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00768642655155456,0.0020317922696982404
typhlopidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calidris,0.0,0.0,0.011816497264344089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007184183975416963,0.0017273346581600955
stockfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
