,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,food,all,mean
stork,0.03527408989059973,0.0,0.0,0.0,0.0,0.0,0.03527408989059973,0.0418105183337326,0.0,0.0,0.03526572491780938,0.013420402093885585
creeper,0.025272804795956554,0.0,0.0313903280894407,0.0,0.0,0.0,0.025272804795956554,0.020024266544484973,0.0,0.0,0.02526283349410795,0.011565730701813338
crane,0.02490142648857721,0.0,0.0,0.0,0.0,0.0,0.02490142648857721,0.025531182862844042,0.0,0.0,0.02490099266119832,0.009112275318290617
char,0.001262878975686286,0.0,0.0,0.0,0.0014997472285806996,0.0015539511021452678,0.001262878975686286,0.0,0.0,0.0,0.0012628922782696038,0.0006220316873061948
crocodile,0.009137297456827372,0.0,0.015990524941246927,0.0,0.0,0.0,0.009137297456827372,0.0,0.0,0.0,0.009137217633323882,0.003945667044384141
linnet,0.08316974266585948,0.0,0.0,0.0,0.0,0.0,0.08316974266585948,0.06176458503152005,0.0,0.0,0.08318940233016532,0.028299406608491305
tanager,0.14418577035635935,0.0,0.0,0.0,0.0,0.0,0.14418577035635935,0.2110977386608276,0.0,0.0,0.14418659620930258,0.058514170507531715
avocet,0.03564105421963568,0.0,0.0,0.0,0.0,0.0,0.03564105421963568,0.03792669288617673,0.0,0.0,0.03564105421963568,0.013168168685916708
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toadfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rattlesnake,0.0032227356636836094,0.0,0.006561233089342186,0.0,0.0,0.0,0.0032227356636836094,0.0,0.0,0.0,0.0032227577426326304,0.0014754056508492757
pintail,0.010125429231094442,0.0,0.0,0.0,0.0,0.0,0.010125429231094442,0.007479320138854389,0.0,0.0,0.010125429231094442,0.003441418893830701
trogon,0.10491158179899511,0.0,0.0,0.0,0.0,0.0,0.10491158179899511,0.12772675319366464,0.0,0.0,0.10491158179899511,0.04022377259915
pipefish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mosquitofish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smallmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merganser,0.005567150141458936,0.0,0.0,0.0,0.0,0.0,0.005567150141458936,0.006874664554878312,0.0,0.0,0.005567150141458936,0.002143283179932283
halfbeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
redstart,0.06784596820819981,0.0,0.0,0.0,0.0,0.0,0.06784596820819981,0.058267812724322486,0.0,0.0,0.06784596820819981,0.023800519758992902
gyrfalcon,0.15984902055338718,0.0,0.0,0.0,0.0,0.0,0.15984902055338718,0.14942992628579502,0.0,0.0,0.15984902055338718,0.057179726176905143
trout,0.00184525995332224,0.0,0.0,0.0,0.0,0.0024547088696450434,0.00184525995332224,0.0,0.0,0.002255143726250434,0.0018452635187550886,0.0009314214564813679
halibut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stickleback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass,0.0011208458285802822,0.0,0.0,0.0,0.0,0.0012259500980433,0.0011208458285802822,0.0,0.0012864304156233412,0.0015026577684995822,0.0011208539858200285,0.0006706894477406197
tortoise,0.010569368086546358,0.0,0.01696302877647116,0.0,0.0,0.0,0.010569368086546358,0.0,0.0,0.0,0.010564450376380855,0.004424201393267702
flounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.007762185796124776,0.0,0.0,0.0,0.0,0.0,0.007762185796124776,0.009535894792099934,0.0,0.011664698417012646,0.007761464967436547,0.004044220888072608
grackle,0.14792683753908584,0.0,0.0,0.0,0.0,0.0,0.14792683753908584,0.1274781352395121,0.0,0.0,0.14792683753908584,0.05193260435061542
leatherback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.029059675642604324,0.0,0.0,0.0,0.0,0.0,0.029059675642604324,0.03346958576549676,0.0,0.0,0.02906214894987608,0.010968280545507407
albatross,0.03673047124666727,0.0,0.0,0.0,0.0,0.0,0.03673047124666727,0.04685976502139567,0.0,0.0,0.03672986081750286,0.01427732439383937
curlew,0.034366651369450996,0.0,0.0,0.0,0.0,0.0,0.034366651369450996,0.03993512060055712,0.0,0.0,0.034366651369450996,0.013003188609900919
turkey,0.002600823560617028,0.0,0.0,0.0,0.0,0.0,0.002600823560617028,0.0029852768469303685,0.0,0.003951124273811351,0.0026007637074461337,0.0013398919954019917
hen,0.013404662506327703,0.0,0.0,0.0,0.0,0.0,0.013404662506327703,0.01854834333384444,0.0,0.021705565881642484,0.013404628877028648,0.007315260282288271
crow,0.016668320923024362,0.0,0.0,0.0,0.0,0.0,0.016668320923024362,0.019124455524017134,0.0,0.0,0.016669675390136824,0.006284615705472971
egret,0.02193526266118878,0.0,0.0,0.0,0.0,0.0,0.02193526266118878,0.025645740022309578,0.0,0.0,0.02193528393762192,0.008313777207482642
yellowthroat,0.07552506965345569,0.0,0.0,0.0,0.0,0.0,0.07552506965345569,0.036839812735895754,0.0,0.0,0.07552506965345569,0.023946820154205715
turtle,0.006492232409171401,0.0,0.010578349965794535,0.0,0.0,0.0,0.006492232409171401,0.0,0.0,0.0,0.0064918285491233265,0.002732240303023697
duck,0.009870792929250694,0.0,0.0,0.011941704905810256,0.0,0.0,0.009870792929250694,0.011739160398767101,0.0,0.013818696881013634,0.009871154960456532,0.006101118454958992
robin,0.006520988246885472,0.0,0.0,0.0,0.0,0.0,0.006520988246885472,0.005711207290013795,0.0,0.0,0.006517739633324196,0.0022973566742826306
pickerel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quail,0.04650591958035629,0.0,0.0,0.0,0.0,0.0,0.04650591958035629,0.048963473544025776,0.0,0.06593021721624323,0.04650520420538385,0.023128248556942312
currawong,0.01226955771672442,0.0,0.0,0.0,0.0,0.0,0.01226955771672442,0.015327862076524396,0.0,0.0,0.012276842204034728,0.004740347246727997
platypus,0.007735912902335725,0.006576205161419498,0.0,0.0,0.0,0.0,0.007735912902335725,0.0,0.0,0.0,0.007734416699756489,0.0027074952423497673
roach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salmon,0.0019200478895555141,0.0,0.0,0.0,0.0,0.002580816124034705,0.0019200478895555141,0.0,0.0,0.0027385345757176506,0.0019200548793827552,0.0010072273962041945
whitethroat,0.036797743723760094,0.0,0.0,0.0,0.0,0.0,0.036797743723760094,0.026424005049034128,0.0,0.0,0.036797743723760094,0.012437930565483129
plaice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moose,0.0017882178256836282,0.0027816506474734495,0.0,0.0,0.0,0.0,0.0017882178256836282,0.0,0.0,0.0,0.001609158827789769,0.0007242950115118614
addax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stag,0.004044364271083147,0.005722331723305762,0.0,0.0,0.0,0.0,0.004044364271083147,0.0,0.0,0.0,0.003733304242235345,0.0015949422279734004
hare,0.004453040315196255,0.006750387510301828,0.0,0.0,0.0,0.0,0.004453040315196255,0.0,0.0,0.006080995532734968,0.004123222536834558,0.0023509714736603513
giraffe,0.004157788657078902,0.0065146571883060184,0.0,0.0,0.0,0.0,0.004157788657078902,0.0,0.0,0.0,0.0038671749211760665,0.0016997644930581716
hobby,0.010391209662188148,0.0,0.0,0.0,0.0,0.0,0.010391209662188148,0.008480177213110136,0.0,0.0,0.009466374003691522,0.0035208155037434502
bulldog,0.0009160979578563019,0.0014951310139440987,0.0,0.0,0.0,0.0,0.0009160979578563019,0.0,0.0,0.0,0.0008494174066453774,0.00037970403057291635
