,context,n_concepts,mean_tfidf,mean_diff,evidence
0,wolf,15,0.02,0.01,-
1,realizes,15,0.0,0.0,-
2,anthropomorphic,15,0.01,0.01,-
3,chased,15,0.01,0.0,-
4,aggressive,15,0.0,0.0,-
5,animals,15,0.01,0.01,-
6,suggesting,14,0.0,0.0,-
7,though,14,0.0,0.0,-
8,travels,14,0.0,0.0,-
9,legs,14,0.01,0.0,-
10,extinction,14,0.0,0.0,-
11,horror,14,0.0,0.0,-
12,particular,14,0.0,0.0,-
13,offspring,14,0.0,0.0,-
14,kills,14,0.01,0.0,-
15,killing,14,0.01,0.0,-
16,inhabited,14,0.0,0.0,-
17,separate,14,0.0,0.0,-
18,initial,14,0.0,0.0,-
19,skin,14,0.01,0.01,-
20,black,13,0.03,0.02,-
