,food,communication,cutlery,no-cat,vehicle,all,mammal,relation,bird,tool,object,measure,animal,weapon,mean
lettuce,0.00580422807756888,0.0,0.0,0.007347259430879176,0.0,0.005753525302076918,0.0,0.0,0.0,0.0,0.005753645761348004,0.008145421300836845,0.0,0.0,0.002343148562336416
cream,0.03134540574044758,0.0,0.0,0.0,0.0,0.03547726691366959,0.0,0.0,0.0,0.0,0.03547726691366959,0.0,0.0,0.0,0.007307138540556197
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.023103564585809654,0.0,0.0,0.02993335020445783,0.0,0.02371094938946862,0.0,0.0,0.0,0.0,0.02371094938946862,0.0,0.0,0.0,0.00717562954065748
scallop,0.006622239530934256,0.0,0.0,0.0,0.0,0.009025202045079039,0.0,0.0,0.0,0.0,0.009020170241259168,0.0,0.004858084508545907,0.0,0.0021089783089870266
pea,0.0066175508809311525,0.0,0.0,0.00841282551193012,0.0,0.007350765057348815,0.0,0.0,0.0,0.0,0.007350758430434576,0.0,0.0,0.0,0.0021237071343317617
cabbage,0.006723334237573765,0.0,0.0,0.008613536338702583,0.0,0.007578955429979863,0.0,0.0,0.0,0.0,0.0075768707995723045,0.009948232423845038,0.0,0.0,0.0028886378021195395
mustard,0.014877344821533713,0.0,0.0,0.01855957218034289,0.0,0.01499076445411699,0.0,0.0,0.0,0.0,0.01499076445411699,0.0,0.0,0.0,0.0045298889935793275
cucumber,0.0147542671889781,0.0,0.0,0.019200407094373033,0.0,0.015748071585767656,0.0,0.0,0.0,0.0,0.015748071585767656,0.0,0.0,0.0,0.004675058389634746
bacon,0.06548390749409626,0.0,0.0,0.0,0.0,0.07784565231612778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010237825700730289
pastry,0.017206082202116692,0.0,0.0,0.0,0.0,0.01819482328029672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002528636105886672
oregano,0.004038976209714167,0.0,0.0,0.005294508362851131,0.0,0.004172969057771885,0.0,0.0,0.0,0.0,0.004172969057771885,0.0,0.0,0.0,0.0012628159062935047
turnip,0.003628949425171188,0.0,0.0,0.004735265188968028,0.0,0.004674746907315037,0.0,0.0,0.0,0.0,0.004674746907315037,0.0,0.0,0.0,0.001265264887769235
casserole,0.02927167077925576,0.0,0.0,0.0,0.0,0.03402044289509407,0.0,0.0,0.0,0.0,0.03402040951901481,0.0,0.0,0.0,0.0069508945138117605
soup,0.01813400576678091,0.0,0.0,0.0,0.0,0.02060744009244311,0.0,0.021309859730753545,0.0,0.0,0.0,0.0,0.0,0.0,0.004289378970712683
