,context,n_concepts,mean_tfidf,mean_diff,evidence
0,orange,48,0.04,0.03,i
1,pineapple,47,0.05,0.04,i
2,fruits,46,0.03,0.03,i
3,ripe,45,0.04,0.04,r
4,juices,44,0.02,0.02,p
5,flavors,43,0.06,0.05,u
6,fruit,43,0.07,0.06,i
7,citrus,43,0.03,0.02,i
8,papaya,43,0.04,0.04,i
9,picking,43,0.01,0.01,u
10,green,42,0.03,0.02,u
11,bright,42,0.01,0.01,u
12,like,42,0.02,0.01,u
13,mango,42,0.06,0.06,i
14,garden,41,0.01,0.01,u
15,red,41,0.03,0.02,u
16,including,41,0.01,0,u
17,melon,40,0.04,0.04,i
18,among,40,0,0,u
19,drink,40,0.01,0.01,i
20,juicy,36,0.01,0.01,p
