,animal,fruit,vegetable,plant,tool,mammal,no-cat,measure,relation,object,bird,communication,food,all,mean
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0,0.00024572112865629483,0.0,0.0,0.0,0.0,0.00030192597370433865,0.0,0.00032271419265404055,0.0002691912405677709,0.0,0.0,0.00025327310980127494,0.0002674304111413007,0.00011858971832321575
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oyster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.005370147221837571,0.0,0.004778884752631245,0.0,0.0,0.0,0.0,0.0,0.0053511566846788094,0.0,0.0,0.0,0.005407866930663461,0.0014934325421293634
pea,0.0,0.0008011754488647579,0.0008857944103613745,0.0007571531546742889,0.0,0.0,0.0,0.0,0.0,0.0007822246242688976,0.0,0.0,0.0007958246273242969,0.0007901308100264343,0.0003437359339657178
strawberry,0.0,0.17215962680781216,0.0,0.17530109962557405,0.0,0.0,0.0,0.0,0.0,0.18608841315685823,0.0,0.0,0.18982309185540372,0.1868516257448704,0.06501598979932276
breadfruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plum,0.0,0.016298730236618528,0.0,0.01637425267671175,0.0,0.0,0.0,0.0,0.0,0.017219898913742912,0.0,0.0,0.017269989520494328,0.017369956587559764,0.006038059138223377
banana,0.0,0.008977141553924437,0.0,0.009002178089531432,0.0,0.0,0.0,0.0,0.0,0.009404388700696315,0.0,0.0,0.009557041108459735,0.009576521886371894,0.0033226622384988436
fruit,0.0,0.008059162542068439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008326629062030105,0.0,0.0,0.0,0.00844755450671135,0.001773810436486421
tamarind,0.0,0.007840574815685852,0.0,0.008135906374934204,0.0,0.0,0.0,0.0,0.0,0.00875076261589174,0.0,0.0,0.008988051707841166,0.0089017657753673,0.00304407580640859
berry,0.0,0.00675184682206229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006805630820058268,0.0,0.0,0.006760361927740975,0.007065702982188924,0.0019559673251464613
currant,0.0,0.0735510807647533,0.0,0.07446607243275714,0.0,0.0,0.0,0.0,0.0,0.07276933105055106,0.0,0.0,0.07436306587114826,0.07339556054224708,0.026324650761532627
raisin,0.0,0.01114643267589827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01115139766886899,0.0,0.0,0.011352115693924731,0.011436830246710243,0.003220484020385874
dewberry,0.0,0.19143512662964038,0.0,0.21150029373827692,0.0,0.0,0.0,0.0,0.0,0.21056423930731658,0.0,0.0,0.21605505281758527,0.212146277110753,0.0744072135431123
date,0.0,0.0008025262273567038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008179087058968941,0.0,0.0,0.0008266931702823416,0.0008412697396781979,0.00023488556022958126
lychee,0.0,0.0370648763323562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04998701583745412,0.0,0.0,0.03794025388101501,0.05067795215177589,0.01254786415732866
peanut,0.0,0.0026092830406908886,0.0,0.0028855532131045365,0.0,0.0,0.0,0.0,0.0,0.002890488349283193,0.0,0.0,0.0,0.0029515666657783327,0.0008097779477754965
groundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0,0.0904346847011264,0.0,0.09269481178933221,0.0,0.0,0.0,0.0,0.0,0.09458565049016067,0.0,0.0,0.09662937882889218,0.09582532205550333,0.03358356056178677
litchi,0.0,0.015922646958259092,0.0,0.016157327292116816,0.0,0.0,0.0,0.0,0.0,0.016658095890822816,0.0,0.0,0.016711589987796968,0.017832228653901362,0.0059487063416355035
apple,0.0,0.008792080829094748,0.0,0.00759837066004597,0.0,0.0,0.0,0.0,0.0,0.00850845542965956,0.0,0.0,0.008421824277857762,0.00874743122799524,0.0030048687446180915
watermelon,0.0,0.09739402543591417,0.0,0.10464273553030234,0.0,0.0,0.0,0.0,0.0,0.1077441166521719,0.0,0.0,0.11074333247000476,0.10939578606071546,0.037851428296364904
cherry,0.0,0.034175895173512875,0.0,0.03211732595512654,0.0,0.0,0.0,0.0,0.03366225453990422,0.03404348172626462,0.0,0.0,0.03374055586121877,0.03424293950955858,0.014427318054684687
orange,0.0,0.010739298030379676,0.0,0.010116056865230554,0.0,0.0,0.0,0.0,0.01035529295640804,0.011189811185603665,0.0,0.0,0.01129300844010263,0.011400866211803294,0.004649595263537704
mangosteen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
