,animal,fruit,vegetable,plant,tool,mammal,no-cat,measure,relation,object,bird,communication,food,all,mean
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.006181794209563321,0.003012243353579508,0.0,0.0,0.006394598662017281,0.006181794209563321,0.003925037658156403,0.004500919455354281,0.0034299199795436055,0.003121150511928939,0.0,0.0,0.0032514782146055286,0.003222546546398513,0.0030872487714793356
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.00222279882989185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012230427114501203,0.0,0.0,0.0012601095241354054,0.0012794336845765733,0.0004275274821467106
chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995559031671279,0.0,0.0,0.0003318919707036254,0.00032643377942641045,6.842011809265456e-05
oyster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.0044950098893563545,0.0,0.004221546987082716,0.0,0.0,0.0,0.0,0.0,0.004568079668656136,0.0,0.0,0.0,0.004409358307345478,0.0012638567751743347
pea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0,0.04701262391680379,0.0,0.050520591840942854,0.0,0.0,0.0,0.0,0.0,0.051825565964981495,0.0,0.0,0.05010913128835008,0.049703273728302313,0.017797941909955754
breadfruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plum,0.0,0.009095089398372511,0.0,0.009643069548816618,0.0,0.0,0.0,0.0,0.0,0.009799983412857758,0.0,0.0,0.009316009585395794,0.009441845045324306,0.003378285499340499
banana,0.0,0.012881479268719515,0.0,0.01363251162138459,0.0,0.0,0.0,0.0,0.0,0.013762577546044458,0.0,0.0,0.013256710487271032,0.013385679009556497,0.004779925566641149
fruit,0.0,0.06577168834354363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06930424483685156,0.0,0.0,0.0,0.06715602979979915,0.014445140212871023
tamarind,0.0,0.013125696514028373,0.0,0.014374111459950838,0.0,0.0,0.0,0.0,0.0,0.014940388834191127,0.0,0.0,0.014545366532779104,0.014516287244088665,0.005107275041788436
berry,0.0,0.27866454602591045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2864633495752154,0.0,0.0,0.2697203634517167,0.28406612644009954,0.07992245610663873
currant,0.0,0.024625979270436766,0.0,0.02631258462931562,0.0,0.0,0.0,0.0,0.0,0.024848168069941865,0.0,0.0,0.024068353960479065,0.02393752129988384,0.008842329087861225
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dewberry,0.0,0.026706368615966623,0.0,0.03113900955330377,0.0,0.0,0.0,0.0,0.0,0.029958451888847167,0.0,0.0,0.02913682924696133,0.028829264271977687,0.010412137398361184
date,0.0,0.0010076157634283218,0.0,0.0,0.0,0.0,0.0,0.0010151173052453844,0.0,0.0010473264988451877,0.0,0.0,0.0010033783373830298,0.0010289065253256894,0.00036445317358768664
lychee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
groundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0,0.02523238099316565,0.0,0.02729475764626166,0.0,0.0,0.0,0.0,0.0,0.026914728435431245,0.0,0.0,0.026062558356869058,0.02604404443112852,0.009396319275918297
litchi,0.0,0.013327838620709853,0.0,0.014272977876645672,0.0,0.0,0.0,0.0,0.0,0.014220385169297184,0.0,0.0,0.013522185319982581,0.014539685713738062,0.004991648050026667
apple,0.0,0.0036796468180697373,0.0,0.0033561050775490356,0.0,0.0,0.0,0.0,0.0,0.0036316729774683904,0.0,0.0,0.0034072601320604126,0.0035661527037946237,0.0012600598363530142
watermelon,0.0,0.03493815687359356,0.0,0.03961661539081408,0.0,0.0,0.0,0.0,0.0,0.03941874394360646,0.0,0.0,0.038403421108310486,0.03822726284609428,0.013614585725887062
cherry,0.0,0.020354607812385156,0.0,0.020187513496184816,0.0,0.0,0.0,0.0,0.01790536702747187,0.02067846764385313,0.0,0.0,0.01942583632889133,0.019866383455881088,0.008458441126047671
orange,0.0,0.012666579912414155,0.0,0.012592018272471668,0.0,0.0,0.0,0.0,0.01090794778740609,0.01346008409989453,0.0,0.0,0.012875905406802328,0.013098641532798792,0.0054000840722705406
mangosteen,0.0,0.018295589978500573,0.0,0.01752771786106107,0.0,0.0,0.0,0.0,0.0,0.01844926454512883,0.0,0.0,0.018485085383505195,0.022469947713969488,0.006801971820154654
