,animal,fruit,vegetable,plant,tool,mammal,no-cat,measure,relation,object,bird,communication,food,all,mean
cob,0.0051859550956366565,0.004070076845377677,0.0,0.0,0.0,0.005440340324166381,0.0,0.0,0.0,0.004274914340717921,0.006253574739417691,0.0,0.0,0.004282052872349943,0.0021076367298333053
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.00048193409789805034,0.0002408421310595065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024019105245980883,0.0,0.0,0.00024052406932257043,0.0002437005497386579,0.00010337085003418529
sorrel,0.012213125221911614,0.0,0.009382086687234456,0.00789523421197513,0.0,0.012213125221911614,0.0,0.0,0.0,0.007876724890794135,0.0,0.0,0.009338561185164032,0.009177328545294555,0.004864013283163252
jack,0.0060900888379997725,0.0037175319667716545,0.0,0.0,0.008854059685870082,0.0060900888379997725,0.005434667526678096,0.006232042322798235,0.0050767753955577016,0.003816525641083312,0.0,0.0,0.003839591809474936,0.0038532831398593865,0.0037860467974352103
crab,0.004278260562637619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003019593256174801,0.0,0.0,0.0030095069929557254,0.0030608480437097634,0.0009548720611055649
lobster,0.0015815396747087254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010801049174573726,0.0,0.0,0.0010746903502453476,0.0011048933276617441,0.0003458020192909421
chicken,0.004391069440812887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037036525498999537,0.004391069440812887,0.0,0.0039627788535076475,0.0039466235165085215,0.0014567995572529924
oyster,0.0010009736107184505,0.0,0.0,0.0,0.0,0.0,0.0,0.0011618042266995335,0.0,0.000687204367198912,0.0,0.0,0.0006914693091233684,0.0006984902320724044,0.0003028529818437621
almond,0.0,0.043303724383474004,0.0,0.03907282296613521,0.0,0.0,0.0,0.0,0.0,0.042958407310341534,0.0,0.0,0.0,0.0433196826531021,0.012046759808075205
pea,0.0,0.002768789281128384,0.0031670002840422816,0.0026531095524999987,0.0,0.0,0.0,0.0,0.0,0.002691257182934976,0.0,0.0,0.0027617012946775624,0.0027125732923882406,0.0011967450634051031
strawberry,0.0,0.03164723237534631,0.0,0.032673694057991,0.0,0.0,0.0,0.0,0.0,0.03405533853768092,0.0,0.0,0.035038904764957385,0.03412098157451023,0.011966867950748989
breadfruit,0.0,0.01950131799572773,0.0,0.019602203752236567,0.0,0.0,0.0,0.0,0.0,0.026949748564248414,0.0,0.0,0.02489061069265072,0.028412998413178247,0.008525491387002978
plum,0.0,0.054240742779020246,0.0,0.05525130227075486,0.0,0.0,0.0,0.0,0.0,0.05705108393010179,0.0,0.0,0.057711317213029543,0.05742365099165916,0.02011986408461183
banana,0.0,0.09972058648509301,0.0,0.10139196165114366,0.0,0.0,0.0,0.0,0.0,0.10400129995069833,0.0,0.0,0.1066024684453685,0.10567561117717826,0.03695656626496298
