,animal,fruit,vegetable,plant,tool,mammal,no-cat,measure,relation,object,bird,communication,food,all,mean
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,8.665557409710013e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816189196074506e-05,0.0,0.0,8.945063455844398e-05,9.111240149697017e-05,2.5384321579518527e-05
sorrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002913047277102058,0.0,0.0,0.000315804227047754,0.0003161840101179726,6.594949749113804e-05
oyster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.010369263586027857,0.0,0.00768564030330531,0.0,0.0,0.0,0.0,0.0,0.009746381881981106,0.0,0.0,0.0,0.00982018730537914,0.002687248076906672
pea,0.0,0.0006187986336128894,0.0006328251216534137,0.00048707655468238105,0.0,0.0,0.0,0.0,0.0,0.000569885006540149,0.0,0.0,0.0005629026071374875,0.0005739218549342958,0.0002461006984686155
strawberry,0.0,0.04809546076250639,0.0,0.04078957619579286,0.0,0.0,0.0,0.0,0.0,0.0490372541311474,0.0,0.0,0.04856417237948542,0.04909098096192912,0.016826960316490083
breadfruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plum,0.0,0.018183451741835322,0.0,0.015215135345464087,0.0,0.0,0.0,0.0,0.0,0.018121209788935017,0.0,0.0,0.017644477509114027,0.018224404324878058,0.0062420484793018925
banana,0.0,0.011886198891939011,0.0,0.009927600576109707,0.0,0.0,0.0,0.0,0.0,0.011745446329624844,0.0,0.0,0.011588375137859007,0.011924626298982919,0.004076589088179678
fruit,0.0,0.017740117363884905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017288998062975108,0.0,0.0,0.0,0.017487576561109188,0.0037511922848549426
tamarind,0.0,0.012111546826755127,0.0,0.010467655643661916,0.0,0.0,0.0,0.0,0.0,0.01275063007700573,0.0,0.0,0.012714855926087459,0.012931828150881773,0.004355465473170858
berry,0.0,0.020057229631862617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019070004092611052,0.0,0.0,0.01839130238024018,0.019739483983072202,0.005518430006270433
currant,0.0,0.04544653318318391,0.0,0.038323214031252474,0.0,0.0,0.0,0.0,0.0,0.04241252388639688,0.0,0.0,0.042078781898815046,0.042649460788842894,0.015065036699177945
raisin,0.0,0.15496374950953848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14623709667681198,0.0,0.0,0.1445323949802671,0.14953124398697742,0.04251889179668535
dewberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date,0.0,0.0015496048138722485,0.0,0.0,0.0,0.0,0.0,0.0014975898890118675,0.0,0.0014897060695479491,0.0,0.0,0.001461841355737087,0.0015276682144569529,0.0005376007387590075
lychee,0.0,0.014313777875989551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182088686316128,0.0,0.0,0.013417948560404834,0.01840529690409468,0.0045961351408644185
peanut,0.0,0.004702401318810897,0.0,0.004331310937998047,0.0,0.0,0.0,0.0,0.0,0.004913644770356287,0.0,0.0,0.0,0.005002454513450939,0.0013535579671868692
groundnut,0.0,0.006229045944627304,0.0,0.005137942816514317,0.0,0.0,0.0,0.0,0.0,0.005967831253246417,0.0,0.0,0.0,0.005981302682880555,0.0016654373355191852
pomegranate,0.0,0.15133829763221376,0.0,0.12919955509202238,0.0,0.0,0.0,0.0,0.0,0.14930457119470947,0.0,0.0,0.1480870818806303,0.15080861643763785,0.052052723016943844
litchi,0.0,0.01229807053527719,0.0,0.010394007159232279,0.0,0.0,0.0,0.0,0.0,0.012136154745269955,0.0,0.0,0.011820440396738708,0.012952672667348808,0.004257238964561924
apple,0.0,0.01697670470109568,0.0,0.01222007786485076,0.0,0.0,0.0,0.0,0.0,0.015496959018357579,0.0,0.0,0.014892310064589489,0.01588452789264494,0.005390755681538461
watermelon,0.0,0.09671603847371954,0.0,0.08654999416844446,0.0,0.0,0.0,0.0,0.0,0.10092384362344761,0.0,0.0,0.1007112399733535,0.10216422122790136,0.034790381247633326
cherry,0.0,0.028934309633918617,0.0,0.022647714447754288,0.0,0.0,0.0,0.0,0.0333575860573577,0.027186996416402102,0.0,0.0,0.02616011391206659,0.02726442336177273,0.011825081702090859
orange,0.0,0.009802757871177738,0.0,0.007690869077159178,0.0,0.0,0.0,0.0,0.011063510704991567,0.00963449982582014,0.0,0.0,0.009440091535963847,0.009786835364286156,0.004101326027099902
mangosteen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
