,all,relation,bird,mammal,no-cat,animal,food,plant,object,fruit,communication,vegetable,measure,reptile,mean,median
glass,0.006669240526532402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006468166916597623,0.0,0.0,0.0,0.009882264526573169,0.0,0.0016442622835502283,0.0
pit,0.004569976942525561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004585132437670948,0.0,0.0,0.0,0.0,0.0,0.0006539363842997506,0.0
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.007648460865347862,0.0,0.0,0.0,0.0,0.00874103825141645,0.00767075040129321,0.0,0.0079287105186959,0.0,0.0,0.0,0.0,0.0,0.0022849257169109587,0.0
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.008585012164190978,0.0,0.0,0.0,0.0,0.006228039912433493,0.0,0.0,0.008245253807689963,0.0,0.0,0.0,0.0,0.0,0.0016470218488796025,0.0
pea,0.02617664059768994,0.0,0.0,0.0,0.0,0.0,0.029522741503637675,0.026546137086928077,0.02610546310783359,0.02835892053849798,0.0,0.03363598126286674,0.0,0.0,0.012167563149818142,0.0
pupil,0.010098660542114652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009645490579063346,0.0,0.0,0.0,0.0,0.0,0.0014102965086555713,0.0
beetle,0.005972319163170493,0.0,0.0,0.0,0.010413115951892113,0.00694462236709174,0.0,0.0,0.006266549756597079,0.0,0.0,0.0,0.0,0.0,0.0021140433741965304,0.0
market,0.02301603570561608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226133129205695,0.0,0.0,0.0,0.0,0.0,0.003259239187584684,0.0
civet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.010795010883615916,0.0,0.0,0.013980575688724345,0.0,0.012863515932803053,0.0,0.0,0.011087155826634665,0.0,0.0,0.0,0.0,0.0,0.0034804470236984267,0.0
bat,0.0037030239366206814,0.0,0.0,0.004068112566368763,0.0,0.0037701930078924586,0.0,0.0,0.003688911868502195,0.0,0.0,0.0,0.0,0.0,0.0010878743842417213,0.0
skunk,0.009663737981313942,0.0,0.0,0.01039214788003703,0.0,0.009602853167476279,0.0,0.0,0.009168355016664876,0.0,0.0,0.0,0.0,0.0,0.0027733638603922943,0.0
gown,0.06253166148189053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06250177236196171,0.0,0.0,0.0,0.0,0.0,0.00893095956027516,0.0
pelican,0.00814017285072262,0.0,0.008545585461620982,0.0,0.0,0.008016832099577076,0.0,0.0,0.00825586095966626,0.0,0.0,0.0,0.0,0.0,0.002354175097970496,0.0
crocodile,0.0026849962579856813,0.0,0.0,0.0,0.0,0.002863940297661777,0.0,0.0,0.0027336887222475896,0.0,0.0,0.0,0.0,0.004600635584862749,0.000920232918768414,0.0
parka,0.051840343418143725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491931813337089,0.0,0.0,0.0,0.0,0.0,0.0072166803394180445,0.0
snake,0.036638543149874685,0.0,0.0,0.0,0.0,0.04166989562783493,0.0,0.0,0.03622011525837293,0.0,0.0,0.0,0.0,0.05555080310878981,0.012148525510348025,0.0
bear,0.007428869703309756,0.0,0.0,0.009884429124896253,0.0,0.008385469301676052,0.0,0.0,0.007870754128507497,0.0,0.0,0.0,0.0,0.0,0.002397823018456397,0.0
raisin,0.003627917801258157,0.0,0.0,0.0,0.0,0.0,0.00456869002044016,0.0,0.0036220169148900977,0.005127695952544222,0.0,0.0,0.0,0.0,0.0012104514777951884,0.0
stocking,0.01165928504918545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012061482567099295,0.0,0.0,0.0,0.0,0.0,0.0016943405440203387,0.0
oven,0.0007565985197395898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007446480290054075,0.0,0.0,0.0,0.0,0.0,0.00010723189633892838,0.0
night,0.006811442932687518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008678186977363738,0.0,0.0011064021364322325,0.0
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dress,0.09564133366271961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0960035226604541,0.0,0.0,0.0,0.0,0.0,0.013688918308798122,0.0
pig,0.0019637606926483854,0.0,0.0,0.0020837085273096314,0.0,0.0020924797214730557,0.0,0.0,0.0019486687895079585,0.0,0.0,0.0,0.0,0.0,0.0005777584093527879,0.0
tyre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.004208482488461126,0.0,0.0,0.0,0.006566984903460363,0.0,0.0,0.0,0.004238765613867689,0.0,0.0,0.0,0.0,0.0,0.001072445214699227,0.0
cat,0.04351428780881801,0.0,0.0,0.0440878207554821,0.05065140129217918,0.04999654664840848,0.0,0.0,0.04272939361260757,0.0,0.0,0.0,0.0,0.0,0.01649853215124967,0.0
ring,0.005149098475937467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005127478160548685,0.0,0.0,0.0,0.0,0.0,0.0007340411883204394,0.0
weasel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.011473609209385892,0.01189615721763397,0.0,0.0,0.0,0.0,0.013129749916283752,0.011749190037610626,0.01125372866374819,0.013177752786444367,0.0,0.0,0.0,0.0,0.0051914419879362005,0.0
penguin,0.007689302405046009,0.0,0.011033550904197276,0.0,0.0,0.008523333855504881,0.0,0.0,0.007505281093595932,0.0,0.0,0.0,0.0,0.0,0.002482247732738864,0.0
pot,0.002045117616122978,0.0023739681882237267,0.0,0.0,0.0,0.0,0.0,0.0,0.002045485955768117,0.0,0.0,0.0,0.004757380560571477,0.0,0.0008015680229061642,0.0
cherry,0.0700516577230844,0.07193767640233333,0.0,0.0,0.0,0.0,0.08007100509831444,0.07488148811779138,0.06979945737792385,0.08232997304331045,0.0,0.0,0.0,0.0,0.03207651841162556,0.0
bra,0.01480332954775671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013697304456476322,0.0,0.0,0.0,0.0,0.0,0.002035759571730931,0.0
football,0.005773201210496093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005680580056884444,0.0,0.0,0.0,0.0,0.0,0.0008181272333843241,0.0
human,0.0005871275838256587,0.0,0.0,0.0007184446476106773,0.0,0.0006059829465571712,0.0,0.0,0.0005804977689380124,0.0,0.0,0.0,0.0,0.0,0.00017800378192367998,0.0
car,0.004856314678494751,0.0,0.0,0.0,0.006118492291459946,0.0,0.0,0.0,0.004723048541174716,0.0,0.0,0.0,0.0,0.0,0.0011212753936521009,0.0
eye,0.03057968997488498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029951360880765995,0.0,0.0,0.0,0.0,0.0,0.004323646489689355,0.0
lizard,0.029595662494267774,0.0,0.0,0.0,0.0,0.03224731469820611,0.0,0.0,0.029702339772979747,0.0,0.0,0.0,0.0,0.038957137038638734,0.009321603857435171,0.0
sky,0.028615020010426574,0.0,0.0,0.0,0.03582777216251179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004603056583781311,0.0
cloud,0.03319341978673058,0.0,0.0,0.0,0.039961017585010784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005225316955124383,0.0
bird,0.000831547041138004,0.0,0.0014369181192290575,0.0,0.0012712378308402446,0.0010045119345849225,0.0007729341116363333,0.0,0.0008334681136013507,0.0,0.0012708171296388095,0.0,0.0,0.0,0.0005301024486191945,0.0005301024486191945
cow,0.0009197231823516112,0.0,0.0,0.0012521217947170902,0.0,0.001063713063092199,0.0,0.0,0.000916715011918828,0.0,0.0,0.0,0.0,0.0,0.00029659093229140917,0.0
sheep,0.04347178811510378,0.0,0.0,0.04524734248043818,0.0,0.043421491532141455,0.0,0.0,0.042601894767064025,0.0,0.0,0.0,0.0,0.0,0.012481608349624817,0.0
rat,0.004164530070629466,0.0,0.0,0.004913268251009811,0.0,0.004337556221399478,0.0,0.0,0.004256224157550662,0.0,0.0,0.0,0.0,0.0,0.0012622556214706726,0.0
paint,0.04402573587207548,0.04785680512799991,0.0,0.0,0.0,0.0,0.0,0.0,0.0430243422418522,0.0,0.0,0.0,0.0,0.0,0.009636205945851972,0.0
