,vegetable,blue,female,animal,fruit,bird,all,communication,relation,fish,object,food,plant,measure,vehicle,mean
iceberg,0.009846078058238275,0.0,0.0,0.0,0.0,0.0,0.009917707584844665,0.0,0.0,0.0,0.00975239333131375,0.009764131903102082,0.0,0.0,0.0,0.002618687391833252
lettuce,0.014766521403339661,0.0,0.0,0.0,0.0,0.0,0.0093013313086659,0.0,0.0,0.0,0.009188891748000928,0.011548991806089969,0.011387421742620358,0.012421176498883182,0.0,0.004574288967173333
spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0024844349254525147,0.0,0.0,0.0,0.0,0.0,0.0018151196697112524,0.0,0.0,0.0,0.001753272034540218,0.002205998448105687,0.002267049361668562,0.002509432410512046,0.0,0.0008690204566660187
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.006148982353399116,0.0,0.0,0.0,0.0,0.0,0.004705495997503023,0.0,0.0,0.0,0.004591573696310101,0.005426609857803692,0.005437707240541715,0.0,0.0,0.001754024609703843
broccoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.0011877676817039619,0.0,0.0,0.0,0.0,0.0,0.0008610986880556468,0.0,0.0,0.0,0.000845859031342779,0.0010607758371270588,0.0009848625428727012,0.0,0.0,0.00032935758540680984
aubergine,0.031186394102904354,0.0,0.0,0.0,0.0,0.0,0.03767875883762504,0.0,0.0,0.0,0.03574261817232526,0.026123831258826506,0.023589073370621525,0.0,0.0,0.010288045049486846
onion,0.004207333356472723,0.0,0.0,0.0,0.0,0.0,0.0028363697047888306,0.0,0.0,0.0,0.0027147152630415494,0.0034715506255760874,0.004056572689947954,0.0,0.0,0.0011524361093218096
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagoon,0.0,0.07194863113253033,0.0,0.0,0.0,0.0,0.05585320936806015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008520122700039367
flame,0.0,0.04604355738021446,0.0,0.0,0.0,0.0,0.027212368358183987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048837283825598965
sky,0.0,0.26777267101991326,0.0,0.0,0.0,0.0,0.2216389875608777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032627443905386064
feeling,0.0,0.014193520645131023,0.0,0.0,0.0,0.0,0.011730015319425312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017282357309704223
coal,0.0,0.0007947606419175323,0.0,0.0,0.0,0.0,0.000620938319032528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.437993073000403e-05
thought,0.0,0.0037939036843858765,0.0,0.0,0.0,0.0,0.003551028079467215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004896621175902061
bird,0.0,0.0,0.05180118803880921,0.043455480121279554,0.0,0.051819614990854045,0.0418337210517923,0.05066724387645522,0.0,0.0,0.04213781026413722,0.039164735523144936,0.0,0.0,0.0,0.021391986257764832
peach,0.0,0.0,0.014741218453343006,0.0,0.0113466993655959,0.0,0.010008725917181115,0.0,0.0,0.0,0.009716081595767525,0.01094149225673578,0.011534208962193256,0.0,0.0,0.004552561770054439
mussel,0.0,0.0,0.0,0.014300235989833075,0.0,0.0,0.015048273570396568,0.0,0.0,0.0,0.014753448128991627,0.014341453874542956,0.0,0.0,0.0,0.0038962274375842817
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.0,0.0,0.0,0.01234305820735745,0.0,0.0,0.011485125345504782,0.0,0.0,0.0,0.011574283218202785,0.0,0.0,0.0,0.0,0.0023601644514043346
fish,0.0,0.0,0.0,0.009495330354339583,0.0,0.0,0.00915989100567453,0.0,0.0,0.012867237373902283,0.009179528719685725,0.009066853571521701,0.0,0.0,0.0,0.0033179227350082553
parrotfish,0.0,0.0,0.0,0.035401171724714804,0.0,0.0,0.1900110356302238,0.0,0.0,0.06278800767196836,0.03308995297345046,0.0,0.0,0.0,0.0,0.02141934453335716
kingfisher,0.0,0.0,0.0,0.038070435895099626,0.0,0.04820765680775556,0.03824645551417789,0.0,0.0,0.0,0.038199714886859706,0.0,0.0,0.0,0.0,0.010848284206926186
insect,0.0,0.0,0.0,0.004206071918631035,0.0,0.0,0.004265845181271206,0.0,0.0,0.0,0.004271286200290687,0.0,0.0,0.0,0.0,0.0008495468866795285
