,vegetable,blue,female,animal,fruit,bird,all,communication,relation,fish,object,food,plant,measure,vehicle,mean
frog,0.0,0.0,0.0,0.006550473233044599,0.0,0.0,0.0062082692344812215,0.0,0.0,0.0,0.006220464731172297,0.0,0.0,0.0,0.0,0.0012652804799132078
parakeet,0.0,0.0,0.0,0.023223327626714037,0.0,0.029492614289949187,0.024503168848354788,0.0,0.0,0.0,0.021921874432652054,0.0,0.0,0.0,0.0,0.006609399013178004
shark,0.0,0.0,0.0,0.014210483885987174,0.0,0.0,0.01351376396211361,0.0,0.0,0.019211229620407284,0.013502207706320237,0.0,0.0,0.0,0.0,0.004029179011655221
peacock,0.0,0.0,0.0,0.014342067479284262,0.0,0.021246419445523867,0.015293257574561422,0.0,0.0,0.0,0.014994928523446773,0.0,0.0,0.0,0.0,0.004391778201521089
parrot,0.0,0.0,0.0,0.05530942279147016,0.0,0.0669163412071165,0.052181972268436204,0.0,0.0,0.0,0.049819711329083534,0.0,0.0,0.0,0.0,0.014948496506407092
starling,0.0,0.0,0.0,0.0029111390604840263,0.0,0.0040244486537501815,0.0026951463030215647,0.0,0.0,0.0,0.0026756681837550827,0.0,0.0,0.0,0.0,0.0008204268134007238
fox,0.0,0.0,0.0,0.0070353514753031384,0.0,0.0,0.008004724744868573,0.0,0.008761408897561487,0.0,0.007817808703379761,0.0,0.0,0.0,0.0,0.0021079529214075303
cockroach,0.0,0.0,0.0,0.004034348609810624,0.0,0.0,0.0034884799378014715,0.0,0.0,0.0,0.0035606415544646407,0.0,0.0,0.0,0.0,0.0007388980068051157
beetle,0.0,0.0,0.0,0.004332519585012389,0.0,0.0,0.003367332980735671,0.0,0.0,0.0,0.003422388431574142,0.0,0.0,0.0,0.0,0.0007414827331548135
giraffe,0.0,0.0,0.0,0.01818781729786178,0.0,0.0,0.020830928619191325,0.0,0.0,0.0,0.019554738416746764,0.0,0.0,0.0,0.0,0.003904898955586658
monkey,0.0,0.0,0.0,0.01325050023825007,0.0,0.0,0.012268096361246652,0.0,0.0,0.0,0.012098976223673015,0.0,0.0,0.0,0.0,0.0025078381882113155
bat,0.0,0.0,0.0,0.004700640515613989,0.0,0.0,0.004465777176393377,0.0,0.0,0.0,0.004285354204964452,0.0,0.0,0.0,0.0,0.0008967847931314545
skunk,0.0,0.0,0.0,0.0037313407881559594,0.0,0.0,0.0028978983692059274,0.0,0.0,0.0,0.002911840804378406,0.0,0.0,0.0,0.0,0.0006360719974493528
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.0,0.0,0.0,0.00870193251904571,0.0,0.0,0.00766360103726926,0.0,0.0,0.0,0.007582321724806386,0.0,0.0,0.0,0.0,0.0015965236854080902
bear,0.0,0.0,0.0,0.008943225485756994,0.0,0.0,0.009305405355822489,0.0,0.0,0.0,0.008999697571397491,0.0,0.0,0.0,0.0,0.0018165552275317984
jaguar,0.0,0.0,0.0,0.0025477532184132595,0.0,0.0,0.0028410958925469522,0.0,0.0,0.0,0.002800804269022249,0.0,0.0,0.0,0.0,0.0005459768919988307
alligator,0.0,0.0,0.0,0.010069907220835003,0.0,0.0,0.00898730913253212,0.0,0.009793616051415894,0.0,0.008608975901315248,0.0,0.0,0.0,0.0,0.002497320553739884
bushbaby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squirrel,0.0,0.0,0.0,0.006044800482720251,0.0,0.0,0.005383943986294905,0.0,0.006534710716982884,0.0,0.005406593033181376,0.0,0.0,0.0,0.0,0.001558003214611961
raven,0.0,0.0,0.0,0.0102961174890729,0.0,0.011214881519165915,0.009485005718389205,0.0,0.0,0.0,0.00923646591517336,0.0,0.0,0.0,0.0,0.0026821647094534256
goldfish,0.0,0.0,0.0,0.003686747992225791,0.0,0.0,0.003775623532083403,0.0,0.0,0.004616035028426097,0.0035622960216740553,0.0,0.0,0.0,0.0,0.001042713504960623
crossbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.00502657899116717,0.0,0.0,0.005305526573642022,0.0,0.0,0.0,0.005154117325311363,0.0,0.0,0.0,0.0,0.0010324148593413704
crab,0.0,0.0,0.0,0.03107811932625705,0.0,0.0,0.028988822898379663,0.0,0.0,0.0,0.027608500040719724,0.03464047650966619,0.0,0.0,0.0,0.008154394585001508
slug,0.0,0.0,0.0,0.0014880747279999412,0.0,0.0,0.001182507935776428,0.0,0.0018145623748129474,0.0,0.0011747839421447992,0.001638675324602398,0.0,0.0018891930321647474,0.0,0.0006125198225000841
rooster,0.0,0.0,0.0,0.003372513694549486,0.0,0.0035298229026931483,0.0035757980474960074,0.0,0.0,0.0,0.003333616563638313,0.0,0.0,0.0,0.0,0.0009207834138917969
flea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lizard,0.0,0.0,0.0,0.03301508871219432,0.0,0.0,0.027099529925687333,0.0,0.0,0.0,0.026704163688115255,0.0,0.0,0.0,0.0,0.005787918821733127
caterpillar,0.0,0.0,0.0,0.008224650558637105,0.0,0.0,0.009281152997571585,0.0,0.0,0.0,0.00906544227526384,0.0,0.0,0.0,0.0,0.0017714163887648353
tortoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zebra,0.0,0.0,0.0,0.01868792915450675,0.0,0.0,0.015682296062861537,0.0,0.0,0.0,0.015653278124364074,0.0,0.0,0.0,0.0,0.0033349002227821573
flamingo,0.0,0.0,0.0,0.0052086636499630865,0.0,0.0055305461415709484,0.005701794140089047,0.0,0.0,0.0,0.005581931320511441,0.0,0.0,0.0,0.0,0.001468195683475635
cricket,0.0,0.0,0.0,0.0020323033556988454,0.0,0.0,0.002184458305487498,0.0,0.0,0.0,0.0021415846595768777,0.0,0.0,0.0,0.0,0.00042388975471754805
bee,0.0,0.0,0.0,0.002345843410201603,0.0,0.0,0.00197741908140193,0.0,0.0,0.0,0.0019093152781051136,0.0,0.0,0.0,0.0,0.0004155051846472431
panther,0.0,0.0,0.0,0.06679674471177624,0.0,0.0,0.06752397864468418,0.0,0.0,0.0,0.06667050318065863,0.0,0.0,0.0,0.0,0.013399415102474603
crow,0.0,0.0,0.0,0.004578818507915818,0.0,0.005123112083538398,0.004512680872444239,0.0,0.0,0.0,0.004325036050052863,0.0,0.0,0.0,0.0,0.001235976500930088
buzzard,0.0,0.0,0.0,0.0007889830410446699,0.0,0.0010091933644252168,0.0009201592067209142,0.0,0.0,0.0,0.0008986914011049912,0.0,0.0,0.0,0.0,0.00024113513421971947
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.001297261341011671,0.0,0.0,0.0012550379587635485,0.0,0.0,0.0,0.001242957437077924,0.0,0.0,0.0,0.0,0.0002530171157902096
cheetah,0.0,0.0,0.0,0.001611249938744916,0.0,0.0,0.0016419091647746078,0.0,0.0,0.0,0.001449558511176504,0.0,0.0,0.0,0.0,0.00031351450764640184
tarantula,0.0,0.0,0.0,0.012551176240375548,0.0,0.0,0.01183178904454018,0.0,0.0,0.0,0.01107357700104465,0.0,0.0,0.0,0.0,0.002363769485730692
turtle,0.0,0.0,0.0,0.0063467668425588545,0.0,0.0,0.005131099920992536,0.0,0.0,0.0,0.0050687890814036605,0.0,0.0,0.0,0.0,0.00110311038966367
leopard,0.0,0.0,0.0,0.007349400863682765,0.0,0.0,0.007137913656469761,0.0,0.00818169717398213,0.0,0.006966873371599601,0.0,0.0,0.0,0.0,0.0019757256710489506
spider,0.0,0.0,0.0,0.0030404670210704217,0.0,0.0,0.0026944188036731372,0.003511749574989202,0.0,0.0,0.002660371702787167,0.0,0.0,0.0,0.0,0.0007938004735013285
dog,0.0,0.0,0.0,0.01867953082115024,0.0,0.0,0.01891560665991757,0.0,0.0,0.0,0.018478349148227522,0.019041493053766234,0.0,0.0,0.0,0.005007665312204104
jade,0.0,0.0,0.0,0.006341298635111108,0.0,0.0,0.0069694237911378945,0.0,0.0,0.0,0.006288832948033739,0.0,0.0,0.0,0.0,0.0013066370249521827
robin,0.0,0.0,0.0,0.0035105356485333103,0.0,0.003592838607082238,0.0046042569009574,0.0,0.0,0.0,0.004509606476553809,0.0,0.0,0.0,0.0,0.0010811491755417838
lion,0.0,0.0,0.0,0.011026593340038835,0.0,0.0,0.011889057986322539,0.0,0.0,0.0,0.011455387804978751,0.0,0.0,0.0,0.0,0.0022914026087560084
quail,0.0,0.0,0.0,0.013795185501983498,0.0,0.016349431779381102,0.011413291967425762,0.0,0.0,0.0,0.011344183395905219,0.013500049142428819,0.0,0.0,0.0,0.00442680945247496
locust,0.0,0.0,0.0,0.0013923587251984911,0.0,0.0,0.0014991163502858249,0.0,0.0015481020042649187,0.0,0.0014579232061632218,0.0,0.0015175667640007242,0.0,0.0,0.0004943378033275454
dolphin,0.0,0.0,0.0,0.01326746295744643,0.0,0.0,0.011982170921338632,0.0,0.0,0.0181597792931724,0.011572347316243868,0.0,0.0,0.0,0.0,0.003665450699213422
frogfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wasp,0.0,0.0,0.0,0.004676342375269375,0.0,0.0,0.004454685072745834,0.0,0.0,0.0,0.004304729854374997,0.0,0.0,0.0,0.0,0.0008957171534926805
currant,0.0,0.0,0.0,0.0,0.006241205426775252,0.0,0.006614492192896952,0.0,0.0,0.0,0.006583026630432103,0.005057991110168037,0.005086576023975894,0.0,0.0,0.0019722194256165493
blueberry,0.0,0.0,0.0,0.0,0.021494872649733383,0.0,0.015661733849934505,0.0,0.0,0.0,0.015612143128804618,0.017637386892649445,0.01829867184279946,0.0,0.0,0.005913653890928094
strawberry,0.0,0.0,0.0,0.0,0.00640256671221451,0.0,0.0036445031881062353,0.0,0.0,0.0,0.003644427216928286,0.004813106816930439,0.005357617468176305,0.0,0.0,0.0015908147601570517
lemon,0.0,0.0,0.0,0.0,0.006881434616615015,0.0,0.005364231466476291,0.0,0.0,0.0,0.005154042963574709,0.006172876114996155,0.006552556209385104,0.0,0.0,0.0020083427580698185
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0,0.0,0.0,0.0,0.007716539440323081,0.0,0.006302727634191821,0.0,0.0,0.0,0.006223238054411988,0.006757531519357459,0.006962783944985922,0.0,0.0,0.0022641880395513512
cherry,0.0,0.0,0.0,0.0,0.007790266829232422,0.0,0.0057733867542263196,0.0,0.00643222148121443,0.0,0.005601178336143039,0.006794573643091388,0.0077056607525804,0.0,0.0,0.0026731525197658665
avocado,0.0,0.0,0.0,0.0,0.009605488184416115,0.0,0.009601974543655753,0.0,0.0,0.0,0.009217313564980156,0.00946103756740765,0.009466157664001721,0.0,0.0,0.00315679810163076
grapefruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn,0.0,0.0,0.0,0.0,0.005649849126544951,0.0,0.004211790413552395,0.0,0.005238273090431196,0.0,0.004143500986411264,0.005542820760789694,0.005487856818515484,0.0,0.0,0.002018272746416332
lime,0.0,0.0,0.0,0.0,0.011536037454300976,0.0,0.009266148504265749,0.0,0.012310642983122995,0.0,0.008929405115090838,0.010897360954605655,0.010522571929922989,0.0,0.0,0.004230811129420614
apricot,0.0,0.0,0.0,0.0,0.0034559029299559897,0.0,0.002621339393009882,0.0,0.0,0.0,0.0026023317953092137,0.003018809378454877,0.0032440771122277945,0.0,0.0,0.0009961640405971837
glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0073886749690452325,0.0,0.0,0.0,0.006945828064327905,0.0,0.0,0.007787846521124752,0.0,0.0014748233036331927
bus,0.0,0.0,0.0,0.0,0.0,0.0,0.005925469177114389,0.007332600785427536,0.0,0.0,0.005790831153569533,0.0,0.0,0.0,0.008904960942456724,0.0018635908039045454
bellflower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,0.0,0.0,0.0,0.0,0.0,0.0,0.002370170228502497,0.0,0.0,0.0,0.002339034213141907,0.0,0.0,0.0,0.0,0.0003139469627762936
feather,0.0,0.0,0.0,0.0,0.0,0.0,0.022959666095838924,0.0,0.021852983750402854,0.0,0.02270562926674332,0.0,0.0,0.0,0.0,0.004501218607532341
clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.010823881580536385,0.0,0.0,0.0,0.010639119494016778,0.0,0.0,0.0,0.0,0.0014308667383035442
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.04943627849884889,0.0,0.0,0.0,0.04913533124105512,0.0,0.0,0.0,0.0,0.006571440649326934
moss,0.0,0.0,0.0,0.0,0.0,0.0,0.001596954333459591,0.0,0.0,0.0,0.0015808432339455732,0.0,0.0,0.0,0.0,0.00021185317116034427
night,0.0,0.0,0.0,0.0,0.0,0.0,0.006439091950596399,0.0,0.0,0.0,0.0,0.0,0.0,0.005967701764473251,0.0,0.0008271195810046433
dress,0.0,0.0,0.0,0.0,0.0,0.0,0.07018332678997281,0.0,0.0,0.0,0.06914091077451304,0.0,0.0,0.0,0.0,0.009288282504299058
balloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0019688078126705055,0.0,0.0,0.0,0.0019314241527013407,0.0,0.0,0.0,0.002838918335667567,0.0004492766867359609
cheese,0.0,0.0,0.0,0.0,0.0,0.0,0.029333618624315033,0.0,0.0,0.0,0.02836023640836921,0.0398087330408757,0.033383157907331186,0.0,0.0,0.008725716398726074
ring,0.0,0.0,0.0,0.0,0.0,0.0,0.008776889507934125,0.0,0.0,0.0,0.008641380551604624,0.0,0.0,0.0,0.0,0.00116121800396925
violet,0.0,0.0,0.0,0.0,0.0,0.0,0.2328931966344723,0.0,0.0,0.0,0.22383332508303969,0.0,0.2140038567544003,0.0,0.0,0.04471535856479415
pot,0.0,0.0,0.0,0.0,0.0,0.0,0.0024035484896781185,0.0,0.002363412271264682,0.0,0.0023792361981911222,0.0,0.0,0.0027236210174797397,0.0,0.0006579878651075775
sandpaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bra,0.0,0.0,0.0,0.0,0.0,0.0,0.01692674859438605,0.0,0.0,0.0,0.01697341753033347,0.0,0.0,0.0,0.0,0.0022600110749813013
football,0.0,0.0,0.0,0.0,0.0,0.0,0.0036597285714412182,0.0,0.0,0.0,0.003588627708736607,0.0,0.0,0.0,0.0,0.00048322375201185504
car,0.0,0.0,0.0,0.0,0.0,0.0,0.004326256865381234,0.0,0.0,0.0,0.004276924180465282,0.0,0.0,0.0,0.005812038105513097,0.0009610146100906408
wand,0.0,0.0,0.0,0.0,0.0,0.0,0.00233200545288177,0.0025144699466199062,0.0,0.0,0.002335257123240238,0.0,0.0,0.0,0.0,0.00047878216818279427
eye,0.0,0.0,0.0,0.0,0.0,0.0,0.025836329357313788,0.0,0.0,0.0,0.025798481954071372,0.0,0.0,0.0,0.0,0.0034423207540923437
flower,0.0,0.0,0.0,0.0,0.0,0.0,0.020986349182334777,0.0,0.0,0.0,0.020980392922914207,0.0,0.022593704265126746,0.02191104920045748,0.0,0.00576476637138888
water,0.0,0.0,0.0,0.0,0.0,0.0,0.009554460458751593,0.0,0.01014007939734496,0.0,0.009320610494994785,0.009824723318462139,0.0,0.0,0.0,0.002589324911303565
plumage,0.0,0.0,0.0,0.0,0.0,0.0,0.04039677923924317,0.0,0.03925246381873669,0.0,0.039981213887322654,0.0,0.0,0.0,0.0,0.0079753637963535
paint,0.0,0.0,0.0,0.0,0.0,0.0,0.04427642489217255,0.0,0.04435736409186942,0.0,0.04351972522819697,0.0,0.0,0.0,0.0,0.00881023428081593
orchid,0.0,0.0,0.0,0.0,0.0,0.0,0.001975698189612895,0.0,0.0,0.0,0.0020387816888429128,0.0,0.0023265161144222436,0.0,0.0,0.0004227330661918701
sapphire,0.0,0.0,0.0,0.0,0.0,0.0,0.07875266317273359,0.0,0.08050468729996613,0.0,0.07876837405030893,0.0,0.0,0.0,0.0,0.015868381634867243
cloak,0.0,0.0,0.0,0.0,0.0,0.0,0.029799907133608698,0.0,0.0,0.0,0.029643351009155737,0.0,0.0,0.0,0.0,0.003962883876184296
lantern,0.0,0.0,0.0,0.0,0.0,0.0,0.018362034588123428,0.0,0.0,0.0,0.018150909063522316,0.0,0.0,0.0,0.0,0.0024341962434430496
umbrella,0.0,0.0,0.0,0.0,0.0,0.0,0.016474548309109143,0.0,0.0,0.0,0.016040340291029055,0.0,0.0,0.0,0.0,0.002167659240009213
taxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0012713468627073303,0.0,0.0,0.0,0.0012462890897157572,0.0,0.0,0.0,0.001956315426377799,0.00029826342525339245
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0033077821656368953,0.0,0.0,0.0,0.003231077016474569,0.0,0.0,0.0,0.005192588521101567,0.0007820965135475355
hose,0.0,0.0,0.0,0.0,0.0,0.0,0.035717233765494884,0.0,0.0,0.0,0.0346946475170255,0.0,0.0,0.0,0.0,0.004694125418834692
piano,0.0,0.0,0.0,0.0,0.0,0.0,0.0027595885736507674,0.0,0.0,0.0,0.0026514838644233403,0.0,0.0,0.0,0.0,0.00036073816253827384
blossom,0.0,0.0,0.0,0.0,0.0,0.0,0.0054488728835239645,0.0,0.0,0.0,0.005378606353566369,0.0,0.0,0.006444007895025451,0.0,0.0011514324754743858
geranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0030540266935357658,0.0,0.0,0.0,0.0031669443994807745,0.0,0.003914397144879981,0.0,0.0,0.0006756912158597681
dogbane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.010656837915248688,0.0,0.011564697274225703,0.0,0.010474545402982111,0.0,0.0,0.0,0.0,0.002179738706163767
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marigold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,0.0,0.0,0.0,0.0,0.0,0.0,0.009272661194753775,0.0,0.0,0.0,0.009177602810275945,0.01081585902497587,0.0,0.0,0.0,0.0019510748686670392
pit,0.0,0.0,0.0,0.0,0.0,0.0,0.0018347690272559802,0.0,0.0,0.0,0.0017725751875033902,0.0,0.0,0.0,0.0,0.00024048961431729135
lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0010840154296763147,0.0,0.0,0.0,0.0010653030258181808,0.0,0.0,0.0,0.0,0.00014328789703296635
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0017490807341404835,0.0,0.0,0.0,0.001689024987793315,0.0,0.0,0.0,0.0,0.00022920704812891992
pyramid,0.0,0.0,0.0,0.0,0.0,0.0,0.003377159529496643,0.0,0.004028918844973808,0.0,0.0,0.0,0.0,0.0,0.0,0.0004937385582980301
ketchup,0.0,0.0,0.0,0.0,0.0,0.0,0.0031205161489918196,0.0,0.0,0.0,0.0,0.004240625592800519,0.0,0.0,0.0,0.000490742782786156
buttercup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,0.0,0.0,0.0,0.0,0.0,0.0,0.001054420965992136,0.0013788100923833105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016221540389169643
tank,0.0,0.0,0.0,0.0,0.0,0.0,0.0027697573925530637,0.0,0.0,0.0,0.0026967917614721237,0.0,0.0,0.0033300461247534655,0.0034598100985973714,0.0008170936918250683
oven,0.0,0.0,0.0,0.0,0.0,0.0,0.001322249102764454,0.0,0.0,0.0,0.001312033182016121,0.0,0.0,0.0,0.0,0.00017561881898537165
jam,0.0,0.0,0.0,0.0,0.0,0.0,0.004422647736422491,0.0,0.0,0.0,0.0,0.005250205026643149,0.0,0.0,0.0,0.0006448568508710426
heart,0.0,0.0,0.0,0.0,0.0,0.0,0.005511077795608663,0.0,0.0063119018092461674,0.0,0.005354132076374021,0.005226103702489345,0.0,0.0,0.0,0.0014935476922478797
salad,0.0,0.0,0.0,0.0,0.0,0.0,0.0008472977094260177,0.0,0.0,0.0,0.0,0.0010610024526101613,0.0,0.0,0.0,0.00012722001080241193
rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0025412506263438345,0.0,0.0,0.0,0.0025009063297161994,0.003195745825530734,0.003126228147826718,0.0,0.0,0.0007576087286278323
cannon,0.0,0.0,0.0,0.0,0.0,0.0,0.003479711528380132,0.0,0.0,0.0,0.0034166231327586007,0.0,0.0,0.0,0.0,0.00045975564407591554
fir,0.0,0.0,0.0,0.0,0.0,0.0,0.001379482486173412,0.0,0.0017495842057992095,0.0,0.001361352312387993,0.0,0.0017805828593426497,0.0,0.0,0.0004180667909135509
barn,0.0,0.0,0.0,0.0,0.0,0.0,0.004069196470077986,0.0,0.0,0.0,0.00402079851217427,0.0,0.0,0.004977253803087241,0.0,0.0008711499190226329
tar,0.0,0.0,0.0,0.0,0.0,0.0,0.0010593900671134852,0.0,0.0012692350868846178,0.0,0.0010936161125501243,0.0,0.0,0.0,0.0,0.00022814941776988184
daffodil,0.0,0.0,0.0,0.0,0.0,0.0,0.009789332428053013,0.0,0.0,0.0,0.005545088396667111,0.0,0.006951135023868878,0.0,0.0,0.001485703723239267
wine,0.0,0.0,0.0,0.0,0.0,0.0,0.0019508160327768515,0.0,0.0022884851884021518,0.0,0.0,0.0023644100934366065,0.0,0.0,0.0,0.00044024742097437396
cider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elm,0.0,0.0,0.0,0.0,0.0,0.0,0.000972244801137716,0.0,0.0012250919142914173,0.0,0.000969164373347298,0.0,0.0013672991309952843,0.0,0.0,0.00030225334798478107
