,animal,no-cat,measure,object,communication,vehicle,all,mean
scooter,0.00592065658959938,0.00592065658959938,0.0,0.005251774543132646,0.0,0.0,0.005250981389981597,0.003192009873187572
racer,0.004784727938670832,0.004784727938670832,0.0,0.005205963339743563,0.0,0.005625782561650297,0.005205940916451158,0.0036581632421695256
cat,0.00045822446423812453,0.000353854505373097,0.0,0.0003536248623626735,0.0,0.00037090044679609786,0.0003505662881123071,0.0002695957952689
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
packhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig,0.0,0.0,0.0,0.0007350319072642969,0.0,0.0,0.0007348920314913945,0.0002099891341079559
sidecar,0.0,0.02126311443644625,0.0,0.020279692802375102,0.0,0.0,0.0202699974901454,0.00883040067556668
carrier,0.0,0.005858279284064405,0.0,0.006868549340839993,0.0,0.007988916871993585,0.0068677696359906865,0.003940502161841239
suv,0.0,0.028315074060496295,0.0,0.0,0.0,0.0,0.025237567667471563,0.007650377389709694
wheelbase,0.0,0.2995747121192855,0.0,0.0,0.0,0.0,0.3249869081750142,0.08922308861347138
tank,0.0,0.0,0.06976362320150428,0.07558869918408664,0.0,0.08625542014430812,0.07559474349030142,0.04388606943145721
stage,0.0,0.0,0.0010328839917554016,0.0007767650585149211,0.0,0.0008195657654457204,0.0007717174355743159,0.00048584746447005126
heap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.06480033867270803,0.06063409773834077,0.07041122257882063,0.06479814148841695,0.0372348286397552
truck,0.0,0.0,0.0,0.0972870643981547,0.0,0.10303386372932814,0.09728414078488869,0.04251500984462451
undercarriage,0.0,0.0,0.0,0.0036636234756708794,0.0,0.0,0.003663573464712827,0.0010467424200548152
bicycle,0.0,0.0,0.0,0.00042764515923836017,0.0,0.0,0.00042764953167375407,0.00012218495584458776
