,animal,no-cat,measure,object,communication,vehicle,all,mean
scooter,0.011264403221774041,0.011264403221774041,0.0,0.007553752094065568,0.0,0.007953720919332495,0.007552611283045132,0.006512698677141611
racer,0.016689256895536093,0.016689256895536093,0.0,0.013727744711769895,0.0,0.01375474055136619,0.01372768558318722,0.010655526376770783
cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
packhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sidecar,0.0,0.013484782255603518,0.0,0.009722921317027946,0.0,0.0,0.00971827298438938,0.004703710936717264
carrier,0.0,0.0016512187655970873,0.0,0.0014635848438556678,0.0,0.0015783821287265686,0.0014634187004469949,0.0008795149198037598
suv,0.0,0.02611933171610428,0.0,0.0,0.0,0.0,0.017599899711965225,0.006245604489724215
wheelbase,0.0,0.035106158255422855,0.0,0.0,0.0,0.0,0.028791371902187585,0.009128218593944347
tank,0.0,0.0,0.0022574032019109765,0.0030200283841630917,0.0,0.0031953020629160315,0.0030202698749749223,0.0016418576462807176
stage,0.0,0.0,0.0002582209979388504,0.00020195234909323553,0.0,0.00019858841934206617,0.00020043615331470687,0.00012274255995555129
heap,0.0,0.0,0.0017319879195334313,0.0009463214430071445,0.001471972730691554,0.000909113812502981,0.0009339687127836871,0.0008561949455026856
bus,0.0,0.0,0.0,0.00659401505215755,0.0049970711570200945,0.006643331366328672,0.0065937914689698,0.0035468870063537308
truck,0.0,0.0,0.0,0.030027960518177427,0.0,0.029486423236587067,0.030027058135684286,0.012791634555778395
undercarriage,0.0,0.0,0.0,0.0007025968911125234,0.0,0.0,0.0007025873001859768,0.00020074059875692862
bicycle,0.0,0.0,0.0,0.022143318922203465,0.0,0.02266442115082894,0.022143545325400842,0.00956446934263332
hearse,0.0,0.0,0.0,0.00779798815119797,0.0,0.008490446418625263,0.007831250364349536,0.0034456692763103957
tram,0.0,0.0,0.0,0.003689270303930859,0.0,0.0036736394427879715,0.0036893371040916745,0.0015788924072586434
wagon,0.0,0.0,0.0,0.012850212042748282,0.0,0.012638531968102048,0.012847148963817353,0.00547655613923824
coupe,0.0,0.0,0.0,0.009431788758895747,0.0,0.009652034307705651,0.009431782454654078,0.004073657931607925
garage,0.0,0.0,0.0,0.022231204660912034,0.0,0.0,0.022235948560672573,0.006352450460226373
caravan,0.0,0.0,0.0,0.008488854591918437,0.0,0.00884135605130452,0.008488167786065792,0.003688339775612678
