,context,n_concepts,mean_tfidf,mean_diff,evidence
0,chic,6,0.01,0.01,-
1,except,6,0.01,0.0,-
2,historic,5,0.0,0.0,-
3,winding,5,0.0,0.0,-
4,darker,5,0.01,0.01,-
5,coupled,5,0.0,0.0,-
6,taiwan,5,0.0,0.0,-
7,readers,5,0.0,0.0,-
8,parties,5,0.0,0.0,-
9,blends,5,0.0,0.0,-
10,embraced,5,0.0,0.0,-
11,russian,5,0.0,0.0,-
12,general,5,0.0,0.0,-
13,branch,5,0.06,0.06,-
14,dusty,5,0.01,0.01,-
15,aromatic,5,0.0,0.0,-
16,strange,5,0.01,0.01,-
17,dash,5,0.0,0.0,-
18,generous,5,0.0,0.0,-
19,types,5,0.0,0.0,-
20,black,5,0.04,0.03,-
