,context,n_concepts,mean_tfidf,mean_diff,evidence
0,sprinkled,5,0.01,0.01,u
1,tea,5,0.01,0.01,u
2,covered,5,0.01,0.01,u
3,comes,5,0.01,0,u
4,aroma,5,0.01,0.01,u
5,cookie,5,0.01,0,u
6,edible,5,0.01,0.01,u
7,offerings,5,0.01,0,u
8,favorite,5,0.01,0.01,u
9,margin,4,0,0,u
10,nights,4,0.06,0.06,u
11,trendy,4,0.01,0.01,u
12,receives,4,0.01,0.01,u
13,reminiscent,4,0,0,u
14,ann,4,0.01,0.01,u
15,shared,4,0,0,u
16,silky,4,0.01,0.01,u
17,ritual,4,0,0,u
18,recommends,4,0,0,u
19,finishing,4,0,0,u
20,blue,4,0.04,0.04,p
