,communication,no-cat,vehicle,all,object,measure,animal,mean
bus,0.0961591876261383,0.0,0.10570440658194061,0.1022555659672607,0.1022501460241569,0.0,0.0,0.058052758028499504
trailer,0.13018436237313616,0.0,0.14296676786380835,0.14503179088832385,0.14503037045480305,0.0,0.0,0.08045904165429592
heap,0.002100322652541468,0.0,0.0015225936236974021,0.001475754948401979,0.001498113524995805,0.002249132929635971,0.0,0.001263702525610375
driver,0.342576734281685,0.0,0.0,0.2772429656011322,0.27903163811796566,0.0,0.0,0.1284073340001118
rig,0.0,0.011593665321159415,0.011426935803650637,0.010580985771243306,0.010581371128465918,0.0,0.0,0.006311851146359897
scooter,0.0,0.0008986743594330281,0.0006233320562721486,0.0005955254598847225,0.0005955254598847225,0.0,0.0008986743594330281,0.0005159616707010928
sidecar,0.0,0.017605088581103632,0.0,0.015710533817390494,0.015710533817390494,0.0,0.0,0.007003736602269232
racer,0.0,0.011701482842813506,0.008501396156991827,0.007700223502193677,0.0076998443217504865,0.0,0.011701482842813506,0.006757775666651858
carrier,0.0,0.0038885044562345524,0.003653045526880678,0.003436188336481072,0.0034361946846946053,0.0,0.0,0.0020591332863272725
suv,0.0,0.2509925782690007,0.0,0.2044236519137658,0.0,0.0,0.0,0.06505946145468092
wheelbase,0.0,0.002506276814965852,0.0,0.0019378107092923814,0.0,0.0,0.0,0.0006348696463226047
cat,0.0,0.0001559425983356674,0.0001940984376909995,0.00018990267107747895,0.0001924335162917391,0.0,0.00021944462749438754,0.0001359745501271818
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truck,0.0,0.0,0.04670790569558165,0.04744815787014867,0.04744824209332213,0.0,0.0,0.020229186522721782
bicycle,0.0,0.0,0.010940305896086149,0.010592686384338022,0.010593174228874147,0.0,0.0,0.0045894523584711884
hearse,0.0,0.0,0.00291113488256356,0.002729685573515264,0.0027296289926698756,0.0,0.0,0.0011957784926783857
tram,0.0,0.0,0.006942280119275116,0.0067821668803448535,0.006782313825640206,0.0,0.0,0.0029295372607514537
tank,0.0,0.0,0.022106873885572857,0.021252990575727753,0.02125481685355103,0.022007207319221588,0.0,0.012374555519153316
wagon,0.0,0.0,0.020806367727868653,0.020971903242389515,0.02097280956776679,0.0,0.0,0.008964440076860708
