,communication,no-cat,vehicle,all,object,measure,animal,mean
bus,0.00958007442999655,0.0,0.011330320571270373,0.01060168472017721,0.010601122789611922,0.0,0.0,0.006016171787293722
trailer,0.0030356632311329622,0.0,0.0035867480971116562,0.0035193933589667465,0.0035193588902184166,0.0,0.0,0.001951594796775683
heap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
driver,0.001144101688917841,0.0,0.0,0.0010375612133979204,0.0010323884962974092,0.0,0.0,0.00045915019980188144
rig,0.0,0.0005796832660579708,0.000791551996795208,0.0007089483799377182,0.0007089741996850057,0.0,0.0,0.0003984511203537004
scooter,0.0,0.01662547564951102,0.01597610283685058,0.014763541231046536,0.014763541231046536,0.0,0.01662547564951102,0.011250590942566526
sidecar,0.0,0.017605088581103632,0.0,0.021052778519117077,0.021052778519117077,0.0,0.0,0.008530092231333969
racer,0.0,0.10401318082500895,0.10469293830326197,0.09172110710978305,0.0917165905071112,0.0,0.10401318082500895,0.07087957108145344
carrier,0.0,0.0004093162585510055,0.0005327348847858443,0.00048469867642047935,0.0004846995718809128,0.0,0.0,0.0002730641988054631
suv,0.0,0.004128167405740142,0.0,0.004505531629866619,0.0,0.0,0.0,0.0012333855765152518
wheelbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0,0.00034861998191157277,0.00042216986904483524,0.00042560576297152495,0.0004263768900493327,0.0,0.0004388892549887751,0.00029452310842372013
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truck,0.0,0.0,0.003994432044324682,0.003924847809909876,0.003924854776737519,0.0,0.0,0.0016920192329960108
bicycle,0.0,0.0,0.1258019041134289,0.11781556938811291,0.11782099536597265,0.0,0.0,0.05163406698107349
hearse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tram,0.0,0.0,0.01923586790071338,0.018176779843539093,0.018177173669336924,0.0,0.0,0.007941403059084199
tank,0.0,0.0,0.0017501244895850984,0.0016274231168185997,0.0016275629619258917,0.0016193306474109289,0.0,0.0009463487451057884
wagon,0.0,0.0,0.0037194114551436976,0.0036262239550765665,0.0036263806665946478,0.0,0.0,0.0015674308681164159
coupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caravan,0.0,0.0,0.0013619187686046467,0.0013137471507093496,0.0013137221628225317,0.0,0.0,0.0005699125831623612
minivan,0.0,0.0,0.0014648166192913605,0.0013988598980115498,0.0013988582148304312,0.0,0.0,0.000608933533161906
vehicle,0.0,0.0,0.006821718775832203,0.006551288758705167,0.006551353279104178,0.0,0.0,0.0028463372590916496
coach,0.0,0.0,0.0004737654809988368,0.00042537069893360284,0.0004253273781705396,0.0,0.0,0.00018920907972899706
unicycle,0.0,0.0,0.14791855985600924,0.1362038290575848,0.1363099953158334,0.0,0.0,0.06006176917563249
cabriolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcycle,0.0,0.0,0.07204926769609299,0.0664946833532617,0.06649441406606978,0.0,0.0,0.02929119501648921
cab,0.0,0.0,0.004214789504082299,0.004021265112157882,0.004021181140657095,0.0,0.0,0.0017510336795567537
snowplow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airplane,0.0,0.0,0.005320298411760089,0.004921355971593745,0.00492062362290134,0.0,0.0,0.0021660397151793105
snowmobile,0.0,0.0,0.007546410006131703,0.006917968439562441,0.0069181527087852765,0.0,0.0,0.0030546473077827747
pram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roadster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
van,0.0,0.0,0.0005166317305424607,0.000467433261532005,0.00046743089626091646,0.0,0.0,0.00020735655547648315
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcar,0.0,0.0,0.07272320823847361,0.0648475901540225,0.06503147958839045,0.0,0.0,0.02894318256869808
tractor,0.0,0.0,0.0026994248274377812,0.0026757788153034664,0.0026757728051301985,0.0,0.0,0.0011501394925530638
car,0.0,0.0,0.009253026947275533,0.008624247560754033,0.008623875688287503,0.0,0.0,0.003785878599473867
stagecoach,0.0,0.0,0.012099325905377975,0.011220037439215298,0.01120767190295365,0.0,0.0,0.0049324336067924175
limousine,0.0,0.0,0.008953401454030159,0.008455770679684699,0.008457380795322924,0.0,0.0,0.003695221847005398
dumper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automobile,0.0,0.0,0.014176470067722166,0.013304977881402724,0.01330562452577437,0.0,0.0,0.005826724639271323
runabout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.04366770231417854,0.040794723488156694,0.04079462351150136,0.0,0.0,0.017893864187690938
bogie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorbike,0.0,0.0,0.12101939478466553,0.11238497923219279,0.11240105754266103,0.0,0.0,0.0494007759370742
taxicab,0.0,0.0,0.020735617662500892,0.018652732215013866,0.018650791168043645,0.0,0.0,0.008291305863651201
trolley,0.0,0.0,0.029495882936871394,0.02789570914472572,0.0278846921762678,0.0,0.0,0.01218232632255213
wheel,0.0,0.0,0.020387772732517996,0.01905511511317152,0.019054084489230044,0.0,0.0,0.008356710333559936
locomotive,0.0,0.0,0.004296036051119889,0.003956798960347912,0.003956798960347912,0.0,0.0,0.0017442334245451022
railcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buggy,0.0,0.0,0.002730457256519509,0.0024166514347840444,0.0024166406533446525,0.0,0.0,0.0010805356206640294
rickshaw,0.0,0.0,0.21649184123951276,0.19896737817617824,0.19896943190998553,0.0,0.0,0.08777552161795378
phaeton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handcart,0.0,0.0,0.1285770179652353,0.11743556128322045,0.11745459518522366,0.0,0.0,0.0519238820619542
jeep,0.0,0.0,0.0032252446439031976,0.0035862040875280854,0.0035861876083243026,0.0,0.0,0.0014853766199650839
machine,0.0,0.0,0.0034283480648349676,0.0030274718440763244,0.0030274717249280706,0.0,0.0,0.0013547559476913375
stanhope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto,0.0,0.0,0.0024931077245985106,0.0023633320924469126,0.0023633063778775686,0.0,0.0,0.0010313923135604273
carriage,0.0,0.0,0.017934955160594717,0.016448199853236402,0.016446823001227368,0.0,0.0,0.00726142543072264
streetcar,0.0,0.0,0.00410666421760547,0.003712454984924836,0.0037125811148765375,0.0,0.0,0.001647385759629549
saloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cart,0.0,0.0,0.03081775311834076,0.028934154346884636,0.02893927936903876,0.0,0.0,0.012670169547752021
ambulance,0.0,0.0,0.00336704606896733,0.003106713759004026,0.0031066665445810423,0.0,0.0,0.0013686323389360568
pedicab,0.0,0.0,0.05177841097435504,0.049065992681036424,0.049065992681036424,0.0,0.0,0.021415770905203985
lorry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage,0.0,0.0,0.0016507286940241179,0.0016487577286816507,0.0016416228782208731,0.0018888253923037663,0.0,0.0009757049561757725
yacht,0.0,0.0,0.0012295471704150645,0.0012278507661203878,0.0012237857098354352,0.0,0.0,0.000525883378052984
warship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battleship,0.0,0.0,0.0016473995051598225,0.0016336548952371902,0.0016346444113312937,0.0,0.0,0.0007022426873897581
vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sleigh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trawler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frigate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gondola,0.0,0.0,0.002409351919645878,0.0023833463190393108,0.0023735804186670365,0.0,0.0,0.0010237540939074606
toboggan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
