,weapon,mammal,animal,no-cat,tool,medication,criminal,reptile,all,communication,relation,cutlery,fish,object,food,dangerous,measure,vehicle,mean
bayonet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revolver,0.0012440955406277513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008350437264319272,0.0,0.0,0.0,0.0,0.0008412602075687231,0.0,0.0,0.0,0.0,0.00016224441525713342
doodlebug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fusil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handgun,0.0048023063292173965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030101134415299025,0.0,0.0,0.0,0.0,0.002987954141201899,0.0,0.0,0.0,0.0,0.0006000207728860665
knife,0.006261485108628686,0.0,0.0,0.0,0.004594438118818091,0.0,0.0,0.0,0.0048291075824007665,0.0,0.0,0.0060229539790090155,0.0,0.0049863041572457975,0.0,0.0,0.0,0.0,0.0014830160525612418
buckshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.003083533748155164,0.0,0.0,0.0,0.002156827240059959,0.0,0.0,0.0,0.002247690790748681,0.0,0.0,0.0,0.0,0.0023621653418777143,0.0016373813570539084,0.0,0.0,0.0,0.0006381999154386348
shotgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009023955779658494,0.0,0.0,0.0,0.0,0.0009208396285774626,0.0,0.0,0.0,0.0,0.00010129084480796177
sword,0.0050443525219285796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003650807840389008,0.0,0.0,0.0,0.0,0.0036532439713878413,0.0,0.0,0.0,0.0,0.0006860224629836349
weapon,0.05645571512493631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042742147877148806,0.0,0.0,0.0,0.0,0.042147904538460505,0.0,0.0,0.0,0.0,0.007852542641141423
grapeshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
