,vegetable,mammal,animal,no-cat,fruit,tool,bird,all,communication,relation,object,food,plant,measure,mean
pea,0.03972919589505043,0.0,0.0,0.0,0.0425401671092251,0.0,0.0,0.037758939355835394,0.0,0.0,0.03844303989456568,0.037972024416502916,0.03362254690613765,0.0,0.01643327954123694
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tater,0.01938052971773985,0.0,0.0,0.0,0.0,0.0,0.0,0.026368876057352445,0.0,0.0,0.0,0.02554393946126672,0.0,0.0,0.005092381802597073
pumpkin,0.030443445643329653,0.0,0.0,0.0,0.0,0.0,0.0,0.0354971273373594,0.0,0.0,0.03581799929624504,0.035458788344487645,0.030034923809042664,0.0,0.011946591745033172
fennel,0.019123744713729497,0.0,0.0,0.0,0.0,0.0,0.0,0.02389302972358989,0.0,0.0,0.024031230668570793,0.024465847692071944,0.02061774764113901,0.0,0.008009400031364366
rhubarb,0.004280335055932847,0.0,0.0,0.0,0.0,0.0,0.0,0.004048873203011872,0.0,0.0,0.004133892248133761,0.004135386266106108,0.0038976765004717115,0.0,0.0014640116624040213
pepper,0.0205598600387681,0.0,0.0,0.0,0.0,0.0,0.0,0.023606443972172108,0.0,0.0,0.023620305447460466,0.023803021979803815,0.020250329659004526,0.0,0.007988568649800644
parsnip,0.010257016994177859,0.0,0.0,0.0,0.0,0.0,0.0,0.011740813838127546,0.0,0.0,0.011699287202904819,0.011785361436561323,0.009777535572090962,0.0,0.003947143931704465
chilli,0.02472603384630092,0.0,0.0,0.0,0.0,0.0,0.0,0.03048611135230463,0.0,0.0,0.0,0.02839020186306984,0.0,0.0,0.0059715962186911
plantain,0.017017952121091327,0.0,0.0,0.0,0.0,0.0,0.0,0.017001486331767707,0.0,0.0,0.0171265068027044,0.01730708722313293,0.015757617602666273,0.0,0.006015046434383046
beet,0.004829740408501345,0.0,0.0,0.0,0.0,0.0,0.0,0.005476662283560363,0.0,0.0,0.005586205194667221,0.005220838389907402,0.0048896180611734865,0.0,0.0018573617384149872
carrot,0.016017276297306447,0.0,0.0,0.0,0.0,0.0,0.0,0.018020162911294678,0.0,0.0,0.018178263342959404,0.018071521482128396,0.015517036802485376,0.0,0.00612887577401245
taro,0.05983036137440257,0.0,0.0,0.0,0.0,0.0,0.0,0.06455942023708462,0.0,0.0,0.06454411146106208,0.06465876040218807,0.055812309063997104,0.0,0.022100354467052462
tomato,0.025515079664706182,0.0,0.0,0.0,0.0,0.0,0.0,0.02614282737126381,0.0,0.0,0.02540082515468297,0.027154617894257604,0.023372342599247493,0.0,0.009113263763154147
vegetable,0.006412017673627008,0.0,0.0,0.0,0.0,0.0,0.0,0.00790713945456926,0.0,0.0,0.007944267095002518,0.00784048900459777,0.007008882642145872,0.0,0.0026509139907101736
onion,0.03512144239860385,0.0,0.0,0.0,0.0,0.0,0.0,0.03794066443265466,0.0,0.0,0.03732315035248094,0.039218944152614434,0.03406038830387251,0.0,0.01311889926001617
squash,0.006391508943691793,0.0,0.0,0.0,0.0,0.0,0.0,0.007082464570616977,0.0,0.0,0.0070330458241925,0.0069861090712581946,0.006028371208661834,0.0,0.0023943928298872353
tabasco,0.001465361554988778,0.0,0.0,0.0,0.0,0.0,0.0,0.0015168252085759407,0.0,0.0,0.0,0.001540157091255322,0.0,0.0,0.00032302456105857437
veg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.021155334696720138,0.0,0.0,0.0,0.0,0.0,0.0,0.018325733597716515,0.0,0.0,0.018736144565734924,0.018239492313692884,0.018365953184816857,0.0,0.0067730470256200945
cabbage,0.012160393185859436,0.0,0.0,0.0,0.0,0.0,0.0,0.010430484345965416,0.0,0.0,0.010856242359637312,0.010270011719529381,0.010756788267309721,0.012783296400845834,0.004804086877081936
cucumber,0.04302612902657113,0.0,0.0,0.0,0.0,0.0,0.0,0.04224054868125433,0.0,0.0,0.04415771180563469,0.04198574445502971,0.04326507434780088,0.0,0.015333943451163623
soybean,0.011275255585244025,0.0,0.0,0.0,0.011148427359870186,0.0,0.0,0.010816531777484532,0.0,0.0,0.011067084554949968,0.010380802762436941,0.01094893416410979,0.0,0.00468835972886396
edda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,0.0020173386129156957,0.0,0.0,0.0,0.0,0.0,0.0,0.001601549455401665,0.0,0.0,0.001708790295848192,0.0015710219033791214,0.00167623471846929,0.0,0.0006124953561438545
chipotle,0.0045445682461987295,0.0,0.0,0.0,0.0,0.0,0.0,0.00499739514155849,0.0,0.0,0.0,0.004890982217117062,0.0,0.0,0.0010309246860624487
radish,0.02107826322114338,0.0,0.0,0.0,0.0,0.0,0.0,0.01786396855671061,0.0,0.0,0.019010207015419674,0.017985307732086883,0.01884107253107853,0.0,0.006769915646888505
sorrel,0.016228956345338802,0.024426250443823228,0.024426250443823228,0.0,0.0,0.0,0.0,0.017980447536599376,0.0,0.0,0.016190193915036066,0.01801651765000699,0.0160718629050995,0.0,0.0095243199456948
pulse,0.000694785717917285,0.0,0.0,0.0,0.0,0.0,0.0,0.0006501060654877021,0.0,0.0007982240339437952,0.0,0.0006370000029181857,0.0,0.0,0.00019857970144764058
chickpea,0.008168980343107476,0.0,0.0,0.0,0.006996244133141857,0.0,0.0,0.008269162550626331,0.0,0.0,0.00818706135431882,0.007866607513974933,0.007206396937286377,0.0,0.003335318059461128
flageolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lentil,0.01517454385934189,0.0,0.0,0.0,0.013603096545111243,0.0,0.0,0.014800675862558503,0.0,0.0,0.014350202423584413,0.014302178173291349,0.01415215558489735,0.0,0.006170203746341768
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artichoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legume,0.0006164068301104253,0.0,0.0,0.0,0.0006254033094657833,0.0,0.0,0.0005455127906473389,0.0,0.0,0.0005878390155708085,0.000515965374812356,0.0005726072170206068,0.0,0.00024740960983052275
asparagus,0.007469265480446621,0.0,0.0,0.0,0.0,0.0,0.0,0.0064189549540968165,0.0,0.0,0.006888211895591698,0.006410491168061351,0.006853671635889722,0.0,0.0024314710810061577
cauliflower,0.010035813243955994,0.0,0.0,0.0,0.0,0.0,0.0,0.008335450980760007,0.0,0.0,0.008895267315051796,0.008287122269531821,0.008751908092750619,0.0,0.003164682993003588
zucchini,0.022454678314534515,0.0,0.0,0.0,0.0,0.0,0.0,0.019429362814074213,0.0,0.0,0.02013807620925844,0.01939429512318447,0.020280333157589644,0.0,0.007264053258474378
kale,0.004265660927830836,0.0,0.0,0.0,0.0,0.0,0.0,0.0032270954032587998,0.0,0.0,0.0035003815174227434,0.0032462713202996655,0.0035292799325142643,0.006315920567771515,0.001720329262078416
soy,0.039214784866551826,0.0,0.0,0.0,0.035773850942564904,0.0,0.0,0.03751064893832242,0.0,0.0,0.036620467463701345,0.0374168350345502,0.035999567482650284,0.0,0.01589543962345293
bean,0.0363661868761426,0.0,0.0,0.0,0.03616151851807585,0.0,0.0,0.03656037302836205,0.0,0.0,0.03697563855863094,0.035764083108604024,0.036002734055890856,0.0,0.015559323867550452
cob,0.0,0.013600850810415952,0.014150773500432489,0.0,0.010539333518740162,0.0,0.01563393684854423,0.01004596319924865,0.0,0.0,0.010291796485025484,0.0,0.0,0.0,0.0053044753116004975
jack,0.0,0.004398397494110947,0.004398397494110947,0.003925037658156403,0.0028980832451259847,0.006394598662017281,0.0,0.0027261891899436536,0.0,0.0034299199795436055,0.0028327967097079923,0.002674956913192597,0.0,0.004500919455354281,0.002727092628661692
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0,0.0,0.003667080482260816,0.0,0.0,0.0,0.0,0.002570095148641872,0.0,0.0,0.0026599779389714076,0.002488338473193696,0.0,0.0,0.0008132494316476994
lobster,0.0,0.0,0.0015815396747087254,0.0,0.0,0.0,0.0,0.0010823670752065826,0.0,0.0,0.0011100494370862703,0.001036678845893721,0.0,0.0,0.00034361678806395
chicken,0.0,0.0,0.008782138881625774,0.0,0.0,0.0,0.008782138881625774,0.007732321746471073,0.0,0.0,0.007612663106576082,0.007645232894197816,0.0,0.0,0.0028967496793211797
oyster,0.0,0.0,0.002001947221436901,0.0,0.0,0.0,0.0,0.001368499221818139,0.0,0.0,0.001412512448824185,0.0013340244567922144,0.0,0.002323608453399067,0.0006028994144478934
flavor,0.0,0.0,0.0,0.16900627384799902,0.0,0.0,0.0,0.12336371497644691,0.0,0.0,0.0,0.0,0.0,0.0,0.020883570630317566
grape,0.0,0.0,0.0,0.013067874439262325,0.010780049623699077,0.0,0.0,0.010785547839898105,0.0,0.0,0.010763511841048744,0.010935146372153213,0.009538514056214673,0.0,0.004705046012305439
