,reptile,criminal,food,fish,communication,cutlery,no-cat,vehicle,all,mammal,relation,tool,object,measure,animal,weapon,medication,mean
snake,0.01492523589087581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013582420452367253,0.0,0.0,0.0,0.01340322295550343,0.0,0.013275818213590857,0.0,0.0,0.0032462763242551386
alligator,0.014716996349257125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015977168429441017,0.0,0.01847022178353805,0.0,0.016170979582341833,0.0,0.014739345591418547,0.0,0.0,0.004710277160940975
turtle,0.0032591842629198474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022975799702860743,0.0,0.0,0.0,0.0021881115248464935,0.0,0.0026867572596844594,0.0,0.0,0.0006136254716315809
gunman,0.0,0.2663462028067374,0.0,0.0,0.0,0.0,0.0,0.0,0.21250020860435298,0.0,0.0,0.0,0.21339874782855558,0.0,0.0,0.0,0.0,0.040720303484685055
coyote,0.0,0.010807129395594172,0.0,0.0,0.0,0.0,0.0,0.0,0.0058307152743707815,0.006742478216463021,0.0,0.0,0.0058696710864990466,0.0,0.006432807490788365,0.0,0.0,0.0020989883213950226
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traitor,0.0,0.004473260114972959,0.0,0.0,0.0,0.0,0.0,0.0,0.0034946793969011384,0.0,0.0,0.0,0.003390578880026886,0.0,0.0,0.0,0.0,0.0006681481407000579
racketeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijacker,0.0,0.008666698546171372,0.0,0.0,0.0,0.0,0.0,0.0,0.005514409660181235,0.0,0.0,0.0,0.00553746759977432,0.0,0.0,0.0,0.0,0.0011599162238898192
looter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bootlegger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028858394052713465,0.0,0.0,0.0,0.028340572990313017,0.0,0.0,0.0,0.0,0.0033646451201780284
conspirator,0.0,0.0026887492922129516,0.0,0.0,0.0,0.0,0.0,0.0,0.001382725256923209,0.0,0.0,0.0,0.0013785878070512053,0.0,0.0,0.0,0.0,0.00032059190330513914
raper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gun,0.0,0.0542465559251476,0.0,0.0,0.0,0.0,0.0,0.0,0.04553896560443207,0.0,0.0,0.0,0.04556356542698735,0.0,0.0,0.05090928664653557,0.0,0.01154461021194721
mafioso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02720558112329879,0.0,0.0,0.0,0.026522929940065252,0.0,0.0,0.0,0.0,0.00316050065078612
thief,0.0,0.016294128334499173,0.0,0.0,0.0,0.0,0.0,0.0,0.012648272950651225,0.0,0.0,0.0,0.012880488757570871,0.0,0.0,0.0,0.0,0.0024601700025130156
punk,0.0,0.0,0.0,0.0,0.0006623512938328954,0.0,0.0,0.0,0.000612228140656756,0.0,0.0,0.0,0.000619275559455647,0.0,0.0,0.0,0.0,0.00011140323493795873
torpedo,0.0,0.006502698195240251,0.005916195479684567,0.005193509951139974,0.00471278841669871,0.0,0.0,0.0,0.00451079323459716,0.0,0.005487732976373351,0.0,0.004520514105270544,0.0,0.004047502136823586,0.0,0.0,0.0024053961468134205
pusher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.0,0.0,0.0019317669366840258,0.0,0.0,0.0,0.0,0.0,0.0016890971796860031,0.0,0.0,0.0016522789062920157,0.0017260891895934537,0.0,0.0,0.0020192935357892607,0.0,0.0005305015145908682
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elixir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0,0.0,0.0011069952503378968,0.0011757252111662614,0.0,0.0,0.0009319606980855938,0.0,0.000835686004331633,0.0010894306538995556,0.0012825105630658478,0.0010977284749615925,0.0008404216428266218,0.001342558980992638,0.0009650200020693324,0.0,0.0,0.0006275316165727631
tuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rabbit,0.0,0.0,0.003124465972233961,0.0,0.0,0.0,0.0,0.0,0.002911938061914156,0.003624852282854213,0.003475079929037088,0.0,0.0027796631274372287,0.0,0.003033477051438688,0.0,0.0,0.001114675083818549
starter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot,0.0,0.0,0.0,0.0,0.005888678446788531,0.0,0.0,0.0,0.0051707223897004325,0.0,0.0,0.0,0.005220708493038918,0.0,0.0,0.0,0.0,0.0009576534899722283
