,food,fish,communication,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
bomber,0.0009907595506048832,0.0,0.0,0.0,0.001210399324287912,0.001034359057968123,0.0,0.0,0.0,0.0010335933237350407,0.0,0.0,0.00035575927138299657
chinook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.0013301354906553452,0.0,0.0,0.0,0.0,0.0013501758996929529,0.0,0.0,0.0017076419217854394,0.0013483133385756043,0.0014036186172680753,0.0014708144404069034,0.0007175583090320266
pheasant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quail,0.0010529992723735803,0.0,0.0,0.0,0.0,0.0012424602552541632,0.0,0.0,0.0015819874313690327,0.001240507115129325,0.0,0.0011318625866711372,0.0005208180550664365
bream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catfish,0.0020561010023134835,0.002241339759633159,0.0,0.0,0.0,0.0017326429383884906,0.0,0.0,0.0,0.0017371450023626436,0.0,0.002035883480008347,0.0008169260152255104
sunfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haddock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buffalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sausage,0.0010227007668908035,0.0,0.0,0.0,0.0005988590350894826,0.0008161800174216366,0.0,0.0,0.0,0.0008177563535168671,0.0,0.0,0.0002712913477432325
grouper,0.0031473113097414403,0.003970403713469785,0.0,0.0,0.0,0.0026657166277415743,0.0,0.0,0.0,0.0027114838007652694,0.0,0.003241954588887118,0.001311405836717099
stock,0.00011431903440389854,0.0,8.080447222402248e-05,9.805426148422818e-05,0.0,0.00011044626399828532,0.0,0.00013065727458153715,0.0,0.00011040385892450295,0.0,0.00012024661671281818,6.374431519410773e-05
submarine,0.001166870850297486,0.0,0.0,0.0,0.0011207229027802683,0.00115765042268774,0.0,0.0,0.0,0.0011637348888363125,0.0,0.0,0.0003840815887168172
steamer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rabbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fryer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plaice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepshead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hind,0.0,0.003495312083030464,0.0,0.0,0.0,0.003838617128722879,0.004791483621768954,0.0,0.0,0.003857906855602477,0.0,0.0044854754253525475,0.0017057329262064435
rudd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minnow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.0,0.008257867796502666,0.0,0.0,0.0,0.006421544971699386,0.0,0.0,0.0,0.00644746525779444,0.0,0.007178812126677905,0.0023588075127228664
amberjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kite,0.0,0.0,0.0023925264774226187,0.0,0.0,0.002279918515664952,0.0,0.0,0.002527638441219478,0.0022793613027135735,0.0,0.002276801241830464,0.000979687164904257
capsule,0.0,0.0,0.0013386756156203666,0.0011408475066429756,0.0010663062653983822,0.0009441481755768999,0.0,0.0,0.0,0.0009412757165592435,0.0,0.0,0.00045260443998315565
arrow,0.0,0.0,0.0012197649765016316,0.001221433865616551,0.0,0.0011956720514405416,0.0,0.0,0.0,0.001193316017194465,0.0,0.0,0.0004025155758960991
seal,0.0,0.0,0.0016552901745064178,0.0,0.0,0.0021968374283097085,0.0029617169842191624,0.0022315760209366156,0.0,0.0021770360826343935,0.0,0.0024248218757121145,0.0011372732138598676
trailer,0.0,0.0,0.0005511837814811967,0.0,0.0007668827443819306,0.0007863399266594029,0.0,0.0,0.0,0.000778743156373514,0.0,0.0,0.0002402624674080037
heap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jalopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
howler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky,0.0,0.0,0.0,0.0019319973948563529,0.0,0.0018132699540205962,0.0,0.0,0.0,0.0,0.0,0.0,0.00031210561240641244
plane,0.0,0.0,0.0,0.00704182110442993,0.00795621281701255,0.00721318209713489,0.0,0.0,0.0,0.007206345216634861,0.0,0.0,0.002451463436267686
titi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0,0.001786402809589705,0.0,0.002407456163738121,0.0,0.0,0.0,0.0024163623612036113,0.0,0.0029666441894359167,0.0007980721269972795
twinjet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0,0.0,0.0,0.0,0.006259705084861483,0.005927952946361991,0.0,0.0,0.0,0.005910955899003113,0.0,0.0,0.0015082178275188823
jet,0.0,0.0,0.0,0.0,0.002618706268281609,0.0023290027472905135,0.0,0.002331550676444369,0.0,0.0023253894251235537,0.0,0.0,0.0008003874264283371
airship,0.0,0.0,0.0,0.0,0.012979104646260361,0.01730761033838089,0.0,0.0,0.0,0.01725966937976566,0.0,0.0,0.003962198697033909
helicopter,0.0,0.0,0.0,0.0,0.005233820195524515,0.004857786401466518,0.0,0.0,0.0,0.00485127723191914,0.0,0.0,0.0012452403190758479
craft,0.0,0.0,0.0,0.0,0.003092975350642903,0.0029578373675956436,0.0,0.0,0.0,0.002952246919421477,0.0,0.0,0.0007502549698050019
machine,0.0,0.0,0.0,0.0,0.00017211065501204236,0.0001609236121188188,0.0,0.0,0.0,0.00016077624865899837,0.0,0.0,4.115087631582163e-05
truck,0.0,0.0,0.0,0.0,0.001760501638481974,0.0020433068576588007,0.0,0.0,0.0,0.0020407851768376494,0.0,0.0,0.000487049472748202
coupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schooner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
van,0.0,0.0,0.0,0.0,0.0006477538580941308,0.0007625714017262613,0.0,0.0,0.0,0.0007657813496206963,0.0,0.0,0.00018134221745342403
tower,0.0,0.0,0.0,0.0,0.005919055997169072,0.006674221520063061,0.0,0.0,0.0,0.006604216443721843,0.0,0.0,0.0015997911634128314
tractor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,0.002034678612734918,0.0023927883236781232,0.0,0.0,0.0,0.0023941110743104185,0.0,0.0,0.0005684648342269551
sharpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minesweeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sloop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bogie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrier,0.0,0.0,0.0,0.0,0.0010871506824871914,0.0012019618661935727,0.0,0.001273562015543063,0.0,0.0012018399311123046,0.0,0.0,0.00039704287461134435
clarence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phaeton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taxi,0.0,0.0,0.0,0.0,0.00569119564756277,0.005961914070153382,0.0,0.0,0.0,0.005937173194837262,0.0,0.0,0.001465856909379451
junk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
