,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,female,measure,vehicle,mean
eagle,0.0,0.017679201640936913,0.0,0.02099861867462804,0.017695397817147695,0.0,0.0,0.0,0.017871902017246796,0.0,0.0,0.018810006293710022,0.0,0.0071580866495130355
grosbeak,0.0,0.008964880965077084,0.0,0.011189815677391848,0.017791922180785427,0.0,0.0,0.0,0.017915983658815648,0.0,0.0,0.0,0.0,0.004297123267851539
stilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0,0.0004084493812667786,0.0,0.0,0.0004506661718429122,0.0,0.0,0.0,0.000455005085621488,0.0,0.0,0.0,0.0,0.00010108620297932145
hen,0.0,0.0015811015609727749,0.0,0.002178265743779017,0.0016678990995831779,0.0,0.0,0.0,0.0016853589429676116,0.001798666077191353,0.0,0.0,0.0,0.0006854839557303027
fowl,0.0,0.001603542579329233,0.0,0.0018028979182664968,0.001558104471450996,0.0,0.0,0.0,0.0015757798601285103,0.0015897587986345746,0.0,0.0,0.0,0.0006253910482930624
crow,0.0,0.2524716871183826,0.0,0.3447763229123449,0.2644693245522766,0.0,0.0,0.0,0.26707604153536796,0.0,0.0,0.0,0.0,0.08683025970141323
skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.0,0.011466422658153928,0.0,0.015973530827195836,0.010971818502760789,0.0,0.0,0.0,0.01109921539942428,0.0,0.0,0.0,0.0,0.003808537491348833
moth,0.0,0.016659696016707377,0.0,0.0,0.015601534606920925,0.0,0.0,0.0,0.01576522673851556,0.0,0.0,0.0,0.0,0.0036943428740110664
crake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoveler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheldrake,0.0,0.009554004895788198,0.0,0.010513562771954265,0.010492090712991807,0.0,0.0,0.0,0.010614291511018968,0.0,0.0,0.0,0.0,0.0031672269147502495
gull,0.0,0.003067696033061662,0.0,0.004096569680040914,0.0032835495665966903,0.0,0.0,0.0,0.003320101947946865,0.0,0.0,0.0,0.0,0.0010590705559727794
gadfly,0.0,0.0069480002533340935,0.0,0.0,0.030639253241049352,0.0,0.0,0.0,0.0308552357750812,0.0,0.0,0.0,0.0,0.005264806866881896
weka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peregrine,0.0,0.0009072638147002846,0.0,0.001033856285717467,0.0009189820021639363,0.0,0.0,0.0,0.000931210444772264,0.0,0.0,0.0,0.0,0.00029163942671953477
duck,0.0,0.0013768875185636471,0.0,0.0018306030144950964,0.0015460239839643185,0.0,0.0,0.0,0.0015615652966484597,0.001484398271555738,0.0,0.0017144982754545284,0.0,0.0007318443354370607
warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vireo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0,0.0007803933936467456,0.0,0.0009429925404886881,0.0008850087163819199,0.0,0.0,0.0,0.000896112787038198,0.0,0.0,0.0,0.0,0.00026957749519658085
spoonbill,0.0,0.006799552769610946,0.0,0.00932681281933551,0.011633341193410642,0.0,0.0,0.0,0.011756128641578094,0.0,0.0,0.0,0.0,0.003039679647995015
weaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mealybug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petrel,0.0,0.005563379111888803,0.0,0.0077658343053596795,0.005583391210465727,0.0,0.0,0.0,0.005639556825797222,0.0,0.0,0.0,0.0,0.001888627804116264
currawong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dragonfly,0.0,0.009017294386183223,0.0,0.0,0.00860331092101786,0.0,0.0,0.0,0.008694864642651724,0.0,0.0,0.0,0.0,0.0020242669192194465
roach,0.0,0.0006491902029404734,0.0,0.0,0.0007631443742785925,0.0,0.0,0.0007807721974568406,0.0007668275200543535,0.0,0.0,0.0,0.0,0.00022768725344078923
wasp,0.0,0.015263991688976802,0.0,0.0,0.015508189206623215,0.0,0.0,0.0,0.015650459245284208,0.0,0.0,0.0,0.0,0.0035709723185295555
damselfly,0.0,0.0018154293640468967,0.0,0.0,0.0017200897773715707,0.0,0.0,0.0,0.0017382964768497937,0.0,0.0,0.0,0.0,0.0004056781244821739
guinea,0.0,6.712452165890649e-05,0.0,7.232105528121494e-05,6.338105357271835e-05,0.0,0.0,0.0,6.412646278299268e-05,0.0,0.0,0.000103145057902458,0.0,2.846908855371465e-05
whitethroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hobby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thrasher,0.0,0.0036137496674766723,0.0,0.003968127817679685,0.003719127738790079,0.0,0.0,0.004472997018128502,0.0037189663861813597,0.0,0.0,0.0,0.0,0.0014994591252504843
amphibian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kite,0.0,0.0237769101446936,0.0,0.026410648388406396,0.023923662849909617,0.028787021917789396,0.0,0.0,0.023925170316112736,0.0,0.0,0.0,0.0,0.009755647201300902
merle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scooter,0.0,0.0015995874306539844,0.0,0.0016757260291833957,0.0016000559312734468,0.0,0.0,0.0,0.0015980994744799553,0.0,0.0,0.0,0.001843256732201522,0.0006397481229071003
emperor,0.0,9.822406307186135e-05,0.00014497154265834554,0.0,9.764831969487108e-05,0.0,0.0,0.0,9.764864043133203e-05,0.0001209580498421298,0.0,0.0,0.0,4.303466274604152e-05
worker,0.0,0.0013313367889281249,0.0,0.0,0.0013472581033074067,0.0,0.0,0.0,0.0013472108522245116,0.0,0.0,0.0,0.0,0.0003096773649584648
silverfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copper,0.0,0.0004112838589289672,0.0,0.0,0.00041804658674825343,0.0,0.0006210959913301457,0.0,0.0004181744860879044,0.0,0.0,0.0006086999582019145,0.0,0.00019056160625362964
crab,0.0,0.0010900171969022434,0.0,0.0,0.001071181849200501,0.0,0.0,0.0,0.00107118037757702,0.0013487045741856888,0.0,0.0,0.0,0.000352391076758881
flea,0.0,0.003531230565764685,0.0,0.0,0.003528496225428354,0.0,0.0,0.0,0.0035283454970508215,0.0,0.0,0.0,0.0,0.0008144670990956816
racer,0.0,0.0002574742726795309,0.00036246539711210787,0.0,0.0002697186969345141,0.0,0.0,0.0,0.0002697175392855041,0.0,0.0,0.0,0.000376814607369628,0.00011816850102932961
admiral,0.0,0.0008516371350553621,0.0,0.0,0.0008750818444291706,0.0,0.0,0.0,0.0008750695299008533,0.0,0.0,0.0,0.0,0.0002001375776450297
diver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ant,0.0,0.0018949848527301865,0.0,0.0,0.00187177476342669,0.0,0.0,0.0,0.0018717745260146033,0.0,0.0,0.0,0.0,0.0004337333955516523
viceroy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marabout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monarch,0.0,0.00035575909840094015,0.0,0.0,0.00035197156145505375,0.0,0.0,0.0,0.00035190384132033434,0.0,0.0,0.0,0.0,8.151034624433294e-05
soldier,0.0,0.006930157955790136,0.0,0.0,0.0070114021070020955,0.0,0.0,0.0,0.007010480592570047,0.0,0.0,0.0,0.0,0.0016116954350278677
plane,0.0,0.0,0.020026936673118664,0.0,0.023866219429684535,0.0,0.0,0.0,0.024067475750237044,0.0,0.0,0.0,0.025595930341171188,0.007196658630323956
zeppelin,0.0,0.0,0.002172781560007777,0.0,0.0016012105227524293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002903070832892466
jet,0.0,0.0,0.0,0.0,0.015337361599250046,0.0,0.01271836024789598,0.0,0.015398896813608532,0.0,0.0,0.0,0.016658995985322413,0.004624124203544382
