,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
cabbage,0.007436322767110336,0.007584358907571354,0.0,0.0,0.00720488882056046,0.0,0.0,0.008226060802112363,0.0,0.0,0.0071455419724021745,0.0,0.00739722707169532,0.0,0.0,0.002999626689430134
strawberry,0.006185064835868456,0.006466187476595494,0.0,0.0,0.00690403576712312,0.0,0.0,0.0,0.0,0.0,0.006475910586404819,0.0075046073898649744,0.0,0.0,0.0,0.002235720403723791
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syrup,0.009994143343748034,0.0,0.0,0.0,0.009635904338393697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013086698454761153
berry,0.0035195280766440492,0.0,0.0,0.0,0.004371236125283594,0.0,0.0,0.0,0.0,0.0,0.0041736722673518046,0.003973453633277725,0.0,0.0,0.0,0.0010691926735038114
shallot,0.03871833906469378,0.03881954600155156,0.0,0.0,0.03540240994064691,0.0,0.0,0.04457418943768165,0.0,0.0,0.0350068597122564,0.0,0.0,0.0,0.0,0.01283475627712202
currant,0.06475835365956267,0.06588811798151199,0.0,0.0,0.06012415515886569,0.0,0.0,0.0,0.0,0.0,0.05992406611620131,0.06736220145375216,0.0,0.0,0.0,0.02120379295799292
juice,0.01870326853684125,0.0,0.0,0.0,0.01794953918670221,0.0,0.018925966234623358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003705251597211121
spice,0.005935296082579541,0.0,0.0,0.0,0.006472915301640082,0.0,0.007850602242765936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013505875751323706
radish,0.0037552606500213313,0.004153668273021006,0.0,0.0,0.0034694936481040346,0.0,0.0,0.004786114220180253,0.0,0.0,0.003566328172673925,0.0,0.0,0.0,0.0,0.0013153909976000367
jam,0.001684126050984866,0.0,0.0,0.0,0.0019502929097121315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024229459737979984
rhubarb,0.01959313750707252,0.020690498740998327,0.0,0.0,0.018453010922833232,0.0,0.0,0.02045995464159175,0.0,0.0,0.018395255430922606,0.0,0.0,0.0,0.0,0.006506123816227895
pomegranate,0.022832834164866707,0.024259152976231445,0.0,0.0,0.02130306373389976,0.0,0.0,0.0,0.0,0.0,0.02119194199413264,0.02351286006831523,0.0,0.0,0.0,0.007539990195829719
allspice,0.0071033368906450066,0.007593651676489334,0.0,0.0,0.006325536868978433,0.0,0.0,0.0,0.0,0.0,0.006303045469547817,0.0,0.0,0.0,0.0,0.0018217047270440395
blackberry,0.00946497723892966,0.009302005255768273,0.0,0.0,0.01049807808237133,0.0,0.0,0.0,0.0,0.0,0.010246379474432136,0.009858539338116088,0.0,0.0,0.0,0.003291331959307832
chutney,0.008195830826171554,0.0,0.0,0.0,0.007428009862743396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010415893792609966
apple,0.0050236091416501405,0.005117227894665372,0.0,0.0,0.005556455386881993,0.0,0.0,0.0,0.0,0.0,0.005373175170356616,0.005377682780563949,0.0,0.0,0.0,0.0017632100249412046
pepper,0.005750404384195586,0.005909126297934262,0.0,0.0,0.0056607568523173325,0.0,0.0,0.0057997647866596886,0.0,0.0,0.005613516339561267,0.0,0.0,0.0,0.0,0.0019155712440445422
watermelon,0.01620440530376349,0.016489245285039762,0.0,0.0,0.01536118767518387,0.0,0.0,0.0,0.0,0.0,0.015196348434750139,0.016444326098334162,0.0,0.0,0.0,0.005313034186471429
cherry,0.012160393827130385,0.01253185880002767,0.0,0.0,0.012194094809060129,0.0,0.014048646705857242,0.0,0.0,0.0,0.01212368659803343,0.012764882153004267,0.0,0.0,0.0,0.0050549041928742095
heart,0.003569593055906391,0.0,0.0,0.0,0.003916883484975169,0.0,0.005220623914091209,0.0,0.0,0.0,0.0038408987516204245,0.0,0.0,0.0,0.0,0.001103199947106213
crab,0.006958183024126832,0.0,0.0,0.0,0.006689949134490872,0.0,0.0,0.0,0.0,0.0,0.0066434491478814485,0.0,0.0,0.006502123518227883,0.0,0.0017862469883151357
lentil,0.012146796927524921,0.012163739329654385,0.0,0.0,0.011409062886610324,0.0,0.0,0.012062905483045323,0.0,0.0,0.011240227419884764,0.011626310300185686,0.0,0.0,0.0,0.00470993615646036
melon,0.01614012164194642,0.01574618387664678,0.0,0.0,0.01536354255693182,0.0,0.0,0.0,0.0,0.0,0.015227982711130916,0.016803709020227993,0.0,0.0,0.0,0.0052854359871255955
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.010811891187571938,0.0,0.0,0.0,0.01086552103162981,0.0,0.0,0.0,0.0,0.0,0.010717348030113417,0.0,0.0,0.010959002097709818,0.0,0.002890250823134999
ginger,0.014627722822867747,0.01483251380798172,0.0,0.0,0.01398133003962,0.0,0.0,0.0,0.0,0.0,0.013867419728522252,0.0,0.0,0.0,0.0,0.003820599093266115
mango,0.008381621419618727,0.008512051786094025,0.0,0.0,0.007861697497246398,0.0,0.0,0.0,0.0,0.0,0.007824090777964832,0.008679620966218236,0.0,0.0,0.0,0.0027506054964761477
marinade,0.024832477529397306,0.0,0.0,0.0,0.023543853542729424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003225088738141782
beet,0.0035259285699334193,0.003712457252879103,0.0,0.0,0.0033911023272134785,0.0,0.0,0.0034041468444108705,0.0,0.0,0.003339030643783564,0.0,0.0,0.0,0.0,0.001158177709214696
wine,0.19166088129022224,0.0,0.0,0.0,0.19612257465527694,0.0,0.23257585010690904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041357287070160544
grape,0.27083004095372115,0.2733805040505954,0.0,0.0,0.2734158825285011,0.0,0.0,0.0,0.0,0.0,0.26876644491658574,0.27958267170364315,0.0,0.0,0.27138434541206374,0.10915732597100734
tomato,0.018311808265620417,0.018769176714168227,0.0,0.0,0.016944991813595465,0.0,0.0,0.018561214260166124,0.0,0.0,0.016866579359515358,0.0,0.0,0.0,0.0,0.005963584694204373
vegetable,0.005023380593023091,0.005144083485994988,0.0,0.0,0.004805457435484382,0.0,0.0,0.005052678421339781,0.0,0.0,0.004795629121076571,0.0,0.0,0.0,0.0,0.0016547486037945876
aubergine,0.07022616774255774,0.07016429575831351,0.0,0.0,0.07507148470549677,0.0,0.0,0.060216280041106865,0.0,0.0,0.07328911129517363,0.0,0.0,0.0,0.0,0.023264489302843236
