,animal,fruit,vegetable,plant,reptile,mammal,measure,relation,fish,object,bird,communication,black,food,all,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
civet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat,0.0010317919441709786,0.0,0.0,0.0,0.0,0.0010523322685054397,0.0,0.0,0.0,0.0009966666323958475,0.0,0.0,0.0,0.0,0.0010174027518938908,0.0002732129064644104
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0021210480809624255,0.0,0.0,0.0,0.003541140209085306,0.0,0.0,0.0,0.0,0.0019747918989986347,0.0,0.0,0.0,0.0,0.002028956874510198,0.0006443958042371042
snake,0.0015817313646376784,0.0,0.0,0.0,0.002330823604507533,0.0,0.0,0.0,0.0,0.001484417746579163,0.0,0.0,0.0,0.0,0.0015137134345695016,0.00046071241001959174
bear,0.0017877480202682682,0.0,0.0,0.0,0.0,0.0019781065910395683,0.0,0.0,0.0,0.0017587010665594664,0.0,0.0,0.0,0.0,0.0018115993019437002,0.0004890769986540668
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
housefly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0033073424914797597,0.0,0.0,0.0,0.0,0.0033529495408336856,0.0,0.0,0.0,0.0033598466445161927,0.0,0.0,0.0,0.0,0.003432702035159657,0.0008968560474659531
pipefish,0.004972978454460076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006116872319824139,0.004243600453978852,0.0,0.0,0.0,0.0,0.004388162554442817,0.0013147742521803923
weasel,0.0015664707984734635,0.0,0.0,0.0,0.0,0.0015512832452738825,0.0,0.0,0.0,0.0013111320125931305,0.0,0.0,0.0,0.0,0.0012841800322482074,0.00038087107257257893
insect,0.0014782973003653645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015625133266542102,0.0,0.0,0.0,0.0,0.0015584528818883964,0.00030661756726053143
penguin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,0.002858127411326577,0.0,0.0,0.0,0.0,0.00300350858994151,0.0,0.0,0.0,0.0029540710757970435,0.0,0.0,0.0,0.0,0.003034929612402725,0.0007900424459645237
lizard,0.0007069195558876447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000601949351310721,0.0,0.0,0.0,0.0,0.0006272216067632779,0.00012907270093077624
bird,0.003595346759649756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003381833992251836,0.003468969174981985,0.0042352739368125445,0.0,0.0033312939924171657,0.003374881110938423,0.0014258399311367807
cow,0.0006812539771743444,0.0,0.0,0.0,0.0,0.0006717590197097904,0.0,0.0,0.0,0.000752440630935865,0.0,0.0,0.0,0.0,0.0007764730840807905,0.00019212844746005272
sheep,0.0007028266826348386,0.0,0.0,0.0,0.0,0.0007456191237477066,0.0,0.0,0.0,0.0007368872055496107,0.0,0.0,0.0,0.0,0.0007620910324456335,0.00019649493629185264
rat,0.0005128413593927513,0.0,0.0,0.0,0.0,0.0005489485023153077,0.0,0.0,0.0,0.00048334625905510756,0.0,0.0,0.0,0.0,0.0004926112116443483,0.000135849822160501
zebra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.00044302179652636276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004456983334423851,0.0004256863233809635,0.0,0.0,0.0,0.0004455616625893949,0.00011733120772927374
owl,0.0022673524274328858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001955745011722186,0.002308427646752896,0.0,0.0,0.0,0.0019518545391198183,0.0005655586416685191
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opossum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raccoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potoroo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0034193055603225315,0.0,0.0,0.0,0.0,0.0033876753594592845,0.0,0.0033803305279962244,0.0,0.003179300926384553,0.0,0.0,0.0,0.0,0.0032161024781085703,0.0011055143234847441
rabbit,0.0020338214992265046,0.0,0.0,0.0,0.0,0.0020816993610373587,0.0,0.0020147653502047445,0.0,0.0019824676948334433,0.0,0.0,0.0,0.0019490683963024433,0.0020023719503626685,0.0008042796167978108
dog,0.0004008267774707224,0.0,0.0,0.0,0.0,0.0003931448399030901,0.0,0.0,0.0,0.0003988936408925903,0.0,0.0,0.0,0.0004107662102031867,0.00040764669284028184,0.00013408521075399142
woodpecker,0.0009584722669451394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010029960841364306,0.0008392578987219361,0.0,0.0,0.0,0.0010094545293768036,0.000254012051945354
currawong,0.008304548432481155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008175328203629576,0.009296120305056648,0.0,0.0,0.0,0.008497731923147197,0.0022849152576209716
rhino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0009133338702177758,0.0,0.0,0.0,0.0,0.001006829356020316,0.0,0.0008733130006854807,0.0,0.0009745960172060896,0.0,0.0,0.0,0.0,0.0009854981342081572,0.000316904691889188
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toucanet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.000987180916897589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008720796856149112,0.0,0.0,0.0,0.0,0.0008829598134817983,0.0001828146943996199
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
viscacha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.004299634997720869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968484518697532,0.005762012354113274,0.0,0.0,0.0,0.004155526620183829,0.0012123772327143668
peacock,0.000882974802347477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008341790294407024,0.0009489938194637909,0.0,0.0,0.0,0.0008493954692344083,0.0002343695413657586
frogmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parrot,0.004415273068641271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004212451827816322,0.00477551371591856,0.0,0.0,0.0,0.00423631075693835,0.0011759699579543003
jade,0.0008545448440438607,0.0,0.0,0.0,0.0,0.0009282752186288239,0.0,0.0,0.0,0.0008687250669365792,0.0,0.0,0.0,0.0,0.0009059454379232037,0.00023716603783549784
lion,0.0015536088481160994,0.0,0.0,0.0,0.0,0.001733420180431946,0.0,0.0,0.0,0.001554618161755309,0.0,0.0,0.0,0.0,0.0015862542299423681,0.00042852676134971476
dolphin,0.002752423719209447,0.0,0.0,0.0,0.0,0.002945105229424065,0.0,0.0,0.00246662167378582,0.0025360228060083137,0.0,0.0,0.0,0.0,0.002553492454168046,0.0008835777255063796
