,vehicle,all,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,mean
twinjet,0.0,0.0,,,,0.0,,,,,,,0.0
bomber,0.00609677553165564,0.005760851003886785,,,,0.005755648141120384,,0.006153200098153589,,,,,0.0059416186937041
balloon,0.016515768857300245,0.017293920538966216,,,,0.01724152398203186,,,,,,,0.01701707112609944
jet,0.045754673600753,0.04499481417658542,,,,0.04491768600285917,,,,,0.046320140105361465,,0.045496828471389764
airship,0.011414802529635533,0.016830792496705015,,,,0.016781437081570184,,,,,,,0.01500901070263691
helicopter,0.08982855114094668,0.09218872296852279,,,,0.09205019180819127,,,,,,,0.09135582197255358
capsule,0.0014066851051019148,0.001377205898324261,,0.00200801342343055,,0.0013727921606975157,,,0.0,,,,0.0012329393175108483
craft,0.011968860472504367,0.012655940502396486,,,,0.01262996163395198,,,,,,,0.012418254202950944
machine,0.0015136707760305698,0.0015649023004555686,,,,0.0015632144751538085,,,,,,,0.0015472625172133156
plane,0.08579289687935003,0.0860034008811925,,,,0.08590788200792217,,,0.08633885006301045,,,,0.08601075745786879
truck,0.0023021944503225813,0.0018647792151287679,,,,0.001844028365466329,,,,,,,0.0020036673436392262
coupe,0.000826057846166915,0.0006490080984070559,,,,0.0006348583821043581,,,,,,,0.0007033081088927763
trailer,0.0005112551629212871,0.0003658535949527371,,0.0003674558543207978,,0.0003587300194376224,,,,,,,0.0004008236579081111
schooner,0.003525568184784472,0.0030617220632444186,,,,0.0030702930618414113,,,,,,,0.003219194436623434
van,0.00039861775882715745,0.00032750309388647193,,,,0.0003256238124245982,,,,,,,0.00035058155504607587
tower,0.00515530683624403,0.004056868639145708,,,,0.003974551288204041,,,,,,,0.004395575587864593
tractor,0.0007900395208312548,0.0006665086830362298,,,,0.0006575017129627336,,,,,,,0.0007046833056100727
car,0.0039496702482501355,0.0032415860707923866,,,,0.0032112495104988027,,,,,,,0.0034675019431804413
heap,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0
sharpie,0.0,0.0,,,,0.0,,,,,,,0.0
minesweeper,0.0,0.0,,,,0.0,,,,,,,0.0
sloop,0.0,0.0,,,,0.0,,,,,,,0.0
sausage,0.0,0.0,,,,0.0,,0.0,,,,,0.0
