,vehicle,all,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,mean
silverback,,0.022643731784887874,0.020006027014814534,,,0.022789049369724014,0.03895863404825481,,,,,,0.02609936055442031
hind,,0.0012813061064760847,0.0012079553170462507,,,0.0012736744796501818,0.0017045900300643403,,,0.0012434716674451464,,,0.0013421995201364008
barnacle,,0.0,0.0,,0.0,0.0,,,,,,,0.0
rudd,,0.0006246099313839872,0.0005522437344450841,,,0.0006154936354525734,,,,0.0007229107834303521,,,0.0006288145211779992
buffalo,,0.001878286055350988,0.001745134017161374,,,0.0018872373817678052,0.0035348596617626963,0.0024275839396765233,,,,,0.0022946202111438774
emu,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0
stallion,,0.0017421056119459382,0.0016524419253170955,,,0.0017345825965666148,0.0030920195788046983,,,,,,0.002055287428158587
minnow,,0.0,0.0,,,0.0,,,,0.0,,,0.0
poacher,,0.010774805694027348,0.007971975515501125,,,0.009906531243702936,,,,0.01084790918464349,,,0.009875305409468725
watchdog,,0.000161044302015408,0.00014172877451045852,,,0.00016055436942793657,0.00022432894591618965,,,,,,0.00017191409796749816
bobcat,,0.0,0.0,,,0.0,0.0,,,,,,0.0
tortoise,,0.0015467089738155787,0.0014401833435650564,,,0.0015474799594818796,,,0.0017671520864016796,,,,0.0015753810908160485
shark,,0.0023083534658986326,0.0020819948901113668,,,0.0022923472335786023,,,,0.0031637528192372706,,,0.0024616121022064683
ostrich,,0.0,0.0,,0.0,0.0,,,,,,,0.0
tiger,,0.002369984901989771,0.0019643527779143405,,,0.0023323755014927837,0.003333012143870741,,,,,,0.002499931331316909
armadillo,,0.01051059185791376,0.008571630284398536,,,0.01034140024625231,0.013436795150496296,,,,,,0.010715104384765226
grouper,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
zebra,,0.0,0.0,,,0.0,0.0,,,,,,0.0
stock,,0.000884790336225413,0.0007771887324714781,0.0009696536666882698,,0.0008747867659655775,0.0015325559128920824,0.0010578277089383673,0.0011766511378107382,,0.0015678872949784455,,0.0011051676944962964
mammal,,0.006742486888149796,0.00591252300289415,,,0.006676956593357683,0.01045396236281126,,,,,,0.007446482211803222
gnu,,0.0,0.0,,,0.0,0.0,,,,,,0.0
ounce,,5.343106113841165e-05,4.827423740859573e-05,,,5.370536988213119e-05,7.83367862285983e-05,,,,,8.013313579002018e-05,6.277611808955141e-05
knot,,0.0012468833041248805,0.0011309770947897893,,0.001103814230583765,0.001237393026754614,,,,,0.0020458029218424463,0.0018293316270239159,0.0014323670341865687
pussy,,0.0,0.0,,,0.0,0.0,,,,,,0.0
groundhog,,0.0,0.0,,,0.0,0.0,,,,,,0.0
turtle,,0.004017968164354841,0.003994641908144909,,,0.003988767987727462,,,0.004466007023974263,,,,0.004116846271050368
rabbit,,0.0012844398082672076,0.0012185793608104323,,,0.0012735807223834994,0.0019450564419822324,0.0014724613656959644,,,0.001972329020354976,,0.0015277411199157188
jade,,0.0015457350936744021,0.0014665892406274439,,,0.001524353391124551,0.002831370521317411,,,,,,0.001842012061685952
fryer,,0.0,,,0.0,,,0.0,,,,,0.0
lion,,0.001112590994735723,0.0010466298877145216,,,0.0010973671942164558,0.0016609929611894258,,,,,,0.0012293952594640315
amberjack,,0.0,0.0,,,0.0,,,,0.0,,,0.0
ape,,0.0026057889519570513,0.0023647656154179054,,,0.0025540809593745787,0.0038541447700236866,,,,,,0.0028446950741933055
deer,,0.0016242568548850906,0.0016073079373739839,,,0.0016021608299621722,0.00224984192596236,,,,,,0.0017708918870459017
chow,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0
howler,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0
plaice,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
