,animal,no-cat,measure,object,communication,vehicle,all,mean
scooter,0.011983204436695693,0.011983204436695693,0.0,0.010758852920600666,0.0,0.011311534781023825,0.010757228056847364,0.008113432090266177
racer,0.013880577851464824,0.013880577851464824,0.0,0.015286505016289883,0.0,0.015293586925792264,0.01528643917376479,0.010518240974110941
cat,0.0013746733927143735,0.001061563516119291,0.0,0.0010336821748819912,0.0,0.0010618207456328421,0.0010254237807449794,0.0007938805157276396
hack,0.007360589970086656,0.00519977521153022,0.0,0.005250676581034033,0.0,0.0054396780050638156,0.005183371999105645,0.004062013109545766
packhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig,0.0,0.004896699640201324,0.0,0.004216228310700956,0.0,0.0047310352293256815,0.004215425967036873,0.002579912735323548
sidecar,0.0,0.01434526972905843,0.0,0.01384841322640957,0.0,0.0,0.013841792579271355,0.006005067933534193
carrier,0.0,0.002107903097745318,0.0,0.0025015108585680424,0.0,0.0026936712305468276,0.0025012268917432834,0.0014006160112290673
suv,0.0,0.0354272160775583,0.0,0.0,0.0,0.0,0.0319612400336881,0.009626922301606628
wheelbase,0.0,0.006590531195211219,0.0,0.0,0.0,0.0,0.007236656116773333,0.0019753124731406503
tank,0.0,0.0,0.01671420139202707,0.014839981607601251,0.0,0.015677694655820147,0.014841168258436972,0.00886757798769792
stage,0.0,0.0,0.004389756964960457,0.00321663358754162,0.0,0.003323879982379139,0.0031978583494501824,0.0020183041263330567
heap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.06957226008788087,0.0794430423428873,0.06998742854008769,0.06956990110210871,0.041224661724709226
truck,0.0,0.0,0.0,0.26482563767932066,0.0,0.25965950776794994,0.2648176792960321,0.11275754639190039
undercarriage,0.0,0.0,0.0,0.0018012830889434736,0.0,0.0,0.001801258500201317,0.0005146487984492558
bicycle,0.0,0.0,0.0,0.0021025905050560323,0.0,0.0021488423740242666,0.0021026120028818456,0.0009077206974231636
hearse,0.0,0.0,0.0,0.07330435037233604,0.0,0.07969400413156671,0.07361702908891593,0.03237362622754553
tram,0.0,0.0,0.0,0.023645920915225473,0.0,0.023510411464230805,0.02364634906257973,0.010114668777433717
wagon,0.0,0.0,0.0,0.02196315785503354,0.0,0.021568953005245597,0.02195792254172831,0.009355719057429634
coupe,0.0,0.0,0.0,0.00339378983627228,0.0,0.0034678290487226387,0.003393787567850897,0.0014650580646922596
garage,0.0,0.0,0.0,0.006754993865223478,0.0,0.0,0.0067564353081982715,0.0019302041676316785
caravan,0.0,0.0,0.0,0.002418144966408618,0.0,0.002514780377638387,0.002417949322096716,0.001050124952306246
minivan,0.0,0.0,0.0,0.07224661789026855,0.0,0.06666467439183768,0.07225785001527779,0.030167020328197718
vehicle,0.0,0.0,0.0,0.12560582062001624,0.0,0.12983641894853068,0.12560793334512715,0.05443573898766773
trailer,0.0,0.0,0.0,0.012306302661063005,0.014073410989188847,0.013463998055013408,0.012308147208249052,0.0074502655590734735
motorbus,0.0,0.0,0.0,0.036047848267636746,0.0,0.0,0.036047848267636746,0.010299385219324785
coach,0.0,0.0,0.0,0.005296844739060101,0.0,0.0055100185363765744,0.005296667830714352,0.002300504443735861
unicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chassis,0.0,0.0,0.0,0.02087931548342353,0.0,0.0,0.020897398288854112,0.005968101967468234
cabriolet,0.0,0.0,0.0,0.0035796059477950916,0.0,0.0036158897774804574,0.003579685916057258,0.001539311663047544
motorcycle,0.0,0.0,0.0,0.015204297635668575,0.0,0.01550662867585869,0.015204273019145535,0.006559314190096114
cab,0.0,0.0,0.0,0.3333403572422459,0.0,0.35402095207286965,0.3333402629861729,0.1458145103287555
snowplow,0.0,0.0,0.0,0.09983019920571791,0.0,0.10326713403516213,0.0997948372088479,0.04327031006424685
airplane,0.0,0.0,0.0,0.003451992089138428,0.0,0.0036595522884792894,0.0034524150596334582,0.0015091370624644538
snowmobile,0.0,0.0,0.0,0.012446756972905088,0.0,0.013204422637105391,0.012454901473290984,0.005443725869043066
pram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roadster,0.0,0.0,0.0,0.009019045943126082,0.0,0.008605225951275438,0.009019032064959622,0.003806186279908735
van,0.0,0.0,0.0,0.007650679191742058,0.0,0.00824964907444696,0.007650390515226031,0.003364388397345007
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcar,0.0,0.0,0.0,0.05108258448802377,0.0,0.057330529098715555,0.051052983735221005,0.02278087104599433
tractor,0.0,0.0,0.0,0.046038848198907745,0.0,0.048153485383660315,0.046038704586952035,0.020033005452788584
charabanc,0.0,0.0,0.0,0.050065521283885424,0.0,0.0,0.049986514879681726,0.014293148023366734
car,0.0,0.0,0.0,0.1725570991201135,0.0,0.1785651841811805,0.1725501679711539,0.07481035018177828
stagecoach,0.0,0.0,0.0,0.050113890435182225,0.0,0.05123792127923387,0.05009452625175392,0.021635191138024288
limousine,0.0,0.0,0.0,0.17255039583758566,0.0,0.16818411311063577,0.17246137184679516,0.07331369725643093
dumper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tramcar,0.0,0.0,0.0,0.025028621071970295,0.0,0.025361426204559542,0.02502605447168698,0.01077372882117383
underframe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streamliner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automobile,0.0,0.0,0.0,0.030346292382478393,0.0,0.030975331886273966,0.03032787766802556,0.013092785990968275
axle,0.0,0.0,0.0,0.016310155985732187,0.0,0.0,0.016310086697334088,0.004660034669009468
runabout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footrest,0.0,0.0,0.0,0.10357654286386242,0.0,0.0,0.10305501345957133,0.029518793760490537
bike,0.0,0.0,0.0,0.004243902681370912,0.0,0.004371093163875548,0.00424439755234057,0.00183705619965529
bogie,0.0,0.0,0.0,0.01239221208017015,0.0,0.011326790067773472,0.012391351399736291,0.0051586219353828445
motorbike,0.0,0.0,0.0,0.030714735995920794,0.0,0.0324109490112478,0.030706011451752575,0.013404528065560167
taxicab,0.0,0.0,0.0,0.4954754572274109,0.0,0.5052038290123632,0.4954731644443381,0.21373606438344459
backhoe,0.0,0.0,0.0,0.017350100615282183,0.0,0.0,0.017351376660339923,0.004957353896517443
trolley,0.0,0.0,0.0,0.010660029388532272,0.0,0.01024868493289771,0.01066259726611387,0.004510187369649122
wheel,0.0,0.0,0.0,0.026524204525338654,0.0,0.02750374045796399,0.026524136868453636,0.01150744026453661
locomotive,0.0,0.0,0.0,0.023198644298303765,0.0,0.02399817682217155,0.023201446599653116,0.010056895388589776
equipage,0.0,0.0,0.0,0.04556849984330181,0.0,0.04903591223550213,0.04565285674667101,0.020036752689353565
railcar,0.0,0.0,0.0,0.02354066319661577,0.0,0.02401256243862752,0.0235415415742515,0.010156395315642112
buggy,0.0,0.0,0.0,0.03050004899973358,0.0,0.031787639487736455,0.030508681998871023,0.013256624355191579
rickshaw,0.0,0.0,0.0,0.12785793739278573,0.0,0.12852818599359095,0.12786149716353054,0.05489251722141532
phaeton,0.0,0.0,0.0,0.008322983778193897,0.0,0.008853698689360237,0.008323452102071765,0.0036428763670894137
handcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luggage,0.0,0.0,0.0,0.01255114888476313,0.0,0.0,0.012518523125472823,0.0035813817157479932
flatcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,0.0,0.0,0.0511544058139383,0.0,0.0,0.05115417716333301,0.0146155118538959
jeep,0.0,0.0,0.0,0.033091088261525785,0.0,0.03249638168858475,0.03309039688567481,0.014096838119397905
machine,0.0,0.0,0.0,0.00616822414408798,0.0,0.006542377083143455,0.0061688898348095595,0.0026970701517201423
stanhope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto,0.0,0.0,0.0,0.06028953264850685,0.0,0.06360829073233502,0.060281419752531325,0.026311320447624742
carriage,0.0,0.0,0.0,0.02924701432207839,0.0,0.03048319033760283,0.02925081689008516,0.012711574507109483
streetcar,0.0,0.0,0.0,0.008090866945487992,0.0,0.008143031257070459,0.008090822747451655,0.0034749601357157295
saloon,0.0,0.0,0.0,0.015288130156750417,0.0,0.015695760803583036,0.015287895957820168,0.0066102552740219455
cart,0.0,0.0,0.0,0.07266108346242704,0.0,0.07387268538136947,0.07266033753537825,0.03131344376845353
ambulance,0.0,0.0,0.0,0.12718989135012992,0.0,0.1298228990952429,0.12718851871877024,0.0548859013091633
pedicab,0.0,0.0,0.0,0.3723816322190889,0.0,0.4441483007009443,0.37101464385430627,0.16964922525347706
