,animal,no-cat,measure,object,communication,vehicle,all,mean
lorry,0.0,0.0,0.0,0.5726830930735797,0.0,0.5810065972442571,0.5729003298386606,0.2466557171652139
yacht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
warship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battleship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,0.0,0.0,0.0,0.04330570270878257,0.0,0.0,0.042975407665807014,0.012325872910655653
vessel,0.0,0.0,0.0,0.0011933990987377213,0.0,0.001231150380605194,0.0011823610556207411,0.0005152729335662366
sleigh,0.0,0.0,0.0,0.0020280151314724174,0.0,0.0021396481265424944,0.0020036229739305743,0.0008816123188493552
trawler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.0,0.03887252986297912,0.0,0.0,0.03850099693663764,0.011053360971373823
frigate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gondola,0.0,0.0,0.0,0.002069476786899845,0.0,0.002063788969683749,0.0020597070123886873,0.0008847103955674688
diesel,0.0,0.0,0.0,0.0020108200240971405,0.0,0.0,0.0020126962166909877,0.0005747880343983041
driver,0.0,0.0,0.0,0.14106237254725415,0.1786180517342077,0.0,0.14115335257192052,0.06583339669334033
toboggan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tugboat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freighter,0.0,0.0,0.0,0.002283806131271668,0.0,0.002318777985301239,0.0022593863939865777,0.0009802815015084979
chaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.0,0.004016130745757363,0.0,0.004108241623512829,0.003982900435524917,0.0017296104006850155
winch,0.0,0.0,0.0,0.002371273211523473,0.0,0.0,0.0023507592373673168,0.0006745760641272558
diner,0.0,0.0,0.0,0.0014214865523195228,0.0,0.0014713157541358804,0.0014035469348787067,0.0006137641773334443
ship,0.0,0.0,0.0,0.0006801143126820332,0.0,0.0007002420007040074,0.0006743071347734875,0.00029352334973707547
trap,0.0,0.0,0.0,0.0029561377025905037,0.0,0.0030457819991977263,0.00292931777499107,0.0012758910681113286
