,reptile,food,fish,communication,plant,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
snake,0.015835774186344114,0.0,0.0,0.0,0.0,0.0,0.0,0.01089115377495158,0.0,0.0,0.0,0.01089980672035714,0.0,0.01089980672035714,0.003466181528714998
serpent,0.008590894913094596,0.0,0.0,0.0,0.0,0.0,0.0,0.006429790287758406,0.0,0.006858512047813202,0.0,0.006429455608942126,0.0,0.006429455608942126,0.002481293461896461
boa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perch,0.0,0.052709347643486365,0.04879905196485446,0.0,0.0,0.0,0.0,0.057512796978297635,0.0,0.0,0.0,0.05750846139032892,0.059764491313622846,0.05750846139032892,0.02384304362006565
hake,0.0,0.08211167873498133,0.06913443774985091,0.0,0.0,0.0,0.0,0.06849257237824888,0.0,0.0,0.0,0.06849257237824888,0.0,0.06849257237824888,0.025480273829969924
coho,0.0,0.02459553006616621,0.022276696371647,0.0,0.0,0.0,0.0,0.024545497682752233,0.0,0.0,0.0,0.024545497682752233,0.0,0.024545497682752233,0.00860776567757642
herring,0.0,0.07751061909956415,0.06070598625453157,0.0,0.0,0.0,0.0,0.07660778368734322,0.0,0.0,0.0,0.07659986953061822,0.0,0.07659986953061822,0.02628743772161967
fish,0.0,0.15080212025421147,0.11868288382478732,0.0,0.0,0.0,0.0,0.15866830279785213,0.0,0.0,0.0,0.15865937637785327,0.0,0.15865937637785327,0.05324800425946839
croaker,0.0,0.336346792109536,0.26439379562407544,0.0,0.0,0.0,0.0,0.36087157397111996,0.0,0.0,0.0,0.36087157397111996,0.0,0.36087157397111996,0.12023966497478365
sardine,0.0,0.10491182929227487,0.08360465971549319,0.0,0.0,0.0,0.0,0.115443941921312,0.0,0.1006277999950619,0.0,0.11543160290910241,0.0,0.11543160290910241,0.04538938833873905
catfish,0.0,0.10590023389606373,0.08421375651253543,0.0,0.0,0.0,0.0,0.10065743559002926,0.0,0.0,0.0,0.10054748975350548,0.0,0.10054748975350548,0.035133314678974244
sunfish,0.0,0.11560351029701002,0.08723341894945252,0.0,0.0,0.0,0.0,0.12009230494617014,0.0,0.0,0.0,0.12009230494617014,0.0,0.12009230494617014,0.04022241743464093
haddock,0.0,0.026269183160816896,0.022791707260054934,0.0,0.0,0.0,0.0,0.020633309912251756,0.0,0.0,0.0,0.020633309912251756,0.0,0.020633309912251756,0.007925772868401936
trout,0.0,0.09125452874873954,0.07431095549786211,0.0,0.0,0.0,0.0,0.09293131067003853,0.0,0.0,0.0,0.09293236350999959,0.0,0.09293236350999959,0.031740108709759955
crab,0.0,0.03866879505717126,0.0,0.0,0.0,0.0,0.0,0.031473042796679986,0.0,0.0,0.0,0.031473042796679986,0.0,0.031473042796679986,0.009506280246229373
albacore,0.0,0.03370401318282928,0.024950892622177995,0.0,0.0,0.0,0.0,0.026996369191622762,0.0,0.0,0.0,0.026996369191622762,0.0,0.026996369191622762,0.009974572384276825
