context,evidence_type,categories
annual,u,warm no-cat
carrying,u,warm
collect,NA,warm
1958,NA,warm
placed,NA,warm
crystal,u,warm
controlled,NA,warm
across,u,warm
per,u,warm no-cat
stream,NA,warm no-cat
section,u,warm
canada,u,warm
trees,u,warm no-cat
similarly,NA,warm
equivalent,NA,warm
quarter,u,warm no-cat
southern,r,warm no-cat
cuts,NA,warm
notable,NA,warm
land,NA,warm
iron,NA,warm
wine,u,warm
drive,NA,warm no-cat
whereas,NA,warm
preparation,NA,food warm
size,u,warm
plant,u,warm no-cat
sources,NA,warm
bearing,NA,warm
mobile,NA,warm no-cat
founder,u,warm no-cat
excess,u,warm
finland,NA,warm
sea,i,warm
equipment,u,warm
traditional,u,warm
blind,NA,warm
massive,u,warm
trans,NA,warm
bridge,u,warm no-cat
electricity,r,warm
square,u,warm no-cat
continuous,u,warm
96,NA,warm
north,NA,warm no-cat
coast,u,warm
introduced,u,warm
foundation,u,warm no-cat
warrior,NA,warm
houses,u,warm no-cat
newly,u,warm
70,u,warm
installed,NA,warm
nuclear,NA,warm
established,NA,warm
named,NA,warm
melbourne,NA,warm
21st,NA,warm
39,u,warm
48,u,warm
knife,NA,warm
limits,NA,warm
35,u,warm
legendary,NA,warm
legacy,NA,warm
properties,NA,warm
primarily,u,warm
referred,u,warm
permanent,u,warm
hotel,u,warm no-cat
acted,u,warm
amounts,NA,warm
continues,NA,warm no-cat
bulk,u,warm
ash,NA,warm
consequently,NA,warm
bronze,NA,warm
dropped,NA,warm
stone,u,warm
arrived,NA,warm
constructed,NA,warm
spread,u,warm
department,u,warm no-cat
service,u,warm
burn,l,warm
selected,u,warm
entered,NA,warm
rome,NA,warm
transferred,u,warm
cost,u,warm no-cat
sites,NA,warm
legend,NA,warm
copper,NA,warm
moderate,NA,warm
campus,NA,warm
prairie,NA,warm
planned,u,warm
carved,NA,warm
caribbean,NA,warm
cave,NA,warm
obtained,NA,warm
opened,u,warm no-cat
climbed,u,warm
negro,NA,warm
nickname,NA,warm
symbol,u,warm
installation,NA,warm
chain,u,warm
37,NA,warm no-cat
workers,u,warm
42,NA,warm
owner,u,warm
born,NA,warm no-cat
filling,NA,warm no-cat
robinson,NA,warm
restored,NA,warm
walls,u,warm
raised,NA,warm
dissolved,NA,warm
ford,NA,warm
visible,u,warm
flower,u,warm no-cat
factories,NA,warm
remaining,u,warm no-cat
elizabeth,u,warm
representing,NA,warm
ross,NA,warm
roman,NA,warm
maintained,NA,warm
mainly,u,warm
saint,NA,warm
east,u,warm
blow,NA,warm
salt,u,food warm no-cat
detroit,NA,warm
significantly,NA,warm no-cat
destination,u,warm
loaded,NA,warm
geographic,NA,warm
singapore,NA,warm
welsh,u,warm
delta,NA,warm
africa,NA,warm
sixth,NA,warm
gordon,NA,warm
lowest,NA,warm
frequently,NA,food warm no-cat
fortress,NA,warm
1964,NA,warm
directed,NA,warm
collapse,NA,warm
new,u,warm
1995,NA,warm
since,u,warm
london,u,warm no-cat
weather,i,warm
addition,u,warm
except,NA,warm
either,NA,warm
offered,NA,warm
paper,u,warm no-cat
rain,i,warm
volume,NA,warm
current,u,warm
biggest,u,warm
1970,NA,warm
italy,NA,warm
numerous,NA,warm no-cat
sweden,NA,warm
los,u,warm
type,NA,warm
plants,u,warm
bush,u,warm no-cat
1960s,u,warm
vacation,NA,warm
exception,NA,warm
request,NA,warm
notorious,u,warm
1967,NA,warm
exact,NA,warm
proceed,NA,warm
shifted,NA,warm
brothers,NA,warm
surrender,NA,warm
lesser,NA,warm
closure,NA,warm
alternatively,NA,warm
wade,NA,warm
forbidden,u,warm
folklore,NA,warm
secured,NA,warm
manor,NA,warm
exploit,NA,warm
transition,NA,warm
bennett,NA,warm
farmer,u,warm
diego,NA,warm
sixteen,NA,warm
cooked,NA,food
vegetables,u,food
food,i,food no-cat
boiling,NA,food
bowl,u,food no-cat
table,u,food
this,NA,food
dish,i,food
bean,u,food no-cat
beef,i,food
onions,NA,food
prepared,u,food
pot,NA,food
eaten,NA,food
baking,NA,food
beans,NA,food
cooking,NA,food
sauce,u,food
rice,i,food no-cat
soup,i,food no-cat
spices,u,food
meal,i,food no-cat
cook,r,food
salad,i,food
duck,NA,food
roasted,NA,food
spanish,NA,food
sometimes,NA,food
dried,NA,food
besides,u,food
en,u,food
sit,u,food
consist,NA,food
term,NA,food
plates,NA,food
large,u,food
breakfast,u,food
usually,NA,food
leaves,NA,food
word,NA,food
mixture,NA,food
pepper,u,food
flour,u,food
literally,NA,food
serving,u,food no-cat
eggs,NA,food
raw,NA,food no-cat
origin,u,food
variation,NA,food no-cat
whole,u,food no-cat
goes,NA,food
salted,NA,food
consume,NA,food
variants,NA,food
alone,u,food
resulting,u,food no-cat
plain,u,food
rapidly,u,food
involves,NA,food
varying,NA,food
pressed,u,food
enhanced,u,food
tourists,NA,food
commonly,u,food
top,u,no-cat
green,u,no-cat
lower,u,no-cat
hills,u,no-cat
eastern,NA,no-cat
winter,u,no-cat
area,u,no-cat
multi,u,no-cat
opening,NA,no-cat
manufacturer,NA,no-cat
students,u,no-cat
today,u,no-cat
meat,i,no-cat
advertising,NA,no-cat
dense,NA,no-cat
west,u,no-cat
color,u,no-cat
town,u,no-cat
season,i,no-cat
smaller,u,no-cat
extend,NA,no-cat
built,u,no-cat
several,u,no-cat
bike,NA,no-cat
strong,u,no-cat
structure,u,no-cat
near,u,no-cat
already,u,no-cat
moreover,NA,no-cat
grow,NA,no-cat
roll,NA,no-cat
open,u,no-cat
20,u,no-cat
mountains,u,no-cat
bars,u,no-cat
egg,u,no-cat
restaurant,u,no-cat
gas,NA,no-cat
indigenous,NA,no-cat
port,u,no-cat
ports,NA,no-cat
natural,u,no-cat
national,NA,no-cat
nothing,NA,no-cat
noted,u,no-cat
northwest,NA,no-cat
supported,NA,no-cat
park,u,no-cat
surrounding,u,no-cat
spring,i,no-cat
home,u,no-cat
extension,NA,no-cat
forest,NA,no-cat
following,u,no-cat
ll,u,no-cat
project,NA,no-cat
lights,i,no-cat
sports,u,no-cat
jean,NA,no-cat
involved,NA,no-cat
75,u,no-cat
chicago,NA,no-cat
25,u,no-cat
catch,u,no-cat
week,u,no-cat
window,u,no-cat
allowing,u,no-cat
we,NA,no-cat
test,NA,no-cat
border,u,no-cat
row,u,no-cat
banned,NA,no-cat
vary,NA,no-cat
helped,u,no-cat
block,NA,no-cat
shop,u,no-cat
festival,u,no-cat
boats,u,no-cat
glass,NA,no-cat
ben,u,no-cat
seed,NA,no-cat
remembered,NA,no-cat
80,u,no-cat
played,NA,no-cat
pictures,u,no-cat
modest,NA,no-cat
activities,u,no-cat
achieve,NA,no-cat
mate,u,no-cat
peak,u,no-cat
musical,NA,no-cat
party,NA,no-cat
1952,NA,no-cat
1950s,u,no-cat
la,u,no-cat
village,u,no-cat
remain,NA,no-cat
island,i,no-cat
locally,NA,no-cat
landmark,NA,no-cat
course,NA,no-cat
songs,NA,no-cat
county,u,no-cat
duties,u,no-cat
business,u,no-cat
element,u,no-cat
burns,NA,no-cat
corporation,u,no-cat
closed,u,no-cat
effort,NA,no-cat
develop,u,no-cat
developing,NA,no-cat
development,NA,no-cat
chicken,i,no-cat
species,NA,no-cat
circuit,NA,no-cat
distributed,NA,no-cat
speaking,u,no-cat
stuff,NA,no-cat
centre,NA,no-cat
expected,u,no-cat
commercial,u,no-cat
briefly,NA,no-cat
entering,NA,no-cat
building,u,no-cat
girls,u,no-cat
tie,NA,no-cat
girl,NA,no-cat
cotton,u,no-cat
loose,u,no-cat
school,u,no-cat
fashionable,NA,no-cat
brown,u,no-cat
colors,NA,no-cat
over,u,no-cat
panel,u,no-cat
slip,NA,no-cat
mid,u,no-cat
formal,NA,no-cat
western,NA,no-cat
south,r,no-cat
popular,u,no-cat
go,u,no-cat
tao,NA,no-cat
slightly,u,no-cat
reaches,u,no-cat
pressure,u,no-cat
solid,NA,no-cat
realized,NA,no-cat
cream,NA,no-cat
small,u,no-cat
higher,u,no-cat
big,u,no-cat
slopes,NA,no-cat
different,u,no-cat
appearing,u,no-cat
stages,NA,no-cat
won,u,no-cat
canopy,NA,no-cat
summer,i,no-cat
beginning,u,no-cat
camera,NA,no-cat
developed,NA,no-cat
boy,NA,no-cat
direction,NA,no-cat
end,u,no-cat
fleet,NA,no-cat
teenage,NA,no-cat
flowers,u,no-cat
southeast,u,no-cat
plateau,NA,no-cat
nearly,u,no-cat
lies,u,no-cat
issues,u,no-cat
worker,u,no-cat
parts,u,no-cat
roads,NA,no-cat
rolled,u,no-cat
10,u,no-cat
possible,NA,no-cat
typically,NA,no-cat
generally,NA,no-cat
mountain,u,no-cat
vintage,NA,no-cat
located,u,no-cat
businesses,u,no-cat
explained,u,no-cat
coconut,u,no-cat
describes,NA,no-cat
plus,u,no-cat
comprises,NA,no-cat
