,context,n_concepts,mean_tfidf,mean_diff,evidence
0,dish,84,0.06,0.06,-
1,meat,84,0.04,0.04,-
2,food,80,0.02,0.01,-
3,eaten,77,0.03,0.03,-
4,egg,75,0.02,0.02,-
5,sweet,75,0.03,0.03,-
6,chicken,74,0.05,0.05,-
7,cooking,74,0.02,0.02,-
8,potato,72,0.05,0.05,-
9,mixture,71,0.01,0.01,-
10,popular,69,0.01,0.01,-
11,commonly,69,0.01,0.01,-
12,fresh,68,0.01,0.01,-
13,rice,68,0.04,0.04,-
14,are,68,0.01,0.01,-
15,milk,68,0.03,0.03,-
16,salt,67,0.03,0.03,-
17,hot,67,0.02,0.01,-
18,prepared,67,0.01,0.01,-
19,served,67,0.01,0.01,-
20,cooking,74,0.02,0.02,-
21,cook,57,0.01,0.01,-
22,cooked,45,0.06,0.06,-
23,cooks,3,0.02,0.02,-
