,prop-specific,n_pairs
pos,0.0,1707.0
neg,0.0,1221.0
all,0.0,995.0
some,0.0,712.0
few,0.0,1221.0
evidence,0.0,1516.0
no_evidence_pos,0.0,229.0
no_evidence_neg,0.0,1183.0
implied_category,0.0,14.0
typical_of_concept,0.38560957709948224,3.0
affording_activity,0.0,4.0
afforded_usual,0.41510963439941406,2.0
afforded_unusual,0.0,19.0
variability_limited,0.0,104.0
variability_open,0.0,76.0
variability_open_scalar,0.19350109994411469,95.0
rare,0.0,18.0
unusual,0.0,75.0
impossible,0.0,265.0
creative,0.0,21.0
pos-reference,0.0,1707.0
