,prop-specific,n_pairs
pos,0.0,1598.0
neg,-0.005590543437120226,1077.0
all,0.0011875051210854864,886.0
some,-0.0008619507859986969,712.0
few,-0.005590543437120226,1077.0
evidence,-0.0003239574937147407,1516.0
no_evidence_pos,-0.003468222360742008,229.0
no_evidence_neg,-0.005590543437120226,930.0
implied_category,-0.004245345793021986,14.0
typical_of_concept,0.01341101669887499,3.0
affording_activity,0.0014750154571870006,4.0
afforded_usual,0.04958831631132027,2.0
afforded_unusual,-0.004293379651442738,19.0
variability_limited,-0.000790862069468547,104.0
variability_open,-0.001485031290668769,76.0
variability_open_scalar,-0.0021468365383421817,95.0
rare,-0.005590543437120226,18.0
unusual,-0.005590543437120226,75.0
impossible,-0.005590543437120226,265.0
creative,-0.005590543437120226,21.0
pos-reference,0.005590543437120226,1598.0
