relation,prop-specific,n_pairs
pos,0.006108355796730465,1598
neg,0.0,1077
all,0.011577323991904583,886
some,0.003121385884600511,712
few,0.0,1077
evidence,0.006208463110464208,1516
no_evidence_pos,0.000363901018922853,229
no_evidence_neg,0.0,930
implied_category,0.0028760388264465406,14
typical_of_concept,0.006041285496353435,3
affording_activity,0.012788128398682316,4
afforded_usual,0.07142857142857142,2
afforded_unusual,0.001262633407653044,19
variability_limited,0.0030226602752298467,104
variability_open,0.0009932176565126594,76
variability_open_scalar,0.006475412289365778,95
rare,0.0,18
unusual,0.0,75
impossible,0.0,265
creative,0.0,21
