,rel,strength,label
0,0.85,0.005337786634688463,function-action
1,1.25,0.003081682840892077,encyclopedic
2,1.35,0.0002511442340932366,part
3,1.35,0.003867273577587352,part
4,1.0,0.0,temperature
5,1.35,0.0,part
6,1.3,0.0028706310980352273,taxonomic
7,1.3,0.0,taxonomic
8,0.85,0.0003480215549345302,function-action
9,1.35,0.0015566897937923767,part
10,1.4,5.8899429810446016e-05,shape
11,1.35,4.7756209348962544e-05,part
12,1.3,0.0,taxonomic
13,1.4,0.002250006591332588,shape
14,0.85,0.0,function-action
15,1.4,0.0010295609606278775,shape
16,3.35,0.02556129975198772,part
17,2.8,0.0008255369275456957,material
18,2.85,0.0,function-action
19,2.95,0.004071762886284689,taste
20,7.35,0.01622341403010939,part
21,6.95,0.0011639751567923823,taste
22,6.95,0.004951026256624237,taste
23,7.35,0.001874815114203908,part
24,9.3,0.0,taxonomic
25,8.85,0.0,function-action
26,9.3,0.02783535495773322,taxonomic
27,10.85,0.0005844292157800802,function-action
28,10.85,0.0006693067879394942,function-action
29,10.85,0.0019203707937972359,function-action
30,10.85,7.678130442779582e-05,function-action
31,10.85,0.0004138877084026705,function-action
32,10.85,0.0,function-action
33,10.85,0.0003879051285034044,function-action
34,10.85,0.0014658775402498596,function-action
35,10.85,0.00029259554357273423,function-action
36,10.85,0.0,function-action
37,10.85,0.00019412311082518351,function-action
38,10.85,0.0,function-action
39,10.85,0.0,function-action
40,10.85,0.0,function-action
41,10.85,0.0,function-action
42,10.85,0.0004997412756081041,function-action
43,10.85,0.0006258505721144406,function-action
44,10.85,0.00027659815893957566,function-action
45,10.85,0.00041488726012705755,function-action
46,10.85,0.0,function-action
47,12.95,0.00657215744945885,taste
48,12.8,0.008513050870847411,material
49,13.4,0.00037124287446348067,shape
50,13.4,0.0,shape
51,12.8,0.0,material
52,12.85,0.0,function-action
53,12.8,0.0024325762950329136,material
54,12.95,0.01768787779886928,taste
55,12.8,0.007820196831258749,material
56,13.45,0.0012411238663694324,color
57,13.45,0.01094110116210824,color
58,13.45,0.014451245348793846,color
59,13.45,0.004393966481761601,color
60,12.95,0.010813248576614181,taste
61,12.95,0.0020723821423591377,taste
62,12.8,0.002181221374379493,material
63,13.45,0.0,color
64,12.95,0.0005199228141632074,taste
65,12.85,0.005130636936916691,function-action
66,13.45,0.0003436758032527767,color
67,12.95,0.009326719366165649,taste
68,13.45,0.002257749872882788,color
69,12.95,0.006842291817733124,taste
70,13.45,0.0,color
71,12.95,0.0045661740308601245,taste
72,13.45,0.003359007061381542,color
73,13.45,0.0009041271192462544,color
74,12.95,0.0,taste
75,13.4,0.0008545157119157927,shape
76,13.45,0.0005863477769003862,color
77,12.95,0.0017122624362117926,taste
78,13.4,0.0,shape
79,12.8,0.0006452597867877929,material
80,13.4,0.006920751946168652,shape
81,13.4,0.0,shape
82,13.45,0.0028380477816111523,color
83,13.45,0.001865162378240063,color
84,13.45,0.0145257676155686,color
85,13.45,0.001704030323635627,color
86,12.95,0.0036728865077678445,taste
87,13.45,0.002395585746535611,color
88,13.4,0.0,shape
89,12.95,0.000172875863320867,taste
90,13.45,0.004009910680105625,color
91,13.45,0.0,color
92,13.45,0.0235670376281281,color
93,13.45,0.0,color
94,13.45,0.00018787753859590475,color
95,12.8,0.0,material
96,12.95,0.0003222720282607123,taste
97,13.4,0.0,shape
98,12.95,0.001258545630830255,taste
99,12.85,0.0006374465771177317,function-action
100,12.95,0.006172688845822491,taste
101,12.85,0.0,function-action
102,13.45,0.0,color
103,13.45,0.0005370233090874885,color
104,12.95,0.000131341002567713,taste
105,12.95,0.010575082119409187,taste
106,12.8,0.0,material
107,12.95,0.0,taste
108,12.85,0.019879176227670936,function-action
109,12.95,0.04291919834987761,taste
110,13.45,0.00013373968715141505,color
111,12.85,0.002488288876368474,function-action
112,13.4,0.0,shape
113,12.95,0.00029996629657227583,taste
114,13.45,0.0010747425791473645,color
115,13.45,0.0036154409028723946,color
116,13.4,0.0,shape
117,12.8,0.0061401264701277216,material
118,12.85,0.00309767844096119,function-action
119,12.85,0.0006671795800897063,function-action
120,13.4,0.0001389392965753195,shape
121,13.45,0.005389272457906646,color
122,12.95,0.007219628113763211,taste
123,12.95,0.0008152023278902192,taste
124,12.85,0.008311523659266516,function-action
125,13.4,0.0,shape
126,13.45,0.0,color
127,13.45,0.0,color
128,12.95,0.0,taste
129,12.8,0.014878500945728568,material
130,13.45,0.013130625968642564,color
131,13.45,0.000633102349501544,color
132,13.4,0.0035827370064858972,shape
133,13.45,0.0010570216870982652,color
134,13.45,0.018511711418715066,color
135,13.4,0.0,shape
136,12.8,0.0006279776356817732,material
137,12.95,0.0007253280525148386,taste
138,12.8,0.0010686301802873763,material
139,12.95,0.0010109951348441794,taste
140,13.45,0.0025192286660832078,color
141,13.4,0.0,shape
142,13.45,0.0007097722868555955,color
143,13.45,0.0,color
144,13.45,0.0,color
145,13.45,0.0012761601682964021,color
146,13.45,0.005161248162973158,color
147,13.45,0.024667382553070105,color
148,13.45,0.00014997138575874392,color
149,12.95,0.005771247996305738,taste
150,12.8,0.002823571945361111,material
151,12.95,0.002057006300422148,taste
152,12.95,0.0005607736618316842,taste
153,12.85,0.0016284427649924664,function-action
154,12.95,0.013115362246048827,taste
155,13.45,0.0003225021471328806,color
156,13.45,0.001834075638697474,color
157,12.95,0.002701030024994575,taste
158,13.45,0.002019191947195052,color
159,13.45,0.018288228133322284,color
160,15.4,0.0009501787350855375,shape
161,15.45,0.0019721867362536556,color
162,15.45,0.00601730839292189,color
163,15.45,5.129652533666957e-05,color
164,15.45,0.0002811858120740202,color
165,15.45,0.0005370366140326879,color
166,15.45,0.0017600200529785653,color
167,15.45,0.0020474292938842983,color
168,15.45,0.0003472998656309917,color
169,15.4,0.0004149813098378562,shape
170,15.45,0.001667358960592245,color
171,15.45,0.002399989230635122,color
172,15.45,0.005256344057122497,color
173,15.45,0.0004975745771865317,color
174,15.45,0.0007086548047501346,color
175,15.45,0.0017197112409172556,color
176,15.45,0.001209151819479886,color
177,15.45,0.0,color
178,15.45,0.0,color
179,15.4,0.0,shape
180,15.45,0.0005006720886673592,color
181,14.95,0.0,taste
182,15.4,0.0017742837218670665,shape
183,15.45,0.0009790082857511857,color
184,15.4,0.0005068989816264505,shape
185,15.45,0.014411932681913249,color
186,15.4,0.002306373273464888,shape
187,15.4,0.000859056150665843,shape
188,15.4,0.0,shape
189,15.45,0.00446547978013758,color
190,15.45,0.001279568249120556,color
191,15.45,0.002651889805396509,color
192,15.45,0.0007737316958865638,color
193,15.45,0.002261975365369656,color
194,15.4,0.0,shape
195,15.45,0.00048690342671413013,color
196,15.45,0.0013667564078667066,color
197,15.45,0.00012853090970951013,color
198,15.45,0.0011067786751178435,color
199,15.45,0.0020630927451483626,color
200,15.45,0.0007364401505732018,color
201,15.45,0.007961265174571023,color
202,15.45,0.008059583582832664,color
203,15.45,0.005320639248560487,color
204,15.4,0.0,shape
205,15.45,0.0010436710119920303,color
206,15.45,0.0014224139124497288,color
207,15.45,0.0006756064831393608,color
208,15.45,0.0030945452961577405,color
209,15.45,0.003734136881036549,color
210,15.45,0.0007011518607098655,color
211,15.45,0.0008048732616138328,color
212,15.45,0.00024715953822705347,color
213,15.45,0.0010163016581541807,color
214,14.95,0.0005558365308367318,taste
215,15.45,0.0012769388844567245,color
216,15.45,0.0003791325679208361,color
217,15.45,0.006738394447159705,color
218,15.45,0.0007990465432070191,color
219,15.45,0.0028378947552058307,color
220,15.45,0.0005007265058750062,color
221,15.45,0.00020148709740461796,color
222,15.4,0.0,shape
223,15.4,0.0,shape
224,15.4,0.0007002334715112878,shape
225,15.45,0.004212580983213331,color
226,15.45,0.0,color
227,15.4,0.0,shape
228,15.4,0.003900511886821903,shape
229,15.45,0.0016099565953399478,color
230,15.4,0.0,shape
231,15.45,0.0007350651013602535,color
232,15.45,0.009755544954904641,color
233,15.45,2.3775496817585883e-05,color
234,15.4,0.00046337198765834966,shape
235,15.45,0.0009730319006860955,color
236,15.4,0.0,shape
237,17.25,0.0,encyclopedic
238,19.0,0.007026204375667704,temperature
239,19.0,0.0032218412461240136,temperature
240,19.0,0.0014573235941012462,temperature
241,19.0,0.002582587862717507,temperature
242,19.0,0.0,temperature
243,19.0,0.0010143492763358122,temperature
244,19.0,0.0006317707393585812,temperature
245,19.0,0.0,temperature
246,19.0,0.0016107045909322835,temperature
247,19.0,0.00018148797332417392,temperature
248,19.0,0.0012738062628833997,temperature
249,19.0,0.0011831599682827177,temperature
250,19.0,0.0018986861370704447,temperature
251,19.0,0.004344287038804347,temperature
252,19.0,0.0013758345067175074,temperature
253,19.0,0.008560326536463377,temperature
254,19.0,0.0008443280228069821,temperature
255,19.0,0.001543943469394631,temperature
256,19.0,0.0007104350614105543,temperature
257,19.0,0.0007637968713691856,temperature
258,19.0,0.0021658504537581517,temperature
259,19.0,0.0017916942823586579,temperature
260,19.0,0.0,temperature
261,19.0,0.0,temperature
262,19.0,0.0027176122001921162,temperature
263,19.0,0.001498423805268844,temperature
264,19.0,0.003676762861264586,temperature
265,19.0,0.0030758135124057382,temperature
266,19.0,0.0,temperature
267,19.0,0.0006574235832838893,temperature
268,19.0,0.0008175308095725083,temperature
269,19.0,0.0012317397642714397,temperature
270,19.0,0.0031261019734111412,temperature
271,19.0,0.0015702076314271852,temperature
272,19.0,0.004550668908893446,temperature
273,19.0,0.001046088602054613,temperature
274,19.0,0.001781627432875438,temperature
275,19.0,0.0009519769917011551,temperature
276,19.0,0.0,temperature
277,19.0,0.0008615744481903559,temperature
278,19.0,0.0,temperature
279,19.0,0.0021214851472680556,temperature
280,19.0,0.00034551043619274045,temperature
281,19.0,0.00204198976670052,temperature
282,19.0,0.0027455674343401667,temperature
283,19.0,0.002158754122019019,temperature
284,19.0,0.0010746260928963752,temperature
285,19.0,0.0007480688782684026,temperature
286,19.0,0.00011995148791560941,temperature
287,19.0,0.0013356499199019608,temperature
288,19.0,0.0016576034826811953,temperature
289,19.0,0.0,temperature
290,19.0,0.0027205429352721716,temperature
291,19.0,0.0035433775047241933,temperature
292,19.0,0.0016744827508893268,temperature
293,19.0,0.019108771879310284,temperature
294,19.0,0.0011310110865210814,temperature
295,19.0,0.0044836289216470164,temperature
296,19.0,0.0006036086645856038,temperature
297,19.0,0.0006291868055784394,temperature
298,19.0,0.002544397451823395,temperature
299,19.0,0.0028576455385384905,temperature
300,19.0,0.0026267537791311007,temperature
301,19.0,0.0004842147658622009,temperature
302,19.0,0.003008637665005899,temperature
303,19.0,0.00014946599962424755,temperature
304,19.0,0.0008052311339195403,temperature
305,19.0,0.0,temperature
306,19.0,0.004037439277728645,temperature
307,19.0,0.0016034648397269657,temperature
308,19.0,0.001130983398048948,temperature
309,19.0,0.0002109015270429968,temperature
310,19.0,0.0002237632438021,temperature
311,19.0,0.0016682956621871484,temperature
312,19.0,0.001927581766301265,temperature
313,19.0,0.005466170048943074,temperature
314,19.0,0.001051643908851825,temperature
315,19.0,0.00036677213048616074,temperature
316,19.0,0.008920715391274148,temperature
317,19.0,0.0002546504506628151,temperature
318,19.0,0.0,temperature
319,19.0,0.000638592972346387,temperature
320,19.0,0.0008495901454462435,temperature
321,19.0,0.0009930350476133067,temperature
322,19.0,0.0030514702447626205,temperature
323,19.0,0.001222815808002626,temperature
324,19.0,0.00022895575100369161,temperature
325,19.0,0.000278337979802596,temperature
326,19.0,0.00296175798086646,temperature
327,19.0,0.0017332003375385855,temperature
328,19.0,0.0010905452538260015,temperature
329,19.0,0.0005750390607383932,temperature
330,19.0,0.0018012538962768243,temperature
331,19.0,0.0009653279460641361,temperature
332,19.0,0.0014018728779927828,temperature
333,19.25,0.0004675270385942526,encyclopedic
334,19.0,0.0006049145700506236,temperature
335,19.0,0.0,temperature
336,21.0,0.0,temperature
337,21.45,0.0074175654713478515,color
338,20.95,0.00046106481383767397,taste
339,21.45,0.024369719861330567,color
340,21.45,0.0002842857638216035,color
341,21.0,0.00020349129224522334,temperature
342,20.95,0.0018700874315614303,taste
343,20.95,0.005851900784637043,taste
344,21.45,0.00013463902057790256,color
345,20.95,0.022865399585906148,taste
346,21.45,0.0006722250868920937,color
347,20.85,0.0,function-action
348,20.95,0.0014057239358113308,taste
349,21.45,0.0,color
350,21.45,0.0007011569538887053,color
351,21.45,0.0018618078771007456,color
352,20.85,0.0011440099132445677,function-action
353,21.45,0.00039928650567863904,color
354,20.85,0.0018242899814672608,function-action
355,23.45,0.0030121911919630084,color
356,22.85,0.0,function-action
357,23.0,0.00012277913220509786,temperature
358,23.0,0.00021533783841879675,temperature
359,23.45,0.0,color
360,22.85,0.0,function-action
361,22.85,0.0014512290186766686,function-action
362,23.25,0.0,encyclopedic
363,23.45,0.0,color
364,23.45,0.0016973839455804635,color
365,23.45,0.0,color
366,23.35,0.0,part
367,23.0,0.0,temperature
368,22.95,0.0011717517125070082,taste
369,23.35,6.516389091333169e-05,part
370,23.45,0.0005602562291150974,color
371,23.45,0.0016427147295012268,color
372,22.85,0.000922530294255112,function-action
373,23.45,0.008761874942730804,color
374,23.45,0.0,color
375,22.85,5.964868184731748e-05,function-action
376,22.95,0.0,taste
377,23.45,0.0032568892365191487,color
378,23.35,0.0006424642130327367,part
379,22.85,0.0,function-action
380,22.85,0.0,function-action
381,22.85,0.0,function-action
382,23.45,0.0002307583940636629,color
383,23.45,0.0041206190397078644,color
384,23.45,0.0,color
385,23.45,0.0004851334742459593,color
386,22.85,0.0,function-action
387,23.45,0.0,color
388,22.85,0.0010971932644850237,function-action
389,22.95,0.00022853798918150018,taste
390,22.85,0.0,function-action
391,23.45,0.001255540411861695,color
392,23.0,0.0002157605317454655,temperature
393,22.85,0.0,function-action
394,23.4,0.0,shape
395,22.95,0.007247493934764753,taste
396,23.45,0.0008190159829880056,color
397,22.85,0.0,function-action
398,22.8,0.0,material
399,22.85,2.8454725509611087e-05,function-action
400,22.85,0.0006135209081645276,function-action
401,22.95,0.004805293941409527,taste
402,22.85,0.0030652876260224625,function-action
403,22.85,0.0,function-action
404,23.35,0.0,part
405,23.4,0.0,shape
406,23.25,5.510852960284273e-05,encyclopedic
407,23.45,9.825421806051936e-06,color
408,23.45,0.0,color
409,22.85,0.0,function-action
410,22.85,0.0011709902761550097,function-action
411,23.0,0.00023036705262625555,temperature
412,23.45,0.0006514543601372293,color
413,23.45,0.0046511003466553034,color
414,23.45,0.00017543543847168362,color
415,22.85,0.00043322455756842243,function-action
416,23.0,0.0016349936739018505,temperature
417,23.45,0.0005038683553091384,color
418,23.0,0.0,temperature
419,23.35,0.00023655676316986787,part
420,23.45,0.0008209951905590772,color
