,weapon,vegetable,mammal,animal,no-cat,fruit,bird,all,communication,relation,measure,object,food,plant,green,mean
grape,0.0036851631130153137,0.0,0.0,0.0,0.0,0.0038723710646943413,0.0,0.0031749681287157627,0.0,0.0,0.0,0.0030879314319947923,0.0033919689215055034,0.0034400013881756898,0.0,0.0013768269365400936
slug,0.0014219254042423205,0.0,0.0,0.00073024109636368,0.0,0.0,0.0,0.0005423098406307154,0.0,0.0008021971864475457,0.0009460261481130469,0.0005328913215475676,0.0006304622617542359,0.0,0.0,0.0003737368839399409
lettuce,0.0,0.023723842833279656,0.0,0.0,0.0,0.0,0.0,0.0202484054197993,0.0,0.0,0.023633010669929483,0.01838420243469602,0.02132000196074822,0.022489443454988073,0.0,0.008653260451562717
spinach,0.0,0.02780536866611737,0.0,0.0,0.0,0.0,0.0,0.024085177965094615,0.0,0.0,0.0,0.023686918902752905,0.026196484267052407,0.026273812233192185,0.0,0.008536517468947298
cabbage,0.0,0.021723728991767728,0.0,0.0,0.0,0.0,0.0,0.018498455285588345,0.0,0.0,0.022767208194751462,0.01884992384189577,0.01985772397602754,0.0208438856751861,0.0,0.008169395064347797
cucumber,0.0,0.01143893276625123,0.0,0.0,0.0,0.0,0.0,0.010404420688132333,0.0,0.0,0.0,0.01043827808901566,0.01132621295821057,0.01151956905390193,0.0,0.0036751609037007815
broccoli,0.0,0.006389247207453021,0.0,0.0,0.0,0.0,0.0,0.004959293565367132,0.0,0.0,0.0,0.005135033768948048,0.005257458107738727,0.005772758864827793,0.0,0.0018342527676223146
radish,0.0,0.010667296249286373,0.0,0.0,0.0,0.0,0.0,0.010184202728906713,0.0,0.0,0.0,0.009079930792608265,0.009654317122427813,0.010495608754482579,0.0,0.0033387570431807827
rhubarb,0.0,0.004317611030714487,0.0,0.0,0.0,0.0,0.0,0.003762649851869229,0.0,0.0,0.0,0.0038929780384620353,0.003913207029500345,0.004445608649928767,0.0,0.0013554703066983244
pepper,0.0,0.01615621909360785,0.0,0.0,0.0,0.0,0.0,0.015702349904255352,0.0,0.0,0.0,0.01568007641179227,0.01689980969865263,0.01776069684209727,0.0,0.005479943463360357
plantain,0.0,0.015689964247460983,0.0,0.0,0.0,0.0,0.0,0.015472524400142155,0.0,0.0,0.0,0.014874859232901369,0.014447136950378343,0.016030287804548585,0.0,0.005100984842362096
celery,0.0,0.033162532542887514,0.0,0.0,0.0,0.0,0.0,0.025574223680538206,0.0,0.0,0.0,0.025964756025573216,0.03101708141500901,0.03333993047620673,0.0,0.00993723494268098
asparagus,0.0,0.04465006791797748,0.0,0.0,0.0,0.0,0.0,0.03756303021709081,0.0,0.0,0.0,0.03903467734409521,0.04120908122776273,0.04421334579839583,0.0,0.013778013500354803
vegetable,0.0,0.014865866473701632,0.0,0.0,0.0,0.0,0.0,0.014880709047224158,0.0,0.0,0.0,0.014435851802756534,0.015334315072384279,0.016665198183272733,0.0,0.005078796038622623
pumpkin,0.0,0.005954017832284068,0.0,0.0,0.0,0.0,0.0,0.006293929833814142,0.0,0.0,0.0,0.006211291182727378,0.006497795657720581,0.006249201019637761,0.0,0.002080415701745595
iceberg,0.0,0.005205063883042297,0.0,0.0,0.0,0.0,0.0,0.006066020119903679,0.0,0.0,0.0,0.005955489550170577,0.005631267690902958,0.0,0.0,0.0015238560829346343
beet,0.0,0.0010858510941263626,0.0,0.0,0.0,0.0,0.0,0.0010083660522386241,0.0,0.0,0.0,0.0009827062744427034,0.001188199673747744,0.0011522647997439382,0.0,0.00036115919295329153
carrot,0.0,0.010564373294205221,0.0,0.0,0.0,0.0,0.0,0.010494650881952235,0.0,0.0,0.0,0.010282619740516362,0.011166039889651728,0.010313528866168447,0.0,0.003521414178166266
tomato,0.0,0.022839989977297002,0.0,0.0,0.0,0.0,0.0,0.01759703788573346,0.0,0.0,0.0,0.01712258651146573,0.023053942470225058,0.019385146120815138,0.0,0.0066665801977024266
aubergine,0.0,0.026193204329735566,0.0,0.0,0.0,0.0,0.0,0.021906604337726617,0.0,0.0,0.0,0.02139578557790082,0.026233570508300285,0.0238816198541727,0.0,0.007974052307189066
mushroom,0.0,0.007903875112194524,0.0,0.0,0.0,0.0,0.0,0.007232280254922259,0.0,0.0,0.0,0.007037039620464721,0.007361312926422291,0.0,0.0,0.0019689671942669197
potato,0.0,0.004099831945689689,0.0,0.0,0.0,0.0,0.0,0.003970211336550229,0.0,0.0,0.0,0.0038729258405199953,0.0042870384239225455,0.004087808404888464,0.0,0.0013545210634380615
world,0.0,0.0,0.0028037583514974947,0.0025464707013389534,0.0,0.0,0.0,0.0022765008982258733,0.0,0.0,0.0,0.002205899530856871,0.0,0.0,0.0,0.0006555086321279462
jade,0.0,0.0,0.037546522122565866,0.030279003930789472,0.0,0.0,0.0,0.02628680186817671,0.0,0.0,0.0,0.02423992867926793,0.0,0.0,0.0,0.007890150440053333
fox,0.0,0.0,0.0065965892695361815,0.004551550233120359,0.0,0.0,0.0,0.004209127006294947,0.0,0.004785781201317754,0.0,0.004054659236773757,0.0,0.0,0.0,0.0016131804631361998
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jaguar,0.0,0.0,0.006480944119076277,0.004060970778013322,0.0,0.0,0.0,0.0033617116851049197,0.0,0.0,0.0,0.003285180294339854,0.0,0.0,0.0,0.0011459204584356249
