,context,n_concepts,mean_tfidf,mean_diff,evidence
0,airplanes,7,0.01,0.01,i
1,engineers,6,0.01,0.01,u
2,crews,6,0.01,0.01,r
3,flying,6,0.05,0.04,p
4,flights,6,0.02,0.02,p
5,official,6,0.01,0,u
6,morning,6,0.01,0.01,u
7,radio,6,0.01,0,u
8,aug,6,0,0,u
9,flight,6,0.05,0.05,p
10,july,6,0,0,u
11,unmanned,6,0.03,0.02,u
12,engineer,6,0.01,0.01,u
13,television,6,0.01,0.01,u
14,fly,6,0.05,0.05,p
15,canadian,6,0.01,0,u
16,lockheed,6,0.02,0.02,r
17,missions,6,0.01,0.01,u
18,flown,6,0.05,0.04,p
19,sky,6,0.01,0.01,r
20,flies,6,0.03,0.03,p
21,flew,6,0.04,0.04,p
22,flying,6,0.05,0.04,p
23,fly,6,0.05,0.05,p
24,flown,6,0.05,0.04,p
