,context,n_concepts,mean_tfidf,mean_diff,evidence
0,populations,28,0.01,0.01,-
1,birds,27,0.01,0.01,-
2,population,27,0.0,0.0,-
3,extinct,26,0.02,0.02,-
4,adult,26,0.01,0.0,-
5,predator,26,0.01,0.01,-
6,inhabited,26,0.0,0.0,-
7,aggressive,26,0.0,0.0,-
8,kills,26,0.01,0.0,-
9,tail,26,0.01,0.01,-
10,living,25,0.0,0.0,-
11,legs,25,0.01,0.01,-
12,appears,25,0.01,0.0,-
13,animals,25,0.01,0.01,-
14,animal,25,0.02,0.01,-
15,attempts,25,0.0,0.0,-
16,flight,25,0.01,0.01,-
17,prey,25,0.02,0.02,-
18,sized,25,0.01,0.01,-
19,live,24,0.01,0.0,-
20,black,24,0.04,0.03,-
