,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fish,10,0.01,0.01,i
1,95,10,0.01,0.01,u
2,one,9,0.01,0,u
3,bowl,9,0.02,0.02,r
4,pot,9,0.01,0.01,r
5,place,9,0.01,0,u
6,turning,9,0.01,0,u
7,add,9,0.01,0.01,r
8,stand,9,0,0,u
9,combined,8,0,0,r
10,whose,8,0,0,u
11,99,8,0.01,0.01,u
12,great,8,0,0,u
13,prepared,8,0.01,0,r
14,cover,8,0.01,0,r
15,choice,8,0,0,u
16,significant,8,0,0,u
17,cause,8,0,0,u
18,particularly,8,0,0,u
19,smile,8,0,0,u
20,cook,8,0.01,0.01,p
21,cooking,6,0.01,0.01,p
22,cooked,2,0.02,0.01,p
