,context,n_concepts,mean_tfidf,mean_diff,evidence
0,annual,46,0.0,0.0,-
1,growing,44,0.01,0.01,-
2,however,41,0.0,0.0,-
3,past,41,0.01,0.0,-
4,program,41,0.0,0.0,-
5,between,40,0.0,0.0,-
6,likely,40,0.0,0.0,-
7,mountain,39,0.0,0.0,-
8,circle,39,0.01,0.0,-
9,concerned,39,0.0,0.0,-
10,largely,39,0.0,0.0,-
11,72,39,0.0,0.0,-
12,will,39,0.01,0.01,-
13,first,39,0.01,0.01,-
14,rain,38,0.0,0.0,-
15,jerry,38,0.0,0.0,-
16,bright,38,0.01,0.01,-
17,avoid,38,0.0,0.0,-
18,ideas,37,0.0,0.0,-
19,1960s,37,0.0,0.0,-
20,round,20,0.01,0.01,-
