,context,n_concepts,mean_tfidf,mean_diff,evidence
0,chicken,25,0.03,0.03,i
1,add,25,0.03,0.03,r
2,potato,25,0.04,0.04,i
3,recipe,25,0.02,0.02,r
4,green,25,0.03,0.03,u
5,bean,24,0.02,0.02,i
6,cream,24,0.02,0.02,i
7,rice,24,0.01,0.01,i
8,cup,23,0.01,0.01,r
9,reserved,23,0.01,0.01,u
10,stuffed,23,0.02,0.02,r
11,egg,23,0.01,0.01,i
12,olive,23,0.02,0.02,i
13,mix,23,0.01,0.01,r
14,strips,23,0.01,0.01,r
15,combine,23,0.02,0.02,r
16,grown,23,0.01,0.01,u
17,fresh,23,0.02,0.02,r
18,chopped,23,0.06,0.06,r
19,soup,22,0.19,0.19,i
20,cook,22,0.02,0.02,p
21,cooking,20,0.01,0.01,p
22,cooked,19,0.04,0.04,p
23,cooks,3,0.01,0.01,p
