,context,n_concepts,mean_tfidf,mean_diff,evidence
0,chicken,25,0.03,0.03,-
1,add,25,0.03,0.03,-
2,potato,25,0.04,0.04,-
3,recipe,25,0.02,0.02,-
4,green,25,0.03,0.03,-
5,bean,24,0.02,0.02,-
6,cream,24,0.02,0.02,-
7,rice,24,0.01,0.01,-
8,cup,23,0.01,0.01,-
9,reserved,23,0.01,0.01,-
10,stuffed,23,0.02,0.02,-
11,egg,23,0.01,0.01,-
12,olive,23,0.02,0.02,-
13,mix,23,0.01,0.01,-
14,strips,23,0.01,0.01,-
15,combine,23,0.02,0.02,-
16,grown,23,0.01,0.01,-
17,fresh,23,0.02,0.02,-
18,chopped,23,0.06,0.06,-
19,soup,22,0.19,0.19,-
20,cook,22,0.02,0.02,-
21,cooking,20,0.01,0.01,-
22,cooked,19,0.04,0.04,-
23,cooks,3,0.01,0.01,-
