,context,n_concepts,mean_tfidf,mean_diff,evidence
0,grape,35,0.04,0.04,-
1,berry,34,0.03,0.03,-
2,raspberry,33,0.05,0.05,-
3,plum,32,0.06,0.06,-
4,cherry,31,0.06,0.05,-
5,peach,30,0.06,0.06,-
6,fruit,30,0.08,0.06,-
7,apple,30,0.05,0.05,-
8,pomegranate,30,0.03,0.03,-
9,pear,30,0.06,0.06,-
10,ripe,29,0.02,0.02,-
11,fruits,29,0.05,0.04,-
12,strawberry,29,0.05,0.04,-
13,apricot,28,0.05,0.04,-
14,blueberry,28,0.04,0.04,-
15,cranberry,28,0.01,0.01,-
16,fig,27,0.03,0.03,-
17,flavors,27,0.03,0.03,-
18,grapes,27,0.03,0.03,-
19,orange,27,0.04,0.04,-
20,sweet,25,0.02,0.01,-
