,all,relation,bird,mammal,no-cat,animal,food,object,communication,fish,vehicle,measure,mean,median
wren,0.004646548787718447,0.0,0.004349514757378393,0.0,0.0,0.004559369253209775,0.0,0.004628408395044478,0.0,0.0,0.0,0.0,0.0015153200994459245,0.0
flycatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twinjet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stork,0.004907754956464813,0.0,0.005087995691650195,0.0,0.0,0.005137246689417997,0.0,0.0048933009258402636,0.0,0.0,0.0,0.0,0.0016688581886144388,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelican,0.011832425737745563,0.0,0.010739315881824339,0.0,0.0,0.012696208960102697,0.0,0.011813929151844295,0.0,0.0,0.0,0.0,0.003923489977626408,0.0
vulture,0.009885718832394991,0.0,0.008238987804204163,0.0,0.0,0.009478974010406257,0.0,0.00996188327057561,0.0,0.0,0.0,0.0,0.0031304636597984186,0.0
kite,0.0266052919123962,0.0,0.026967020436076534,0.0,0.0,0.028666632870074715,0.0,0.026594454931446455,0.028710317729071424,0.0,0.0,0.0,0.01146197648992211,0.0
nightingale,0.00314615475068886,0.0,0.003208416181534044,0.0,0.0,0.0028080299484867983,0.0,0.00308075076197965,0.0,0.0,0.0,0.0,0.001020279303557446,0.0
tit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bomber,0.005760851003886785,0.0,0.0,0.0,0.0,0.0,0.006153200098153589,0.005755648141120384,0.0,0.0,0.00609677553165564,0.0,0.0019805395645680333,0.0
balloon,0.017293920538966216,0.0,0.0,0.0,0.0,0.0,0.0,0.01724152398203186,0.0,0.0,0.016515768857300245,0.0,0.00425426778152486,0.0
jet,0.04499481417658542,0.046320140105361465,0.0,0.0,0.0,0.0,0.0,0.04491768600285917,0.0,0.0,0.045754673600753,0.0,0.015165609490463255,0.0
hawk,0.012953220307513868,0.0,0.013536832414749884,0.0,0.0,0.01377029484472097,0.0,0.012934266341761348,0.0,0.0,0.0,0.0,0.004432884492395506,0.0
chinook,0.015455489221739524,0.0,0.0,0.0,0.0,0.016425501458487195,0.017043004033713546,0.01543804475250616,0.0,0.01941387841374859,0.0,0.0,0.00698132649001625,0.0
flicker,0.003122055880185389,0.0,0.00294408274977842,0.0,0.0,0.0031363613804326366,0.0,0.0031163588032207456,0.0,0.0,0.0,0.0,0.0010265715678014328,0.0
marabou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pigeon,0.0054649835486218065,0.0,0.005788305628584257,0.0,0.0,0.0057946771351546945,0.0,0.005452772530174588,0.0,0.0,0.0,0.0,0.001875061570211279,0.0
airship,0.016830792496705015,0.0,0.0,0.0,0.0,0.0,0.0,0.016781437081570184,0.0,0.0,0.011414802529635533,0.0,0.0037522526756592275,0.0
sky,0.007405923342843128,0.0,0.0,0.0,0.008114389058396681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012933593667699842,0.0
toy,0.0016360001196752273,0.0,0.0,0.0019463691397978802,0.0,0.0018254892044927728,0.0,0.0016314705422948207,0.0,0.0,0.0,0.0,0.0005866107505217251,0.0
seagull,0.003729289200619258,0.0,0.005016830404272429,0.0,0.0,0.004299636968522342,0.0,0.003717849202818625,0.0,0.0,0.0,0.0,0.001396967148019388,0.0
albatross,0.007372030962800082,0.0,0.0066009720267115445,0.0,0.0,0.007990383589846467,0.0,0.007341307870253056,0.0,0.0,0.0,0.0,0.0024420578708009293,0.0
helicopter,0.09218872296852279,0.0,0.0,0.0,0.0,0.0,0.0,0.09205019180819127,0.0,0.0,0.08982855114094668,0.0,0.022838955493138396,0.0
capsule,0.001377205898324261,0.0,0.0,0.0,0.0,0.0,0.0,0.0013727921606975157,0.00200801342343055,0.0,0.0014066851051019148,0.0,0.0005137247156295201,0.0
fowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.002247094850089632,0.0,0.0030297430364289615,0.0,0.0,0.002595665439332279,0.0,0.0022415268188472745,0.0,0.0,0.0,0.0,0.0008428358453915124,0.0
skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.00612460645900799,0.0,0.006640499000743468,0.0,0.0,0.006586478185796264,0.0,0.006130747746943594,0.0,0.0,0.0,0.0,0.0021235276160409427,0.0
gull,0.004813901901271646,0.0,0.004598843159662217,0.0,0.0,0.004387544375861247,0.0,0.004803065823077718,0.0,0.0,0.0,0.0,0.0015502796049894022,0.0
butterfly,0.0023963628756519836,0.0,0.0,0.0,0.0,0.002634065780854929,0.0,0.002389635463806435,0.0,0.0,0.0,0.0,0.000618338676692779,0.0
craft,0.012655940502396486,0.0,0.0,0.0,0.0,0.0,0.0,0.01262996163395198,0.0,0.0,0.011968860472504367,0.0,0.003104563550737736,0.0
arrow,0.003488195273372664,0.0,0.0,0.0,0.0,0.0,0.0,0.003480754564937802,0.0036592949295048954,0.0,0.0,0.0,0.0008856870639846135,0.0
wing,0.003161940231551488,0.0,0.0,0.0,0.0,0.0,0.0,0.003158833125130233,0.0,0.0,0.0,0.0035451855497444095,0.0008221632422021775,0.0
loon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
machine,0.0015649023004555686,0.0,0.0,0.0,0.0,0.0,0.0,0.0015632144751538085,0.0,0.0,0.0015136707760305698,0.0,0.0003868156293033289,0.0
snowbird,0.004990396169221911,0.0,0.0069057490913665065,0.0,0.0,0.005557027740553744,0.0,0.004975967628052047,0.0,0.0,0.0,0.0,0.001869095052432851,0.0
duck,0.0007877874515602232,0.0,0.0009109296221193681,0.0,0.0,0.0009259327693718963,0.000865430184282281,0.0007865724989173188,0.0,0.0,0.0,0.0006990781478343418,0.00041464422284045245,0.00041464422284045245
robin,0.0007283177493219239,0.0,0.0008718747179161466,0.0,0.0,0.0008258693669375056,0.0,0.0007259557181403826,0.0,0.0,0.0,0.0,0.0002626681293596632,0.0
pheasant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
woodpecker,0.004493874616831169,0.0,0.005070798160546221,0.0,0.0,0.005110073050748831,0.0,0.004486179129238327,0.0,0.0,0.0,0.0,0.0015967437464470457,0.0
quail,0.0036246928951040084,0.0,0.004219500571723638,0.0,0.0,0.003562749421792817,0.0034255809304448662,0.003618405134606157,0.0,0.0,0.0,0.0,0.0015375774128059572,0.0
plane,0.0860034008811925,0.0,0.0,0.0,0.08633885006301045,0.0,0.0,0.08590788200792217,0.0,0.0,0.08579289687935003,0.0,0.028670252485956265,0.0
puffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truck,0.0018647792151287679,0.0,0.0,0.0,0.0,0.0,0.0,0.001844028365466329,0.0,0.0,0.0023021944503225813,0.0,0.0005009168359098064,0.0
seal,0.0015331554015480349,0.0022315760209366156,0.0,0.00210728602733212,0.0,0.001390440181307131,0.0,0.0015042858287384936,0.0016552901745064178,0.0,0.0,0.0,0.0008685028028640678,0.0008685028028640678
titi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepshead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.003994234458545825,0.0,0.0,0.005649645427498341,0.0,0.003546805959199562,0.0,0.0039583169221650205,0.0,0.0,0.0,0.0,0.001429083563950729,0.0
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0023970396650230446,0.0,0.0,0.003910724522922968,0.0,0.002366494785350967,0.0,0.002403173216459381,0.0,0.0,0.0,0.0,0.0009231193491463633,0.0
razorback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skimmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupe,0.0006490080984070559,0.0,0.0,0.0,0.0,0.0,0.0,0.0006348583821043581,0.0,0.0,0.000826057846166915,0.0,0.00017582702722319409,0.0
chick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trailer,0.0003658535949527371,0.0,0.0,0.0,0.0,0.0,0.0,0.0003587300194376224,0.0003674558543207978,0.0,0.0005112551629212871,0.0,0.00013360788596937037,0.0
catfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schooner,0.0030617220632444186,0.0,0.0,0.0,0.0,0.0,0.0,0.0030702930618414113,0.0,0.0,0.003525568184784472,0.0,0.0008047986091558585,0.0
whistler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sunfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
