,plant,no-cat,measure,relation,square,object,communication,food,all,mean
box,0.0010984848589448387,0.0,0.0013464958669416667,0.0,0.0,0.0012013154933855808,0.0,0.0,0.0011435164084727292,0.0005322014030827572
cube,0.0019578632459312114,0.0,0.0022179038543684035,0.0,0.0,0.001751448730198338,0.0,0.0,0.0017723183864150778,0.0008555038018792256
apple,0.0013949643500383493,0.0021648380757420885,0.0,0.0,0.0,0.0010917179224034248,0.0,0.0012591788346888642,0.0010855686932199164,0.0007773630973436272
orange,0.0003412851219668451,0.0,0.0,0.0002964304679092364,0.0,0.0002556872277600411,0.0,0.00033140678436274177,0.0002543956352308027,0.000164356137469963
tart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,0.0,0.00018174470341951219,0.0,0.0,0.00017910046750525517,4.0093907880529704e-05
pen,0.0,0.0023057624884655153,0.0,0.0,0.0,0.0012861036668693417,0.0,0.0,0.001273611261959277,0.0005406086019215705
ball,0.0,0.002135142585684716,0.0,0.0,0.0,0.0011091353732782827,0.0,0.0,0.0011004804555000299,0.0004827509349403365
window,0.0,0.0,0.0216268694268286,0.0,0.0,0.018664856266468903,0.0,0.0,0.017736352082892152,0.006447564197354406
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barrel,0.0,0.0,0.0009273188406347123,0.0,0.0,0.0006790168753602359,0.0,0.0,0.0006761499510894386,0.00025360951856493184
mug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marble,0.0,0.0,0.0,0.005706979623606212,0.0,0.0056909539580911345,0.0,0.0,0.005328874015662663,0.0018585341774844453
page,0.0,0.0,0.0,0.00044363971431297277,0.0,0.000517440756297143,0.0,0.0,0.0005068473748751789,0.0001631030939428105
phone,0.0,0.0,0.0,0.004431937762288545,0.0,0.004703569032938763,0.0,0.0,0.004475963783879509,0.0015123856199007577
room,0.0,0.0,0.0,0.10923838036151035,0.0,0.11341611022808931,0.0,0.0,0.10726487027964776,0.03665770676324972
couch,0.0,0.0,0.0,0.004164593378106277,0.0,0.004490505592140838,0.0,0.0,0.004342610366710779,0.001444189926328655
newspaper,0.0,0.0,0.0,0.0015052061879563417,0.0,0.0016207863101279864,0.0,0.0,0.001538718370199261,0.0005183012075870655
card,0.0,0.0,0.0,0.0005553318301190447,0.0,0.0005756257988432643,0.0005691247334205987,0.0,0.0005504771124617825,0.0002500621638716323
wallpaper,0.0,0.0,0.0,0.018870743365294988,0.0,0.0,0.0,0.0,0.020248284352963955,0.0043465586353621044
circle,0.0,0.0,0.0,0.0014094932434833077,0.0,0.0012029058909585539,0.0,0.0,0.001189596600534535,0.000422443970552933
dining,0.0,0.0,0.0,0.0,0.2558840387441465,0.0,0.0,0.0,0.27981384803204107,0.0595219874195764
frisbee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cds,0.0,0.0,0.0,0.0,0.0005657673401081757,0.0,0.0,0.0,0.0004328980950760313,0.00011096282613157855
suite,0.0,0.0,0.0,0.0,0.0,0.01579346177420102,0.016104238063196708,0.0,0.015304401963871696,0.005244677977918825
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
countertop,0.0,0.0,0.0,0.0,0.0,0.4872239578010894,0.0,0.0,0.46926588957588156,0.10627664970855233
kitchenette,0.0,0.0,0.0,0.0,0.0,0.08596440054084703,0.0,0.0,0.08089168883333138,0.018539565486019823
diskette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toilet,0.0,0.0,0.0,0.0,0.0,0.11081613343841518,0.0,0.0,0.10480478648689372,0.02395787999170099
washroom,0.0,0.0,0.0,0.0,0.0,0.16123572387657548,0.0,0.0,0.15218702769593784,0.0348247501747237
hardware,0.0,0.0,0.0,0.0,0.0,0.002453895338346053,0.0,0.0,0.0023472487374229926,0.0005334604528632273
dresser,0.0,0.0,0.0,0.0,0.0,0.03745948853242283,0.0,0.0,0.035559479557363396,0.008113218676642914
kitchen,0.0,0.0,0.0,0.0,0.0,0.19487291254466765,0.0,0.0,0.18621083216056952,0.04234263830058191
computer,0.0,0.0,0.0,0.0,0.0,0.004153507979665977,0.0,0.0,0.003971322337116169,0.000902758924086905
button,0.0,0.0,0.0,0.0,0.0,0.0014954299353308032,0.0,0.0,0.0014217869467001978,0.00032413520911455567
bookshelf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foyer,0.0,0.0,0.0,0.0,0.0,0.09632805732002031,0.0,0.0,0.09039101175292588,0.020746563230327354
dongle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tray,0.0,0.0,0.0,0.0,0.0,0.01435084535788682,0.0,0.0,0.013754552361791749,0.0031228219688531744
dumbwaiter,0.0,0.0,0.0,0.0,0.0,0.13726227809205196,0.0,0.0,0.12960350154640954,0.029651753293162386
shelf,0.0,0.0,0.0,0.0,0.0,0.005385802970535351,0.0,0.0,0.005034566452061464,0.0011578188247329793
carrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lavatory,0.0,0.0,0.0,0.0,0.0,0.15386369378019576,0.0,0.0,0.14536261685252816,0.03324736784808044
classroom,0.0,0.0,0.0,0.0,0.0,0.008415481404660216,0.0,0.0,0.008049821387483464,0.0018294780880159641
armrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table,0.0,0.0,0.0,0.0,0.0,0.05600304833883271,0.0,0.03856037129059542,0.05362169435554365,0.016465012664996864
bookmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
console,0.0,0.0,0.0,0.0,0.0,0.0007565278245521362,0.0,0.0,0.0007299743398236476,0.00016516690715286488
