,context,n_concepts,mean_tfidf,mean_diff,evidence
0,madonna,5,0.03,0.02,i
4,range,5,0.01,0.01,u
5,45,5,0.01,0.01,u
1,christina,5,0.02,0.01,i
3,fun,5,0.01,0.01,u
2,monica,5,0.01,0.01,i
44,cut,4,0,0,u
33,songs,4,0.02,0.02,u
34,reads,4,0.01,0.01,u
35,slow,4,0.01,0.01,u
36,carol,4,0.01,0.01,i
37,ice,4,0.01,0.01,u
38,barely,4,0.01,0.01,u
39,beautiful,4,0.01,0.01,b
40,write,4,0.01,0.01,u
41,50,4,0.01,0,u
42,linda,4,0.01,0,i
43,ms,4,0.03,0.02,i
45,heather,4,0,0,i
31,actual,4,0.01,0.01,u
