,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
scallop,0.005960084272841004,0.0,0.0,0.0,0.0,0.0,0.005717015147821017,0.0,0.0,0.0,0.005357511482499647,0.0,0.005372014648998337,0.005555644739350405,0.001997305020822172
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0017424630329826636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017429296797496856,0.0,0.0017890010102888884,0.0017554583812013083,0.0005021322931587532
lobster,0.0014788752392203778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014360303779821506,0.0,0.0013596223348794568,0.0014124665354830997,0.0004062138919689347
chicken,0.002031085132708181,0.0,0.0,0.0,0.0,0.0024230162097232653,0.0,0.0,0.0,0.0,0.0025874083282474516,0.0,0.0027972945700538245,0.002602752084461096,0.0008886825946567013
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.001786170398611555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009526514845550492,0.0,0.0009326511050095201,0.0009504932170745334,0.0003301404432321898
emperor,0.00013195677309643444,8.494003369473859e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.276961545809536e-05,0.0,8.190448726340272e-05,8.464319141780225e-05,3.330100720931953e-05
jack,0.0018819679061874094,0.0013060940386409126,0.0,0.0,0.0028531357890292253,0.0020414557950961224,0.0022983004666178616,0.0016469657764730252,0.002803466195048782,0.0,0.0013313846054071332,0.0,0.001331468192559342,0.0013718400787695643,0.0013475770602735268
gooseberry,0.0,0.004940221517070381,0.0,0.005083440444296651,0.0,0.0,0.0,0.0,0.0,0.0,0.0046763652105963885,0.0,0.004656433344732998,0.0048445491952798245,0.0017286435508554459
guava,0.0,0.04309105489487475,0.0,0.0462707916471893,0.0,0.0,0.0,0.0,0.0,0.0,0.04306820327694229,0.0,0.04381780375100084,0.042911302347719775,0.015654225422694783
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
