,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.00497299231845767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003544958482339966,0.0,0.0037981064473948957,0.0035918550209227103,0.001136279447793946
lobster,0.0018088767120506644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012517515262963448,0.0,0.001237080756984804,0.0012385959144076972,0.0003954503506956793
chicken,0.004968617364484356,0.0,0.0,0.0,0.0,0.004846032419446531,0.0,0.0,0.0,0.0,0.00451075739579637,0.0,0.00509035368934046,0.004564721382127504,0.0017128915893710873
cob,0.006892022595860926,0.004581549691830166,0.0,0.0,0.006276430145835161,0.006276430145835161,0.0,0.0,0.0,0.0,0.004378707486549992,0.0,0.0,0.004272141294437131,0.002334091525739181
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0003958703192893033,0.00023710981202567348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023541056522395718,0.0,0.00023165495665866922,0.0002348003314843075,9.534614176299363e-05
jack,0.005645903718562228,0.003645957018370977,0.0,0.0,0.0060900888379997725,0.005179950708076002,0.006894901399853584,0.0059474883363267545,0.008410398585146346,0.0,0.003786679456642491,0.0,0.003765864566709173,0.003805486298934683,0.003798051351901572
gooseberry,0.0,0.04243810654296482,0.0,0.04575790820757763,0.0,0.0,0.0,0.0,0.0,0.0,0.040762698196597044,0.0,0.04236753059416526,0.04248198941129875,0.01527201663947168
guava,0.0,0.10431955133832738,0.0,0.11737736651999497,0.0,0.0,0.0,0.0,0.0,0.0,0.1057986839284322,0.0,0.1123568036462843,0.10604548435937006,0.03899270641374349
elderberry,0.0,0.009892976460636435,0.0,0.009376675422182573,0.0,0.0,0.0,0.0,0.0,0.0,0.010104697615427151,0.0,0.01100501576383477,0.0213846139681264,0.004411712802157666
strawberry,0.0,0.032670460360490004,0.0,0.03270261379596497,0.0,0.0,0.0,0.0,0.0,0.0,0.035252272538793705,0.0,0.03915832627532121,0.03665724169451367,0.012602922476077399
