,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
scallop,0.07290038643614716,0.0,0.0,0.0,0.0,0.0,0.07414027587089106,0.0,0.0,0.0,0.0682135421331233,0.0,0.06252795442230139,0.06778939693900694,0.024683682557247847
sardine,0.008786540723129479,0.0,0.0,0.0,0.0,0.0,0.0,0.009524768980753507,0.0,0.0,0.008081409772776353,0.0,0.008112434169360212,0.008036304035621009,0.0030386755486886117
crab,0.13213951017616093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13758752112894637,0.0,0.1291038840805555,0.13280350304902203,0.03797388703104892
lobster,0.16460778079661045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16638436390056313,0.0,0.14401134795209658,0.15683639938753952,0.04513142085977212
chicken,0.03158621038850769,0.0,0.0,0.0,0.0,0.043298051683434625,0.0,0.0,0.0,0.0,0.0418855699692492,0.0,0.041396841047353805,0.04037867589606894,0.014181810641758162
cob,0.003446011297930463,0.0037981101323938484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031979298060356535,0.0,0.0,0.0029722917776030373,0.0009581673581402145
mussel,0.005548482616398127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052782817151189355,0.0,0.005097524360857553,0.0049944230512712325,0.0014941936959747034
emperor,0.00020495241165419855,0.0002796115046453426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022929757362627872,0.0,0.00022382974557483675,0.0002223813377918536,8.286232666375072e-05
jack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gooseberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0,0.0027495296281385803,0.0,0.0022891941185869532,0.0,0.0,0.0,0.0,0.0,0.0,0.0025449063975616854,0.0,0.002386930320998034,0.00243187051264313,0.0008858879269948845
fruit,0.0,0.003903438890774561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003505799737675794,0.0,0.0,0.003378798936891691,0.0007705741118101461
citron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tamarind,0.0,0.02314021056522141,0.0,0.019272772858590893,0.0,0.0,0.0,0.0,0.0,0.0,0.02103080458996767,0.0,0.019107841060992052,0.02118793095902089,0.0074099685738423515
berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okra,0.0,0.012651450225251555,0.012377539686277238,0.011889411220023753,0.0,0.0,0.0,0.0,0.0,0.0,0.01252690057524586,0.0,0.01179148155425772,0.011934084195868805,0.005226490532637495
tamarindo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date,0.0,0.00038549909943648664,0.0,0.0,0.0,0.0,0.0003564951126162717,0.0,0.0,0.0,0.0003377917980788291,0.0,0.00031649355937950235,0.0003268404274837438,0.00012307999978534526
wintergreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0,0.00755280387902948,0.0,0.006104857877158791,0.0,0.0,0.0,0.0,0.0,0.0,0.006804776066915566,0.0,0.006186107767626401,0.0064309400680880825,0.0023628204042013086
blackberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calabash,0.0,0.01366494002338423,0.0,0.011046607292744138,0.0,0.0,0.0,0.0,0.0,0.0,0.014118534105497087,0.0,0.0,0.014616575448425078,0.003817618347860752
apple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
watermelon,0.0,0.006605970232410473,0.0,0.005612679500606285,0.0,0.0,0.0,0.0,0.0,0.0,0.006343709661894099,0.0,0.005842837978805027,0.006009755774555547,0.0021724966534479593
mandarin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,0.0,0.009272236686133018,0.0,0.0071964178517321875,0.0,0.0,0.0,0.010079906380843466,0.0,0.0,0.008222870852810121,0.0,0.007392865757252471,0.007783553259753686,0.0035677036277517826
orange,0.0,0.00044603371003748213,0.0,0.0003455218723472643,0.0,0.0,0.0,0.0004604235610617387,0.0,0.0,0.00040037793983321065,0.0,0.0003750823085822519,0.00038486602611153555,0.0001723075298552488
cranberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mangosteen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.0,0.003918423863743261,0.0,0.003144152204735399,0.0,0.0,0.0,0.0,0.0,0.0,0.0036455706804639832,0.0,0.0032464930478243777,0.003481135225146909,0.0012454125015652806
pear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
satsuma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mango,0.0,0.006592722399250939,0.0,0.005459672888719556,0.0,0.0,0.0,0.0,0.0,0.0,0.006049618265510439,0.0,0.00543956858022528,0.005878911539443251,0.0021014638337963905
cantaloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anjou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.0,0.0035119112790297485,0.0,0.003088638535542069,0.0,0.0,0.0,0.0,0.0,0.0,0.0032985629310216397,0.0,0.003220603869220838,0.0032180585039833297,0.0011669839370569732
pineapple,0.0,0.014372425249764332,0.0,0.012285307334077436,0.0,0.0,0.0,0.0,0.0,0.0,0.013492541444650535,0.0,0.012733535811443942,0.013258919043698206,0.004724480634545318
damson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.0,0.0246724996249725,0.0,0.02094285654331856,0.0,0.0,0.0,0.0,0.0,0.0,0.022734024084878804,0.0,0.020628049715308978,0.02176111504573988,0.007909896072444194
marang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clementine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mulberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tangerine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
papaya,0.0,0.004167778726416146,0.0,0.003476710596368206,0.0,0.0,0.0,0.0,0.0,0.0,0.003642047922831956,0.0,0.0034010454142681034,0.0034450663709545567,0.0012951892164884977
raspberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grapefruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
honeydew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn,0.0,0.005680930444526669,0.0,0.004868141708209899,0.0,0.0,0.0,0.005504079454969897,0.0,0.0,0.005096501644260791,0.0,0.004651401860370105,0.0048423389871359215,0.0021888138642480915
lime,0.0,0.0032078696175502023,0.0,0.0026271116186374604,0.0,0.0,0.0,0.0036459028751190128,0.0,0.0,0.002929034898553019,0.0,0.00280857000784414,0.0028046084964573298,0.0012873641081543688
apricot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bean,0.0,0.003827804807177691,0.003522249801131941,0.0033492672503065025,0.0,0.0,0.0,0.0,0.0,0.0,0.0036568938119304686,0.0,0.003419474787230107,0.0034689103037677284,0.00151747148296746
sultana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pawpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.002421693165162997,0.0,0.0020897793236634085,0.0,0.0,0.0,0.0,0.0,0.0,0.0020062854028489946,0.0,0.0,0.001988689273755055,0.0006076033689593181
acorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackheart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,0.0,0.004134136489626706,0.0,0.0,0.0,0.0,0.0,0.00379639308815237,0.0,0.0,0.0035179306303565836,0.0,0.0,0.003403410302863973,0.001060847893642831
peanut,0.0,0.002956414055211404,0.0,0.0028216967677505604,0.0,0.0,0.0,0.0,0.0,0.0,0.002673968071427044,0.0,0.0,0.0027032409158634445,0.0007968085578751753
groundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chickpea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
