,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005162119341431743,0.0,0.0005685327434906874,0.0005298811172932055,0.00011533041392336193
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.006137230925091336,0.0,0.0,0.0,0.0,0.004846032419446531,0.0,0.0,0.0,0.0,0.004597951620404777,0.0,0.005333770793145029,0.004713808760106322,0.0018306281798709995
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0016497077565108564,0.000839853326098954,0.0,0.0,0.0019020905260194836,0.0013609705300640816,0.0015322003110785744,0.001203594245539651,0.0018689774633658548,0.0,0.0008875897369380887,0.0,0.0008772039429206757,0.000894205546632161,0.0009297423846548844
gooseberry,0.0,0.02121905327148241,0.0,0.02138101101944589,0.0,0.0,0.0,0.0,0.0,0.0,0.020775326378645168,0.0,0.022196757931973524,0.021934742240543016,0.007679063631577858
guava,0.0,0.11104984497305817,0.0,0.11676930027147256,0.0,0.0,0.0,0.0,0.0,0.0,0.11480146729252581,0.0,0.125325086086135,0.11657411060500639,0.041751414944871286
elderberry,0.0,0.009892976460636435,0.0,0.00876276072839591,0.0,0.0,0.0,0.0,0.0,0.0,0.010300024296995234,0.0,0.011531267813896809,0.022083052220695332,0.004469291537187122
strawberry,0.0,0.005808081841864889,0.0,0.0054331539245040614,0.0,0.0,0.0,0.0,0.0,0.0,0.0063882149338280615,0.0,0.0072943732747118425,0.00672968816687574,0.002260965152984614
lemon,0.0,0.017688946950096786,0.0,0.018370713069920903,0.0,0.0,0.0,0.0,0.0,0.0,0.01894359829403006,0.0,0.0208543944150713,0.019250899515279633,0.006793468017457048
