,animal,tool,no-cat,measure,relation,object,weapon,communication,vehicle,food,all,cutlery,mean
drum,0.0010643119446738986,0.0,0.0010246726096431642,0.0,0.0,0.0010741667729604594,0.0,0.0,0.0,0.0,0.0010741667729604594,0.0,0.00035310984168649844
bass,0.0006825058261933971,0.0,0.0006961005042261954,0.0,0.0,0.0007001921206082144,0.0,0.0007854576712847648,0.0,0.0007959607721547365,0.0007001921206082144,0.0,0.0003633674179229602
rail,0.0020230228045412008,0.0,0.0018727311241537694,0.0,0.0,0.00177498078270023,0.0,0.0,0.0,0.0,0.00177498078270023,0.0,0.0006204762911746192
pen,0.0010330694908126715,0.0,0.0008928130497214251,0.0,0.0,0.000857242651520049,0.0,0.0,0.0,0.0,0.000857242651520049,0.0,0.0003033639869645162
rake,0.0,0.005145507380965906,0.0,0.0,0.005573913336435287,0.004839354118099603,0.0,0.0,0.0,0.0,0.004839354118099603,0.0,0.0016998440794667002
toothpick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
axe,0.0,0.000704838037809386,0.0,0.0,0.0,0.0004888236746461621,0.0,0.0,0.0,0.0,0.0004888236746461621,0.0007093630865943147,0.0001993207061413354
spade,0.0,0.0030157708000467477,0.0,0.0,0.0031317194107674524,0.0025502051221253535,0.0,0.0,0.0,0.0,0.0025502051221253535,0.0,0.0009373250379220754
corkscrew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knife,0.0,0.001324573949802813,0.0,0.0,0.0,0.000948779621133185,0.0010803403794659504,0.0,0.0,0.0,0.000948779621133185,0.0012094975397563537,0.0004593309259409572
blade,0.0,0.0017245356792669586,0.0,0.0,0.0,0.001363726564143443,0.001542648251514193,0.0,0.0,0.0015941743629478797,0.001363726564143443,0.0,0.0006324009518346598
trowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saw,0.0,0.0034826693790031642,0.0,0.0,0.0,0.00294641767230454,0.0,0.0028382953970428684,0.0,0.0,0.00294641767230454,0.0,0.0010178166767212595
bamboo,0.0,0.0,0.00834574819978062,0.0,0.008467477801721244,0.007981424439768476,0.0,0.0,0.0,0.0,0.007981424439768476,0.0,0.002731339573419901
broom,0.0,0.0,0.0018751902027996962,0.0,0.0,0.0020285448493223774,0.0,0.0,0.0,0.0,0.0020285448493223774,0.0,0.0004943566584537043
pine,0.0,0.0,0.003629226600952299,0.0,0.004229607138621968,0.002922322385181017,0.0,0.0,0.0,0.0,0.002922322385181017,0.0,0.0011419565424946917
oak,0.0,0.0,0.006388979856680242,0.0,0.007354504376539984,0.005702005333984242,0.0,0.0,0.0,0.0,0.005702005333984242,0.0,0.002095624575099059
fir,0.0,0.0,0.0010689268121554104,0.0,0.0011991226065559103,0.0008529457989014965,0.0,0.0,0.0,0.0,0.0008529457989014965,0.0,0.00033116175137619283
date,0.0,0.0,0.0035596767602572837,0.003988897288311508,0.0,0.0035764003758696136,0.0,0.0,0.0,0.004122893931570802,0.0035764003758696136,0.0,0.0015686890609899016
gun,0.0,0.0,0.0007802128184321017,0.0,0.0,0.0008418151447755407,0.0009905787648648561,0.0,0.0,0.0,0.0008418151447755407,0.0,0.00028786848940400326
barrel,0.0,0.0,0.0,0.005493318307676956,0.0,0.005153980797207171,0.0,0.0,0.0,0.0,0.005153980797207171,0.0,0.001316773325174275
window,0.0,0.0,0.0,0.01863040313631038,0.0,0.016516226345529808,0.0,0.0,0.0,0.0,0.016516226345529808,0.0,0.004305237985614167
rod,0.0,0.0,0.0,0.0009234015035199909,0.0,0.0007333811435041606,0.0007622408535549871,0.0,0.0,0.0,0.0007333811435041606,0.0,0.00026270038700694156
deal,0.0,0.0,0.0,0.000612451524325101,0.0005545785424535183,0.0005960229958925326,0.0,0.0005508614687627898,0.0,0.0,0.0005960229958925326,0.0,0.00024249479394387288
pencil,0.0,0.0,0.0,0.0,0.016602762085257246,0.013468668019821089,0.0,0.0,0.0,0.0,0.013468668019821089,0.0,0.0036283415104082853
club,0.0,0.0,0.0,0.0,0.0013926711904942613,0.0011318860324615837,0.0,0.0,0.0,0.0,0.0011318860324615837,0.0,0.00030470360461811905
weatherboard,0.0,0.0,0.0,0.0,0.01203567673080808,0.010458542856966756,0.0,0.0,0.0,0.0,0.010458542856966756,0.0,0.002746063537061799
spindle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bridge,0.0,0.0,0.0,0.0,0.008420172958530371,0.007513267502775866,0.0,0.0,0.0,0.0,0.007513267502775866,0.0,0.0019538923303401754
