,context,n_concepts,mean_tfidf,mean_diff,evidence
0,held,47,0.01,0.01,-
1,by,45,0.02,0.01,-
2,another,44,0.01,0.0,-
3,first,44,0.01,0.01,-
4,only,44,0.01,0.01,-
5,hill,43,0.01,0.01,-
6,host,43,0.0,0.0,-
7,since,43,0.01,0.0,-
8,started,43,0.0,0.0,-
9,000,43,0.02,0.01,-
10,no,42,0.01,0.01,-
11,wide,42,0.01,0.01,-
12,recent,42,0.0,0.0,-
13,rest,42,0.0,0.0,-
14,respectively,41,0.0,0.0,-
15,2003,41,0.01,0.01,-
16,suggests,41,0.0,0.0,-
17,either,41,0.01,0.0,-
18,earlier,41,0.0,0.0,-
19,against,41,0.0,0.0,-
20,round,40,0.01,0.01,-
