,context,n_concepts,mean_tfidf,mean_diff,evidence
0,soup,9,0.18,0.16,-
1,spinach,9,0.04,0.03,-
2,squash,9,0.01,0.01,-
3,vegetables,9,0.03,0.03,-
4,tomato,8,0.04,0.03,-
5,savory,8,0.01,0.01,-
6,beet,8,0.02,0.02,-
7,stewed,8,0.02,0.01,-
8,dishes,8,0.02,0.02,-
9,vegetable,8,0.03,0.03,-
10,beets,8,0.02,0.02,-
11,potato,8,0.03,0.02,-
12,carrot,8,0.04,0.03,-
13,red,8,0.04,0.03,-
14,relish,7,0.01,0.01,-
15,salads,7,0.01,0.01,-
16,plates,7,0.01,0.0,-
17,inch,7,0.01,0.01,-
18,casserole,7,0.01,0.01,-
19,plant,7,0.01,0.01,-
20,red,8,0.04,0.03,-
